network_connection,fc,within_network
ContA-ContA,0.23479757216412742,True
ContA-ContB,0.216987712321886,False
ContA-ContC,0.22405643118160035,False
ContA-DefaultA,0.2192113556255162,False
ContA-DefaultB,0.21656917172998635,False
ContA-DefaultC,0.08735931566469246,False
ContA-DorsAttnA,-0.04066318550070132,False
ContA-DorsAttnB,0.034694383847902854,False
ContA-LimbicA,0.2083666716274837,False
ContA-LimbicB,0.1239523095193794,False
ContA-SalVentAttnA,0.020171840334231177,False
ContA-SalVentAttnB,0.13211507777753279,False
ContA-SomMotA,-0.05226494773029417,False
ContA-SomMotB,-0.0012825993760744658,False
ContA-TempPar,0.026044512683505605,False
ContA-VisCent,0.020483164204871677,False
ContA-VisPeri,-0.03844776036566469,False
ContB-ContB,0.25528395917367097,True
ContB-ContC,0.2263765286842676,False
ContB-DefaultA,0.2061223085431746,False
ContB-DefaultB,0.21866780365596775,False
ContB-DefaultC,0.12990225199105246,False
ContB-DorsAttnA,-0.00948409770343362,False
ContB-DorsAttnB,0.03265251248231188,False
ContB-LimbicA,0.18144965527658224,False
ContB-LimbicB,0.09681601136559552,False
ContB-SalVentAttnA,0.0014642221761817819,False
ContB-SalVentAttnB,0.07903287953583339,False
ContB-SomMotA,-0.03702933362915857,False
ContB-SomMotB,0.028333483240300515,False
ContB-TempPar,0.09644482577612636,False
ContB-VisCent,0.040953892700446304,False
ContB-VisPeri,-0.032525478463595464,False
ContC-ContC,0.2978213782599446,True
ContC-DefaultA,0.28283017364922647,False
ContC-DefaultB,0.26036074823402083,False
ContC-DefaultC,0.07686208623699087,False
ContC-DorsAttnA,-0.03606526956385739,False
ContC-DorsAttnB,0.023090837953565712,False
ContC-LimbicA,0.2033190334873662,False
ContC-LimbicB,0.1198726283190892,False
ContC-SalVentAttnA,0.01535716267765958,False
ContC-SalVentAttnB,0.11683812691173635,False
ContC-SomMotA,-0.015499744788247456,False
ContC-SomMotB,0.032033432067505044,False
ContC-TempPar,0.013850107467135072,False
ContC-VisCent,0.04947788498283444,False
ContC-VisPeri,0.007181247833991437,False
DefaultA-DefaultA,0.28091677467148174,True
DefaultA-DefaultB,0.2667449776233855,False
DefaultA-DefaultC,0.08812297829538676,False
DefaultA-DorsAttnA,-0.04183446633166335,False
DefaultA-DorsAttnB,0.02554707741350513,False
DefaultA-LimbicA,0.19439039323463764,False
DefaultA-LimbicB,0.1267733053348268,False
DefaultA-SalVentAttnA,0.015816593683063936,False
DefaultA-SalVentAttnB,0.11783193900949955,False
DefaultA-SomMotA,-0.01909085483617656,False
DefaultA-SomMotB,0.031235061186751567,False
DefaultA-TempPar,0.025152538691844244,False
DefaultA-VisCent,0.049570852111922054,False
DefaultA-VisPeri,-0.004185202683256936,False
DefaultB-DefaultB,0.3083962115116172,True
DefaultB-DefaultC,0.24998755247703475,False
DefaultB-DorsAttnA,-0.08077229628976747,False
DefaultB-DorsAttnB,0.0011828935392063531,False
DefaultB-LimbicA,0.17673478173165114,False
DefaultB-LimbicB,0.1466778617830531,False
DefaultB-SalVentAttnA,0.003435837139447636,False
DefaultB-SalVentAttnB,0.11501803867457336,False
DefaultB-SomMotA,-0.052067562921994735,False
DefaultB-SomMotB,0.00487781820046224,False
DefaultB-TempPar,0.14600709490234104,False
DefaultB-VisCent,0.04865982727440659,False
DefaultB-VisPeri,-0.022232033216016193,False
DefaultC-DefaultC,0.4953539350735435,True
DefaultC-DorsAttnA,-0.12693636355895074,False
DefaultC-DorsAttnB,-0.03382225047042217,False
DefaultC-LimbicA,0.05736441436731056,False
DefaultC-LimbicB,0.1332388834129177,False
DefaultC-SalVentAttnA,-0.023848196514652354,False
DefaultC-SalVentAttnB,0.07190649471068956,False
DefaultC-SomMotA,-0.11824460194955279,False
DefaultC-SomMotB,-0.07050523846389008,False
DefaultC-TempPar,0.42151292269848845,False
DefaultC-VisCent,0.017392905683687714,False
DefaultC-VisPeri,-0.09085458172548914,False
DorsAttnA-DorsAttnA,0.17271992006442627,True
DorsAttnA-DorsAttnB,0.0587144010721694,False
DorsAttnA-LimbicA,-0.015053580386385332,False
DorsAttnA-LimbicB,-0.06793347091037227,False
DorsAttnA-SalVentAttnA,0.014426901035151018,False
DorsAttnA-SalVentAttnB,-0.04189537903186217,False
DorsAttnA-SomMotA,0.08988029123343225,False
DorsAttnA-SomMotB,0.11027423195815922,False
DorsAttnA-TempPar,-0.08902267258029697,False
DorsAttnA-VisCent,0.04804518247401911,False
DorsAttnA-VisPeri,0.05782619679771958,False
DorsAttnB-DorsAttnB,0.06546670706997458,True
DorsAttnB-LimbicA,0.045222951411266345,False
DorsAttnB-LimbicB,0.017526717869196684,False
DorsAttnB-SalVentAttnA,0.01742613518280685,False
DorsAttnB-SalVentAttnB,0.03791991432286745,False
DorsAttnB-SomMotA,0.024821225935352298,False
DorsAttnB-SomMotB,0.02878533132596008,False
DorsAttnB-TempPar,-0.05187268788730124,False
DorsAttnB-VisCent,0.029166446726718375,False
DorsAttnB-VisPeri,0.007341066056693279,False
LimbicA-LimbicA,0.18740783075065584,True
LimbicA-LimbicB,0.1144481853218646,False
LimbicA-SalVentAttnA,0.021804621625997972,False
LimbicA-SalVentAttnB,0.13892587603139145,False
LimbicA-SomMotA,-0.05028526794584027,False
LimbicA-SomMotB,-0.0015905250087731376,False
LimbicA-TempPar,0.0019251611431493122,False
LimbicA-VisCent,0.018583980496227316,False
LimbicA-VisPeri,-0.04045123136417896,False
LimbicB-LimbicB,0.11494949019727539,True
LimbicB-SalVentAttnA,0.01831839033556736,False
LimbicB-SalVentAttnB,0.12045736721545638,False
LimbicB-SomMotA,-0.06958194539517155,False
LimbicB-SomMotB,-0.035863353789298905,False
LimbicB-TempPar,0.06792212400263634,False
LimbicB-VisCent,0.015679558611238147,False
LimbicB-VisPeri,-0.06052045883207886,False
SalVentAttnA-SalVentAttnA,0.029403772320511456,True
SalVentAttnA-SalVentAttnB,0.036103922282479384,False
SalVentAttnA-SomMotA,0.005925957284503526,False
SalVentAttnA-SomMotB,0.01645836176293392,False
SalVentAttnA-TempPar,-0.027740174707177007,False
SalVentAttnA-VisCent,0.00737867700064974,False
SalVentAttnA-VisPeri,0.0018678579717110904,False
SalVentAttnB-SalVentAttnB,0.15248827201760398,True
SalVentAttnB-SomMotA,-0.07212329840800578,False
SalVentAttnB-SomMotB,-0.05283596019100067,False
SalVentAttnB-TempPar,0.008929681893164678,False
SalVentAttnB-VisCent,-0.002534475722060888,False
SalVentAttnB-VisPeri,-0.0546211297065755,False
SomMotA-SomMotA,0.1321990512809108,True
SomMotA-SomMotB,0.10406973041935218,False
SomMotA-TempPar,-0.09240209914467935,False
SomMotA-VisCent,0.05587333881588506,False
SomMotA-VisPeri,0.1353258962276424,False
SomMotB-SomMotB,0.1495403753370912,True
SomMotB-TempPar,-0.04918404008285434,False
SomMotB-VisCent,0.07032063545120777,False
SomMotB-VisPeri,0.06439565551330886,False
TempPar-TempPar,0.5183855894667802,True
TempPar-VisCent,-0.0018250948336145754,False
TempPar-VisPeri,-0.08047680421330748,False
VisCent-VisCent,0.06363466763102461,True
VisCent-VisPeri,0.05754680758984377,False
VisPeri-VisPeri,0.20598160043285454,True
