network_connection,fc,within_network
ContA-ContA,0.21338508898259573,True
ContA-ContB,0.12072426223118628,False
ContA-ContC,0.10321585661524925,False
ContA-DefaultA,0.1029932233075013,False
ContA-DefaultB,0.08393270630654064,False
ContA-DefaultC,0.024471146803232313,False
ContA-DorsAttnA,-0.038819396163923325,False
ContA-DorsAttnB,0.07595601974603662,False
ContA-LimbicA,0.21201850434641364,False
ContA-LimbicB,0.13318686050179723,False
ContA-SalVentAttnA,0.013870268505668217,False
ContA-SalVentAttnB,0.1486430778584802,False
ContA-SomMotA,-0.1123309178992886,False
ContA-SomMotB,-0.07179561743760438,False
ContA-TempPar,-0.00942250124127349,False
ContA-VisCent,0.016299648849258008,False
ContA-VisPeri,-0.1063824995521318,False
ContB-ContB,0.15277376873791657,True
ContB-ContC,0.09539153067548041,False
ContB-DefaultA,0.06579076358833684,False
ContB-DefaultB,0.10583769328343655,False
ContB-DefaultC,0.11828622288605511,False
ContB-DorsAttnA,-0.061426337059039424,False
ContB-DorsAttnB,0.03447807252550173,False
ContB-LimbicA,0.11161411388266382,False
ContB-LimbicB,0.03667908642026028,False
ContB-SalVentAttnA,-0.033338824429600955,False
ContB-SalVentAttnB,0.017570520587674082,False
ContB-SomMotA,-0.08444138127574365,False
ContB-SomMotB,-0.06236312049517078,False
ContB-TempPar,0.10383355483057131,False
ContB-VisCent,0.024869134004987217,False
ContB-VisPeri,-0.07592411951278819,False
ContC-ContC,0.3270760025542874,True
ContC-DefaultA,0.2560352555686301,False
ContC-DefaultB,0.15769737881865026,False
ContC-DefaultC,-0.03996456180393116,False
ContC-DorsAttnA,-0.048653785969092166,False
ContC-DorsAttnB,0.04922591108474547,False
ContC-LimbicA,0.1781052691207273,False
ContC-LimbicB,0.1263543915117947,False
ContC-SalVentAttnA,-0.0036466247137249552,False
ContC-SalVentAttnB,0.13343335814885712,False
ContC-SomMotA,-0.017410673082752626,False
ContC-SomMotB,-0.07179043570833551,False
ContC-TempPar,-0.08165842163139096,False
ContC-VisCent,0.04144035661533171,False
ContC-VisPeri,0.004572525753232905,False
DefaultA-DefaultA,0.2396840072991908,True
DefaultA-DefaultB,0.17610626288703782,False
DefaultA-DefaultC,-0.021487378616287318,False
DefaultA-DorsAttnA,-0.05384772507434568,False
DefaultA-DorsAttnB,0.029881111418260962,False
DefaultA-LimbicA,0.15060976874615478,False
DefaultA-LimbicB,0.1168103692433392,False
DefaultA-SalVentAttnA,-0.005442935786153482,False
DefaultA-SalVentAttnB,0.10685595200569507,False
DefaultA-SomMotA,-0.014231683962567293,False
DefaultA-SomMotB,-0.05806199992582369,False
DefaultA-TempPar,-0.051650849737473956,False
DefaultA-VisCent,0.03707198157068349,False
DefaultA-VisPeri,-0.003435672325095732,False
DefaultB-DefaultB,0.22350403086546622,True
DefaultB-DefaultC,0.150618119116318,False
DefaultB-DorsAttnA,-0.09667682519700824,False
DefaultB-DorsAttnB,0.0033025863440555568,False
DefaultB-LimbicA,0.1073289881494632,False
DefaultB-LimbicB,0.08072198259656922,False
DefaultB-SalVentAttnA,-0.030381030066081414,False
DefaultB-SalVentAttnB,0.044662974695635335,False
DefaultB-SomMotA,-0.059695084277632024,False
DefaultB-SomMotB,-0.06806525085409953,False
DefaultB-TempPar,0.053886001015352895,False
DefaultB-VisCent,0.027894285299856755,False
DefaultB-VisPeri,-0.04558458638676553,False
DefaultC-DefaultC,0.3163815756099039,True
DefaultC-DorsAttnA,-0.13499042648658027,False
DefaultC-DorsAttnB,-0.008217105347647915,False
DefaultC-LimbicA,0.010324908158043001,False
DefaultC-LimbicB,0.009788659017094066,False
DefaultC-SalVentAttnA,-0.04704687438151624,False
DefaultC-SalVentAttnB,-0.04709043636163232,False
DefaultC-SomMotA,-0.10331370970889824,False
DefaultC-SomMotB,-0.06784051594744701,False
DefaultC-TempPar,0.24237983696469367,False
DefaultC-VisCent,0.02874371242811141,False
DefaultC-VisPeri,-0.09062549078291571,False
DorsAttnA-DorsAttnA,0.243454192908557,True
DorsAttnA-DorsAttnB,0.05714663413659825,False
DorsAttnA-LimbicA,-0.029273497326276824,False
DorsAttnA-LimbicB,-0.03171379224872379,False
DorsAttnA-SalVentAttnA,0.0482943958704926,False
DorsAttnA-SalVentAttnB,-0.0045216080877944305,False
DorsAttnA-SomMotA,0.027252584670542767,False
DorsAttnA-SomMotB,0.0661440782345975,False
DorsAttnA-TempPar,-0.1405194429194935,False
DorsAttnA-VisCent,-0.061772792155509515,False
DorsAttnA-VisPeri,-0.050400537494864235,False
DorsAttnB-DorsAttnB,0.11937398666533,True
DorsAttnB-LimbicA,0.09828122214571051,False
DorsAttnB-LimbicB,0.0865204669282825,False
DorsAttnB-SalVentAttnA,0.04161084193829553,False
DorsAttnB-SalVentAttnB,0.11427114508589513,False
DorsAttnB-SomMotA,-0.05007400024574791,False
DorsAttnB-SomMotB,-0.03775379648715291,False
DorsAttnB-TempPar,-0.03329790928284012,False
DorsAttnB-VisCent,0.02064988151551501,False
DorsAttnB-VisPeri,-0.06668841468632228,False
LimbicA-LimbicA,0.23587608269177465,True
LimbicA-LimbicB,0.15693667713001055,False
LimbicA-SalVentAttnA,0.023266492198100182,False
LimbicA-SalVentAttnB,0.1854500458691192,False
LimbicA-SomMotA,-0.0915096856037266,False
LimbicA-SomMotB,-0.08311059942524854,False
LimbicA-TempPar,-0.037128510209022435,False
LimbicA-VisCent,0.02720025172286684,False
LimbicA-VisPeri,-0.08499871055189885,False
LimbicB-LimbicB,0.18619669825463483,True
LimbicB-SalVentAttnA,0.07169557370634107,False
LimbicB-SalVentAttnB,0.24548743945947576,False
LimbicB-SomMotA,-0.10765201189247209,False
LimbicB-SomMotB,-0.06467707724303694,False
LimbicB-TempPar,-0.07642211462578488,False
LimbicB-VisCent,0.005219059610155232,False
LimbicB-VisPeri,-0.1077849398710634,False
SalVentAttnA-SalVentAttnA,0.07202804069773341,True
SalVentAttnA-SalVentAttnB,0.11449457671617447,False
SalVentAttnA-SomMotA,-0.03660176200771175,False
SalVentAttnA-SomMotB,0.014830625648457515,False
SalVentAttnA-TempPar,-0.08672957719102899,False
SalVentAttnA-VisCent,-0.017703634866129588,False
SalVentAttnA-VisPeri,-0.042547401994518105,False
SalVentAttnB-SalVentAttnB,0.31932227845077826,True
SalVentAttnB-SomMotA,-0.13568759467807137,False
SalVentAttnB-SomMotB,-0.06818782936952344,False
SalVentAttnB-TempPar,-0.14029137676274062,False
SalVentAttnB-VisCent,-0.007694287838077321,False
SalVentAttnB-VisPeri,-0.12679684558750082,False
SomMotA-SomMotA,0.16605005516581747,True
SomMotA-SomMotB,0.0752735195069901,False
SomMotA-TempPar,-0.03394224524980741,False
SomMotA-VisCent,0.03938442153937292,False
SomMotA-VisPeri,0.18741270812284208,False
SomMotB-SomMotB,0.09358160175768745,True
SomMotB-TempPar,-0.06088097024237948,False
SomMotB-VisCent,0.002076403220954511,False
SomMotB-VisPeri,0.05985043083367766,False
TempPar-TempPar,0.38709149280696303,True
TempPar-VisCent,0.017227050866296795,False
TempPar-VisPeri,-0.02103343724886658,False
VisCent-VisCent,0.0816677105249016,True
VisCent-VisPeri,0.08298673285567669,False
VisPeri-VisPeri,0.2872416114675303,True
