network_connection,fc,within_network
ContA-ContA,0.21333952524159314,True
ContA-ContB,0.12664016519106314,False
ContA-ContC,0.09037384841344467,False
ContA-DefaultA,0.10971054108839638,False
ContA-DefaultB,0.09873004194746178,False
ContA-DefaultC,0.05572463714381387,False
ContA-DorsAttnA,-0.017685863148062718,False
ContA-DorsAttnB,0.0726625296431171,False
ContA-LimbicA,0.23377662597830848,False
ContA-LimbicB,0.1879063084888948,False
ContA-SalVentAttnA,0.047384342566451534,False
ContA-SalVentAttnB,0.18956924221956323,False
ContA-SomMotA,-0.10926262636974492,False
ContA-SomMotB,-0.02738200820300299,False
ContA-TempPar,-0.024056522976197665,False
ContA-VisCent,-0.011384770115312894,False
ContA-VisPeri,-0.10990975565899079,False
ContB-ContB,0.14661619715137264,True
ContB-ContC,0.09790656022754168,False
ContB-DefaultA,0.06343166085792888,False
ContB-DefaultB,0.08993059576023804,False
ContB-DefaultC,0.11761088155102184,False
ContB-DorsAttnA,0.01113889372130753,False
ContB-DorsAttnB,0.05708820350053342,False
ContB-LimbicA,0.13677394186096783,False
ContB-LimbicB,0.13396121501437314,False
ContB-SalVentAttnA,0.007024072455871086,False
ContB-SalVentAttnB,0.11346101689397108,False
ContB-SomMotA,-0.1316358255711335,False
ContB-SomMotB,-0.0480038856289144,False
ContB-TempPar,0.053662040393918566,False
ContB-VisCent,-0.012627521408077188,False
ContB-VisPeri,-0.15125772657602898,False
ContC-ContC,0.28988987534872634,True
ContC-DefaultA,0.23790617847798065,False
ContC-DefaultB,0.13060264087322512,False
ContC-DefaultC,-0.04403093629853796,False
ContC-DorsAttnA,-0.07802799991217434,False
ContC-DorsAttnB,0.011743674901950146,False
ContC-LimbicA,0.11267625801207078,False
ContC-LimbicB,0.2114880244454,False
ContC-SalVentAttnA,0.026081156159840514,False
ContC-SalVentAttnB,0.21341717474855018,False
ContC-SomMotA,-0.10048848317982424,False
ContC-SomMotB,-0.0741257870382368,False
ContC-TempPar,-0.08513298581890293,False
ContC-VisCent,-0.054908275135142105,False
ContC-VisPeri,-0.0725336987254209,False
DefaultA-DefaultA,0.23802352169420185,True
DefaultA-DefaultB,0.1374482748022015,False
DefaultA-DefaultC,-0.03281523065889287,False
DefaultA-DorsAttnA,-0.05332695982518954,False
DefaultA-DorsAttnB,0.03473633623433678,False
DefaultA-LimbicA,0.11825960946385773,False
DefaultA-LimbicB,0.20066202024218935,False
DefaultA-SalVentAttnA,0.050967213411289056,False
DefaultA-SalVentAttnB,0.20217262244535147,False
DefaultA-SomMotA,-0.07646535165469223,False
DefaultA-SomMotB,-0.052506929866056366,False
DefaultA-TempPar,-0.05958400113158606,False
DefaultA-VisCent,-0.033854365234829785,False
DefaultA-VisPeri,-0.042960634541574214,False
DefaultB-DefaultB,0.15628828010894674,True
DefaultB-DefaultC,0.15651374413782781,False
DefaultB-DorsAttnA,-0.06406398253840548,False
DefaultB-DorsAttnB,0.008398267718940047,False
DefaultB-LimbicA,0.09550333412356575,False
DefaultB-LimbicB,0.1495681888741418,False
DefaultB-SalVentAttnA,0.015543929221051751,False
DefaultB-SalVentAttnB,0.12926256170007494,False
DefaultB-SomMotA,-0.10232669319231713,False
DefaultB-SomMotB,-0.046691115702099696,False
DefaultB-TempPar,0.08470900605715638,False
DefaultB-VisCent,-0.024722759932435365,False
DefaultB-VisPeri,-0.09009520986336003,False
DefaultC-DefaultC,0.4269444524605335,True
DefaultC-DorsAttnA,-0.04112672737109843,False
DefaultC-DorsAttnB,0.002068491746042871,False
DefaultC-LimbicA,0.0427289381226403,False
DefaultC-LimbicB,0.05499668818043209,False
DefaultC-SalVentAttnA,-0.01804522932553911,False
DefaultC-SalVentAttnB,0.007703037697714178,False
DefaultC-SomMotA,-0.15240746781437417,False
DefaultC-SomMotB,-0.06252303654488871,False
DefaultC-TempPar,0.3716758366396936,False
DefaultC-VisCent,-0.029322430772273707,False
DefaultC-VisPeri,-0.15164878778773852,False
DorsAttnA-DorsAttnA,0.26077335854204664,True
DorsAttnA-DorsAttnB,0.07235421101223037,False
DorsAttnA-LimbicA,-0.016483316639847447,False
DorsAttnA-LimbicB,-0.09831760034702747,False
DorsAttnA-SalVentAttnA,0.03673987444769622,False
DorsAttnA-SalVentAttnB,-0.059937997222085586,False
DorsAttnA-SomMotA,-0.012355319893031819,False
DorsAttnA-SomMotB,0.03488855846001955,False
DorsAttnA-TempPar,-0.06129788577479424,False
DorsAttnA-VisCent,-0.0019195197667907055,False
DorsAttnA-VisPeri,-0.07915255067433077,False
DorsAttnB-DorsAttnB,0.13039458905980872,True
DorsAttnB-LimbicA,0.10407048470479029,False
DorsAttnB-LimbicB,0.11812396352670006,False
DorsAttnB-SalVentAttnA,0.061018930365168866,False
DorsAttnB-SalVentAttnB,0.11480632563896155,False
DorsAttnB-SomMotA,-0.06215341430523049,False
DorsAttnB-SomMotB,-0.00806046771900763,False
DorsAttnB-TempPar,-0.029190170211457266,False
DorsAttnB-VisCent,0.021652449022399357,False
DorsAttnB-VisPeri,-0.06378515676979647,False
LimbicA-LimbicA,0.2702473612106522,True
LimbicA-LimbicB,0.26652990479659894,False
LimbicA-SalVentAttnA,0.07023433452102013,False
LimbicA-SalVentAttnB,0.2602928324678824,False
LimbicA-SomMotA,-0.14414483982910856,False
LimbicA-SomMotB,-0.020704363681248363,False
LimbicA-TempPar,-0.046800405360449084,False
LimbicA-VisCent,-0.005035885796111512,False
LimbicA-VisPeri,-0.15363591724585307,False
LimbicB-LimbicB,0.38622368283192765,True
LimbicB-SalVentAttnA,0.0985758988871305,False
LimbicB-SalVentAttnB,0.3541558080139548,False
LimbicB-SomMotA,-0.1654655704137758,False
LimbicB-SomMotB,-0.034197887578686144,False
LimbicB-TempPar,-0.042495479340996706,False
LimbicB-VisCent,0.0008777983051356324,False
LimbicB-VisPeri,-0.13338893771461519,False
SalVentAttnA-SalVentAttnA,0.07695633953186214,True
SalVentAttnA-SalVentAttnB,0.11014018824150326,False
SalVentAttnA-SomMotA,-0.04507615605340305,False
SalVentAttnA-SomMotB,0.020972520232659938,False
SalVentAttnA-TempPar,-0.036834104613322274,False
SalVentAttnA-VisCent,-0.0046360139009407175,False
SalVentAttnA-VisPeri,-0.008385932558401383,False
SalVentAttnB-SalVentAttnB,0.33766389271362957,True
SalVentAttnB-SomMotA,-0.16025510594717604,False
