network_connection,fc,within_network
ContA-ContA,0.23962350827430884,True
ContA-ContB,0.1944963661404105,False
ContA-ContC,0.1671847759185537,False
ContA-DefaultA,0.1574345645251232,False
ContA-DefaultB,0.1712645571384588,False
ContA-DefaultC,0.11618991107703608,False
ContA-DorsAttnA,-0.008380043201123046,False
ContA-DorsAttnB,0.048219974226621304,False
ContA-LimbicA,0.23826517931528599,False
ContA-LimbicB,0.1395171069545279,False
ContA-SalVentAttnA,-0.013995117892296257,False
ContA-SalVentAttnB,0.13707081019695663,False
ContA-SomMotA,-0.09281341475456231,False
ContA-SomMotB,-0.03689939294460759,False
ContA-TempPar,0.046846451582861416,False
ContA-VisCent,0.053999770993059304,False
ContA-VisPeri,-0.09494839741256171,False
ContB-ContB,0.29799533579014953,True
ContB-ContC,0.18798737506398167,False
ContB-DefaultA,0.1332950485679237,False
ContB-DefaultB,0.20225729808335502,False
ContB-DefaultC,0.2708370799695616,False
ContB-DorsAttnA,0.004718234191284527,False
ContB-DorsAttnB,0.07949358768483507,False
ContB-LimbicA,0.1548362024649741,False
ContB-LimbicB,0.04118621149292503,False
ContB-SalVentAttnA,-0.06683288417189934,False
ContB-SalVentAttnB,0.025123977685385296,False
ContB-SomMotA,-0.12955096810156128,False
ContB-SomMotB,-0.07825544911761018,False
ContB-TempPar,0.2122382895117802,False
ContB-VisCent,0.04309194612643015,False
ContB-VisPeri,-0.15257266819236298,False
ContC-ContC,0.39014569405675004,True
ContC-DefaultA,0.3524041502930973,False
ContC-DefaultB,0.2948472491177006,False
ContC-DefaultC,0.12977488319471803,False
ContC-DorsAttnA,-0.10926485194505738,False
ContC-DorsAttnB,0.0014971354107500597,False
ContC-LimbicA,0.20544518481928,False
ContC-LimbicB,0.1240694465638085,False
ContC-SalVentAttnA,-0.07181285377667851,False
ContC-SalVentAttnB,0.10380619199170667,False
ContC-SomMotA,-0.06934745290667466,False
ContC-SomMotB,-0.1098220544085577,False
ContC-TempPar,0.10652755099484164,False
ContC-VisCent,0.05518299726701014,False
ContC-VisPeri,-0.09628645497695883,False
DefaultA-DefaultA,0.32649941358689427,True
DefaultA-DefaultB,0.26742019911446535,False
DefaultA-DefaultC,0.07802511538421708,False
DefaultA-DorsAttnA,-0.10078746283771424,False
DefaultA-DorsAttnB,-0.013096044896379921,False
DefaultA-LimbicA,0.19489547946804547,False
DefaultA-LimbicB,0.13019071600383572,False
DefaultA-SalVentAttnA,-0.0501071738065555,False
DefaultA-SalVentAttnB,0.11525459455487727,False
DefaultA-SomMotA,-0.05043457347112781,False
DefaultA-SomMotB,-0.08434267581940932,False
DefaultA-TempPar,0.05243145246888977,False
DefaultA-VisCent,0.05583884767922158,False
DefaultA-VisPeri,-0.06955303934404569,False
