network_connection,fc,within_network
ContA-ContA,0.35695978015605645,True
ContA-ContB,0.2015437188441031,False
ContA-ContC,0.09450019242658703,False
ContA-DefaultA,0.1659249451584189,False
ContA-DefaultB,0.1484733725101818,False
ContA-DefaultC,0.02916866167374579,False
ContA-DorsAttnA,-0.014683424958445452,False
ContA-DorsAttnB,0.057249606555313075,False
ContA-LimbicA,0.3228336934309178,False
ContA-LimbicB,0.19363661249000888,False
ContA-SalVentAttnA,0.04434100639265573,False
ContA-SalVentAttnB,0.17579700730832054,False
ContA-SomMotA,-0.053262896554851356,False
ContA-SomMotB,-0.0008756993867708697,False
ContA-TempPar,0.05169856524520588,False
ContA-VisCent,0.11127572540845966,False
ContA-VisPeri,-0.03236161543591304,False
ContB-ContB,0.24935050492142466,True
ContB-ContC,0.1209191078667096,False
ContB-DefaultA,0.1121026134071058,False
ContB-DefaultB,0.09038009034564715,False
ContB-DefaultC,0.08304400012871974,False
ContB-DorsAttnA,0.030430365917164446,False
ContB-DorsAttnB,0.07345443093279588,False
ContB-LimbicA,0.16407384685923543,False
ContB-LimbicB,0.07971372797889188,False
ContB-SalVentAttnA,0.01287978175045904,False
ContB-SalVentAttnB,0.01061953093759748,False
ContB-SomMotA,0.0061828295767768,False
ContB-SomMotB,0.007909185049038715,False
ContB-TempPar,0.18854845867276054,False
ContB-VisCent,0.11236077802534027,False
ContB-VisPeri,0.0008833701322339479,False
ContC-ContC,0.24290944616283663,True
ContC-DefaultA,0.21474017294384498,False
ContC-DefaultB,0.1460861400230054,False
ContC-DefaultC,0.01667099061710944,False
ContC-DorsAttnA,-0.0033875065486327783,False
ContC-DorsAttnB,0.04506389244453962,False
ContC-LimbicA,0.12273871707943454,False
ContC-LimbicB,0.12652533144490166,False
ContC-SalVentAttnA,0.026876040890833428,False
ContC-SalVentAttnB,0.0845166870688136,False
ContC-SomMotA,0.02055113824744288,False
ContC-SomMotB,0.008741153327791658,False
ContC-TempPar,0.010377642318676132,False
ContC-VisCent,0.05937393196023287,False
