network_connection,fc,within_network
ContA-ContA,0.29662911651789026,True
ContA-ContB,0.11318670662167046,False
ContA-ContC,0.05886612185434,False
ContA-DefaultA,0.07459008305994479,False
ContA-DefaultB,0.030629179204521944,False
ContA-DefaultC,-0.07014060987505402,False
ContA-DorsAttnA,-0.01591287807515979,False
ContA-DorsAttnB,0.04700361334640599,False
ContA-LimbicA,0.31056378846171073,False
ContA-LimbicB,0.20692384742044176,False
ContA-SalVentAttnA,0.05044790684639576,False
ContA-SalVentAttnB,0.2341248730486379,False
ContA-SomMotA,-0.12860011749776126,False
ContA-SomMotB,-0.016276810183646826,False
ContA-TempPar,-0.12162318993273548,False
ContA-VisCent,0.03216742690817561,False
ContA-VisPeri,-0.11959793260822431,False
ContB-ContB,0.11855808178645352,True
ContB-ContC,0.02550523390158113,False
ContB-DefaultA,0.010823011251191433,False
ContB-DefaultB,0.0425372866601399,False
ContB-DefaultC,0.10997140093117744,False
ContB-DorsAttnA,-0.04647696146530054,False
ContB-DorsAttnB,-0.006996950951460988,False
ContB-LimbicA,0.10383541784945283,False
ContB-LimbicB,0.0598489156346297,False
ContB-SalVentAttnA,-0.01902893929973929,False
ContB-SalVentAttnB,0.0535015575343661,False
ContB-SomMotA,-0.09043901511957343,False
ContB-SomMotB,-0.04308269857338077,False
ContB-TempPar,0.12198488701695123,False
ContB-VisCent,-0.00756019626310851,False
ContB-VisPeri,-0.08435713801557879,False
ContC-ContC,0.15662340152936785,True
ContC-DefaultA,0.10845508127657807,False
ContC-DefaultB,0.06414810682260583,False
ContC-DefaultC,-0.012273834334013295,False
ContC-DorsAttnA,-0.03845985235265005,False
ContC-DorsAttnB,-0.010218824608360025,False
ContC-LimbicA,0.08105414340865502,False
ContC-LimbicB,0.08184222988024288,False
ContC-SalVentAttnA,0.0165928250906482,False
ContC-SalVentAttnB,0.11372201585032521,False
ContC-SomMotA,-0.037650692964743326,False
ContC-SomMotB,-0.015222576365318761,False
ContC-TempPar,-0.03943761245140638,False
ContC-VisCent,-0.00024153746215914285,False
ContC-VisPeri,-0.019165056728579752,False
DefaultA-DefaultA,0.1037802794056346,True
DefaultA-DefaultB,0.06437348015025102,False
DefaultA-DefaultC,-0.039793934305833535,False
DefaultA-DorsAttnA,-0.023423300106680086,False
DefaultA-DorsAttnB,-0.0007325811880790322,False
DefaultA-LimbicA,0.09172748331187365,False
DefaultA-LimbicB,0.09428437597506341,False
DefaultA-SalVentAttnA,0.02264228374496633,False
DefaultA-SalVentAttnB,0.11101074087226374,False
DefaultA-SomMotA,-0.029004351408219824,False
DefaultA-SomMotB,-0.00870805913810988,False
DefaultA-TempPar,-0.06903662255413295,False
DefaultA-VisCent,0.014026789736683311,False
DefaultA-VisPeri,-0.028568336378398576,False
DefaultB-DefaultB,0.11030529657100778,True
DefaultB-DefaultC,0.14776427604680814,False
DefaultB-DorsAttnA,-0.07177203917077601,False
DefaultB-DorsAttnB,-0.037329948548534414,False
DefaultB-LimbicA,0.032507599099652236,False
DefaultB-LimbicB,0.04455221435006057,False
DefaultB-SalVentAttnA,-0.020904603923579318,False
DefaultB-SalVentAttnB,0.046247461572789306,False
DefaultB-SomMotA,-0.05338638062713456,False
DefaultB-SomMotB,-0.040851762589369275,False
DefaultB-TempPar,0.10232347924285386,False
DefaultB-VisCent,-0.004641978186265469,False
DefaultB-VisPeri,-0.04203916653820395,False
DefaultC-DefaultC,0.43960007847510396,True
DefaultC-DorsAttnA,-0.1461671689770579,False
DefaultC-DorsAttnB,-0.10706175454934565,False
DefaultC-LimbicA,-0.10596714326772967,False
DefaultC-LimbicB,-0.06856991223393433,False
DefaultC-SalVentAttnA,-0.09093651886079374,False
DefaultC-SalVentAttnB,-0.0932693272208875,False
DefaultC-SomMotA,-0.08754789937016445,False
DefaultC-SomMotB,-0.09567781213372047,False
DefaultC-TempPar,0.45051906358017124,False
DefaultC-VisCent,-0.05104264634960249,False
DefaultC-VisPeri,-0.026171643834250954,False
DorsAttnA-DorsAttnA,0.22228429342206626,True
DorsAttnA-DorsAttnB,0.0957528704024363,False
DorsAttnA-LimbicA,0.005814969366330796,False
DorsAttnA-LimbicB,-0.014688116148021126,False
DorsAttnA-SalVentAttnA,0.04635627433960686,False
DorsAttnA-SalVentAttnB,-0.009324313832703256,False
DorsAttnA-SomMotA,0.040147477828172386,False
DorsAttnA-SomMotB,0.08057566698805885,False
DorsAttnA-TempPar,-0.17159063108268066,False
DorsAttnA-VisCent,0.0010800864593918033,False
DorsAttnA-VisPeri,-0.02641169295798131,False
DorsAttnB-DorsAttnB,0.09672777485704469,True
DorsAttnB-LimbicA,0.0705465195099109,False
DorsAttnB-LimbicB,0.04363606098364603,False
DorsAttnB-SalVentAttnA,0.038993034502968295,False
DorsAttnB-SalVentAttnB,0.06295595271706649,False
DorsAttnB-SomMotA,-0.01796640214239548,False
DorsAttnB-SomMotB,-0.0052318144661015475,False
DorsAttnB-TempPar,-0.12380913619041543,False
DorsAttnB-VisCent,0.00869465198321209,False
DorsAttnB-VisPeri,-0.04798034000559787,False
LimbicA-LimbicA,0.3288716817331843,True
LimbicA-LimbicB,0.226915021531663,False
LimbicA-SalVentAttnA,0.06739148705861224,False
LimbicA-SalVentAttnB,0.26723330589910976,False
LimbicA-SomMotA,-0.13744562789074974,False
LimbicA-SomMotB,-0.022792187489440646,False
LimbicA-TempPar,-0.15507569196027463,False
LimbicA-VisCent,0.02545126525058295,False
LimbicA-VisPeri,-0.14110137373212633,False
LimbicB-LimbicB,0.1915616833276143,True
LimbicB-SalVentAttnA,0.06127348121160901,False
LimbicB-SalVentAttnB,0.22462099323523493,False
LimbicB-SomMotA,-0.10561235489515139,False
LimbicB-SomMotB,-0.011892609810985201,False
LimbicB-TempPar,-0.12350815363903433,False
LimbicB-VisCent,0.032035783674693,False
LimbicB-VisPeri,-0.10829914459386786,False
SalVentAttnA-SalVentAttnA,0.05103286312947499,True
SalVentAttnA-SalVentAttnB,0.07566791993680982,False
SalVentAttnA-SomMotA,-0.018758159290828757,False
SalVentAttnA-SomMotB,0.027931632891750043,False
SalVentAttnA-TempPar,-0.11278572342003503,False
SalVentAttnA-VisCent,0.007236074919401644,False
SalVentAttnA-VisPeri,-0.016444870619006048,False
SalVentAttnB-SalVentAttnB,0.27561752588611677,True
SalVentAttnB-SomMotA,-0.13121261173908966,False
SalVentAttnB-SomMotB,-0.04004861517615103,False
SalVentAttnB-TempPar,-0.1603985618131576,False
SalVentAttnB-VisCent,0.021366471150826582,False
SalVentAttnB-VisPeri,-0.09226477716467946,False
SomMotA-SomMotA,0.15473358426244083,True
SomMotA-SomMotB,0.07081639818343746,False
SomMotA-TempPar,-0.056703886720550226,False
SomMotA-VisCent,0.033067658658483,False
SomMotA-VisPeri,0.1338347280697047,False
SomMotB-SomMotB,0.12425811134693576,True
SomMotB-TempPar,-0.11514346022781663,False
SomMotB-VisCent,0.03830664595246123,False
SomMotB-VisPeri,0.02234827477247573,False
TempPar-TempPar,0.566417689486711,True
TempPar-VisCent,-0.070593779066664,False
TempPar-VisPeri,-0.0051968169142917985,False
VisCent-VisCent,0.04993557661019506,True
VisCent-VisPeri,0.022352617670330185,False
VisPeri-VisPeri,0.2187279537007047,True
