network_connection,fc,within_network
ContA-ContA,0.29651328891333745,True
ContA-ContB,0.22507477840670917,False
ContA-ContC,0.16495567969576602,False
ContA-DefaultA,0.16511236152006115,False
ContA-DefaultB,0.18541102911704901,False
ContA-DefaultC,0.011778020684821965,False
ContA-DorsAttnA,0.03555516229876263,False
ContA-DorsAttnB,0.08175542421489662,False
ContA-LimbicA,0.26464620383028037,False
ContA-LimbicB,0.14118736801516601,False
ContA-SalVentAttnA,-0.0029528292196445943,False
ContA-SalVentAttnB,0.14970688211518668,False
ContA-SomMotA,-0.08028737665493275,False
ContA-SomMotB,-0.09095780063701149,False
ContA-TempPar,-0.02094710472103183,False
ContA-VisCent,0.06266979384543113,False
ContA-VisPeri,-0.03685726874902941,False
ContB-ContB,0.23201377429957135,True
ContB-ContC,0.15110026042501098,False
ContB-DefaultA,0.13519716356103245,False
ContB-DefaultB,0.16478830698582989,False
ContB-DefaultC,0.06817948059610178,False
ContB-DorsAttnA,0.08251114011642426,False
ContB-DorsAttnB,0.07291343612318804,False
ContB-LimbicA,0.19369575839304834,False
ContB-LimbicB,0.08131105087053019,False
ContB-SalVentAttnA,-0.018815590024361502,False
ContB-SalVentAttnB,0.08607131705523534,False
ContB-SomMotA,-0.10097026196202243,False
ContB-SomMotB,-0.07150892205700764,False
ContB-TempPar,0.04350637337270322,False
ContB-VisCent,0.043532328510716006,False
ContB-VisPeri,-0.0795045982589218,False
ContC-ContC,0.2521645812194798,True
ContC-DefaultA,0.22471011700162583,False
ContC-DefaultB,0.1861897336223118,False
ContC-DefaultC,-0.0055475782649097765,False
ContC-DorsAttnA,0.005896397159696952,False
ContC-DorsAttnB,0.06721735916608106,False
ContC-LimbicA,0.1702892355996713,False
ContC-LimbicB,0.12890931444551226,False
ContC-SalVentAttnA,-0.0002939152676793422,False
ContC-SalVentAttnB,0.12745934784173787,False
ContC-SomMotA,-0.016374062029351075,False
ContC-SomMotB,-0.07973829984445112,False
ContC-TempPar,-0.03109269146326772,False
ContC-VisCent,0.06892413015639494,False
ContC-VisPeri,0.01969507462924866,False
DefaultA-DefaultA,0.21613684582904413,True
DefaultA-DefaultB,0.19395852429769275,False
DefaultA-DefaultC,0.005708009849868378,False
DefaultA-DorsAttnA,-0.00907597080606262,False
DefaultA-DorsAttnB,0.0513383141170812,False
DefaultA-LimbicA,0.15882438972043275,False
DefaultA-LimbicB,0.1371462112782146,False
DefaultA-SalVentAttnA,0.005171772423054212,False
DefaultA-SalVentAttnB,0.12617696016898663,False
DefaultA-SomMotA,-0.02800609614297421,False
DefaultA-SomMotB,-0.0709041991980325,False
DefaultA-TempPar,-0.012168561406087285,False
DefaultA-VisCent,0.06196572885763949,False
DefaultA-VisPeri,-0.0006135904696063645,False
DefaultB-DefaultB,0.23662113079707917,True
DefaultB-DefaultC,0.10361882420962411,False
DefaultB-DorsAttnA,0.0002992751963540097,False
DefaultB-DorsAttnB,0.03757186260256877,False
DefaultB-LimbicA,0.15496015899823737,False
DefaultB-LimbicB,0.0953776356672876,False
DefaultB-SalVentAttnA,-0.015730114636142115,False
DefaultB-SalVentAttnB,0.07928529787973479,False
DefaultB-SomMotA,-0.03851386363384511,False
DefaultB-SomMotB,-0.06619685714669306,False
DefaultB-TempPar,0.048477368024589046,False
DefaultB-VisCent,0.06029067682375009,False
DefaultB-VisPeri,-0.016260466497574975,False
DefaultC-DefaultC,0.29043819805906745,True
DefaultC-DorsAttnA,-0.05673972905721515,False
DefaultC-DorsAttnB,-0.034877738106362716,False
DefaultC-LimbicA,-0.01577617885562748,False
DefaultC-LimbicB,0.013130372119388282,False
DefaultC-SalVentAttnA,-0.03856494285967948,False
DefaultC-SalVentAttnB,-0.00995914302551308,False
DefaultC-SomMotA,-0.0971004226965807,False
DefaultC-SomMotB,-0.04758541025893788,False
DefaultC-TempPar,0.2643290245042548,False
DefaultC-VisCent,-0.03143455797915729,False
DefaultC-VisPeri,-0.121143549375455,False
DorsAttnA-DorsAttnA,0.2393021704132388,True
DorsAttnA-DorsAttnB,0.06467936644063584,False
DorsAttnA-LimbicA,0.04778062281530085,False
DorsAttnA-LimbicB,-0.05679616064203586,False
DorsAttnA-SalVentAttnA,0.019233987062956568,False
DorsAttnA-SalVentAttnB,-0.012797732546924333,False
DorsAttnA-SomMotA,0.002680383263806816,False
DorsAttnA-SomMotB,0.06321172730244538,False
DorsAttnA-TempPar,-0.08745704916050412,False
DorsAttnA-VisCent,0.019070853154878224,False
DorsAttnA-VisPeri,0.006692546076597939,False
DorsAttnB-DorsAttnB,0.07195803054255115,True
DorsAttnB-LimbicA,0.09520317958742518,False
DorsAttnB-LimbicB,0.06255256223233446,False
DorsAttnB-SalVentAttnA,0.022493753872391033,False
DorsAttnB-SalVentAttnB,0.07503886968127615,False
DorsAttnB-SomMotA,0.001922014765199987,False
DorsAttnB-SomMotB,-0.01101510004655242,False
DorsAttnB-TempPar,-0.06152092387938412,False
DorsAttnB-VisCent,0.05134512746096817,False
DorsAttnB-VisPeri,0.03703407544747889,False
LimbicA-LimbicA,0.25542845915745693,True
LimbicA-LimbicB,0.16856216110690195,False
LimbicA-SalVentAttnA,0.01494004146416501,False
LimbicA-SalVentAttnB,0.1769162823892378,False
LimbicA-SomMotA,-0.07293768588398615,False
LimbicA-SomMotB,-0.07823155573956009,False
LimbicA-TempPar,-0.05880486438820213,False
LimbicA-VisCent,0.055209514691989765,False
LimbicA-VisPeri,-0.03041353296960898,False
LimbicB-LimbicB,0.21095887728304463,True
LimbicB-SalVentAttnA,0.04029279181580413,False
LimbicB-SalVentAttnB,0.20656716648995474,False
LimbicB-SomMotA,-0.06717978424324224,False
LimbicB-SomMotB,-0.06407267442840762,False
LimbicB-TempPar,-0.01961057649257187,False
LimbicB-VisCent,0.028795362115129883,False
LimbicB-VisPeri,-0.038177608186444265,False
SalVentAttnA-SalVentAttnA,0.044277707185622524,True
