network_connection,fc,within_network
ContA-ContA,0.2604749343253222,True
ContA-ContB,0.15280711062908986,False
ContA-ContC,0.04370643491310859,False
ContA-DefaultA,0.14016688470291638,False
ContA-DefaultB,0.17028743440159422,False
ContA-DefaultC,0.18290258233455015,False
ContA-DorsAttnA,-0.12257663300377994,False
ContA-DorsAttnB,0.004851950087700854,False
ContA-LimbicA,0.18526147595993464,False
ContA-LimbicB,0.14455413804086217,False
ContA-SalVentAttnA,0.004052448400565981,False
ContA-SalVentAttnB,0.10218898677512389,False
ContA-SomMotA,-0.10107680388866329,False
ContA-SomMotB,-0.04339311060598549,False
ContA-TempPar,0.11294717700817036,False
ContA-VisCent,0.06562849120927983,False
ContA-VisPeri,-0.07585132940915373,False
ContB-ContB,0.16833252748796906,True
ContB-ContC,0.08870002054189675,False
ContB-DefaultA,0.11400972080170821,False
ContB-DefaultB,0.1148384535160491,False
ContB-DefaultC,0.1166819802213465,False
ContB-DorsAttnA,-0.05362899231624756,False
ContB-DorsAttnB,0.04243116305445134,False
ContB-LimbicA,0.08790210152016353,False
ContB-LimbicB,0.035170780425862004,False
ContB-SalVentAttnA,-0.02729504739407493,False
ContB-SalVentAttnB,0.020070779407319807,False
ContB-SomMotA,-0.05426232686243338,False
ContB-SomMotB,-0.06933443635076213,False
ContB-TempPar,0.15174550663918102,False
ContB-VisCent,0.05493393151719707,False
ContB-VisPeri,-0.046691314769311966,False
ContC-ContC,0.19033765687810164,True
ContC-DefaultA,0.11665058744626668,False
ContC-DefaultB,0.04379227172987596,False
ContC-DefaultC,-0.04444990435301731,False
ContC-DorsAttnA,-0.06733210657397629,False
ContC-DorsAttnB,0.003211138628376904,False
ContC-LimbicA,0.08212599057269528,False
ContC-LimbicB,0.019616746349974006,False
ContC-SalVentAttnA,-0.018745264882182186,False
ContC-SalVentAttnB,0.03279145577312215,False
ContC-SomMotA,0.03459126046911502,False
ContC-SomMotB,-0.030409007105383686,False
ContC-TempPar,0.03605004982047875,False
ContC-VisCent,0.04039690364385408,False
ContC-VisPeri,0.04270666030788323,False
DefaultA-DefaultA,0.14738408744823442,True
DefaultA-DefaultB,0.1290159809610253,False
DefaultA-DefaultC,0.08302735219182854,False
DefaultA-DorsAttnA,-0.09908228448048519,False
DefaultA-DorsAttnB,-0.001090664528906857,False
DefaultA-LimbicA,0.09340071357276532,False
DefaultA-LimbicB,0.08305841466073637,False
DefaultA-SalVentAttnA,-0.0100400193683707,False
DefaultA-SalVentAttnB,0.04454425494589653,False
DefaultA-SomMotA,-0.034095287200017935,False
DefaultA-SomMotB,-0.04044502389210025,False
DefaultA-TempPar,0.10884500983903106,False
DefaultA-VisCent,0.06261304364443565,False
DefaultA-VisPeri,-0.021049542111643834,False
DefaultB-DefaultB,0.1978128288409513,True
DefaultB-DefaultC,0.2657937154864853,False
DefaultB-DorsAttnA,-0.1091589643414129,False
DefaultB-DorsAttnB,-0.00017872457370982545,False
DefaultB-LimbicA,0.0771263969605292,False
DefaultB-LimbicB,0.0704523478864672,False
DefaultB-SalVentAttnA,-0.022991756323578416,False
DefaultB-SalVentAttnB,0.0166680721263239,False
DefaultB-SomMotA,-0.05841852527653968,False
DefaultB-SomMotB,-0.0613746897433115,False
DefaultB-TempPar,0.15968824172427684,False
DefaultB-VisCent,0.07772156281017757,False
DefaultB-VisPeri,-0.017078082144428127,False
DefaultC-DefaultC,0.507739571214375,True
DefaultC-DorsAttnA,-0.11843514732332733,False
DefaultC-DorsAttnB,-0.011231757164503985,False
DefaultC-LimbicA,0.06902955223237776,False
DefaultC-LimbicB,0.08943557818288828,False
DefaultC-SalVentAttnA,-0.027567800265292933,False
DefaultC-SalVentAttnB,0.0228249306318739,False
DefaultC-SomMotA,-0.12945844588886124,False
DefaultC-SomMotB,-0.08850050848303641,False
DefaultC-TempPar,0.2842292928706141,False
DefaultC-VisCent,0.07229102151427415,False
DefaultC-VisPeri,-0.06653127343056182,False
DorsAttnA-DorsAttnA,0.258970093412372,True
DorsAttnA-DorsAttnB,0.08367750074117207,False
DorsAttnA-LimbicA,-0.07042852989876078,False
DorsAttnA-LimbicB,-0.06756148838515594,False
DorsAttnA-SalVentAttnA,0.04645873859644216,False
DorsAttnA-SalVentAttnB,-0.005669244033662477,False
DorsAttnA-SomMotA,0.042295190318732,False
DorsAttnA-SomMotB,0.07663137783491325,False
DorsAttnA-TempPar,-0.15485190630679818,False
DorsAttnA-VisCent,-0.06285035243883111,False
DorsAttnA-VisPeri,0.005174188026931688,False
DorsAttnB-DorsAttnB,0.07269144190167327,True
DorsAttnB-LimbicA,0.0014143235366572938,False
DorsAttnB-LimbicB,-0.0013532576597378512,False
DorsAttnB-SalVentAttnA,0.013914838481003422,False
DorsAttnB-SalVentAttnB,0.019168164609533054,False
DorsAttnB-SomMotA,-0.0034780900395813465,False
DorsAttnB-SomMotB,-0.0002736867915783723,False
DorsAttnB-TempPar,-0.015623008070162717,False
DorsAttnB-VisCent,0.010289516485818499,False
DorsAttnB-VisPeri,-0.0018154102460978875,False
LimbicA-LimbicA,0.17815457003376253,True
LimbicA-LimbicB,0.14228682339802995,False
LimbicA-SalVentAttnA,0.01865621919381998,False
LimbicA-SalVentAttnB,0.12704510981002665,False
LimbicA-SomMotA,-0.07997188066899126,False
LimbicA-SomMotB,-0.004572679877408518,False
LimbicA-TempPar,0.005900375996956317,False
LimbicA-VisCent,0.023767322359429438,False
LimbicA-VisPeri,-0.07754621938986467,False
LimbicB-LimbicB,0.19081547841089846,True
LimbicB-SalVentAttnA,0.07191548565773974,False
LimbicB-SalVentAttnB,0.1700334771459928,False
LimbicB-SomMotA,-0.1021113897674178,False
LimbicB-SomMotB,0.03121768913400745,False
LimbicB-TempPar,0.03254189255828483,False
LimbicB-VisCent,0.01491583036198898,False
LimbicB-VisPeri,-0.09652685302336515,False
SalVentAttnA-SalVentAttnA,0.05886685083443228,True
SalVentAttnA-SalVentAttnB,0.08260821600855636,False
SalVentAttnA-SomMotA,-0.02297470662581064,False
SalVentAttnA-SomMotB,0.058001890304534044,False
SalVentAttnA-TempPar,-0.053045824205151304,False
SalVentAttnA-VisCent,-0.026623149914421912,False
SalVentAttnA-VisPeri,-0.030823745785211177,False
SalVentAttnB-SalVentAttnB,0.1684892457819615,True
SalVentAttnB-SomMotA,-0.08711019153962808,False
SalVentAttnB-SomMotB,0.036044465815624795,False
SalVentAttnB-TempPar,-0.04077739165893854,False
SalVentAttnB-VisCent,-0.021514280361750026,False
SalVentAttnB-VisPeri,-0.08367657691089682,False
SomMotA-SomMotA,0.14230812200106727,True
SomMotA-SomMotB,0.04863959593599794,False
SomMotA-TempPar,-0.06769825393114426,False
SomMotA-VisCent,0.03067856415927793,False
SomMotA-VisPeri,0.15313743624662743,False
SomMotB-SomMotB,0.11593114029814222,True
SomMotB-TempPar,-0.10144030150772594,False
SomMotB-VisCent,-0.01589637382452411,False
SomMotB-VisPeri,0.02370548150085787,False
TempPar-TempPar,0.42546939247492777,True
TempPar-VisCent,0.06651208520395671,False
TempPar-VisPeri,-0.03831100812734113,False
VisCent-VisCent,0.08283702494245146,True
VisCent-VisPeri,0.049149925158646725,False
VisPeri-VisPeri,0.22140513279234103,True
