network_connection,fc,within_network
ContA-ContA,0.20570413340501661,True
ContA-ContB,0.1772775436827228,False
ContA-ContC,0.18275169350451959,False
ContA-DefaultA,0.174431401059011,False
ContA-DefaultB,0.1510039004543791,False
ContA-DefaultC,0.035094884524074624,False
ContA-DorsAttnA,-0.044775618992248224,False
ContA-DorsAttnB,0.024268375941441805,False
ContA-LimbicA,0.21383445132546752,False
ContA-LimbicB,0.15228201606151992,False
ContA-SalVentAttnA,0.019395438341828854,False
ContA-SalVentAttnB,0.13787507049064335,False
ContA-SomMotA,-0.11406894451134303,False
ContA-SomMotB,-0.04585516071780426,False
ContA-TempPar,0.02801591912194638,False
ContA-VisCent,0.030059863066408066,False
ContA-VisPeri,-0.11320638036979007,False
ContB-ContB,0.2883479943266946,True
ContB-ContC,0.22875212966442163,False
ContB-DefaultA,0.17380392298259525,False
ContB-DefaultB,0.21259494540821763,False
ContB-DefaultC,0.1879323255677894,False
ContB-DorsAttnA,-0.029288237886333845,False
ContB-DorsAttnB,0.02622829424345266,False
ContB-LimbicA,0.18314954977686165,False
ContB-LimbicB,0.07174978165293132,False
ContB-SalVentAttnA,-0.030692166398427416,False
ContB-SalVentAttnB,0.018810393917544823,False
ContB-SomMotA,-0.15047397429688233,False
ContB-SomMotB,-0.06336611689866005,False
ContB-TempPar,0.20099084236678016,False
ContB-VisCent,0.031606853298774926,False
ContB-VisPeri,-0.17999869204759134,False
ContC-ContC,0.29945471123008677,True
ContC-DefaultA,0.25224273053863905,False
ContC-DefaultB,0.2194573998515422,False
ContC-DefaultC,0.055049386721778115,False
ContC-DorsAttnA,-0.06248333874066504,False
ContC-DorsAttnB,0.002518772195094591,False
ContC-LimbicA,0.2014406372704703,False
ContC-LimbicB,0.1214631037112316,False
ContC-SalVentAttnA,-0.009454256870491395,False
ContC-SalVentAttnB,0.08709832970367043,False
ContC-SomMotA,-0.14185664865345557,False
ContC-SomMotB,-0.07927970938479859,False
ContC-TempPar,0.06018527543185003,False
ContC-VisCent,0.017258424304778298,False
ContC-VisPeri,-0.1641487366545701,False
DefaultA-DefaultA,0.23181571413486574,True
DefaultA-DefaultB,0.19461232987133237,False
DefaultA-DefaultC,0.03336506872230922,False
DefaultA-DorsAttnA,-0.06889691784142536,False
DefaultA-DorsAttnB,-0.002770339462639501,False
DefaultA-LimbicA,0.18213093433653887,False
DefaultA-LimbicB,0.12955907817796378,False
DefaultA-SalVentAttnA,0.0020499112616456654,False
DefaultA-SalVentAttnB,0.10367470814584516,False
DefaultA-SomMotA,-0.11928552995656808,False
DefaultA-SomMotB,-0.061808033339704894,False
DefaultA-TempPar,0.03230411903317876,False
DefaultA-VisCent,0.023936419561573333,False
DefaultA-VisPeri,-0.1407967815983149,False
DefaultB-DefaultB,0.24176600683166183,True
DefaultB-DefaultC,0.23129006971460672,False
DefaultB-DorsAttnA,-0.09546147758927022,False
DefaultB-DorsAttnB,-0.02944819403514607,False
DefaultB-LimbicA,0.14361515781860112,False
