network_connection,fc,within_network
ContA-ContA,0.18503791589318563,True
ContA-ContB,0.05423795312475613,False
ContA-ContC,0.07331124000035671,False
ContA-DefaultA,0.08718913472931783,False
ContA-DefaultB,0.046179247710046355,False
ContA-DefaultC,-0.03793682838883098,False
ContA-DorsAttnA,-0.017335546077543458,False
ContA-DorsAttnB,0.039519493985621316,False
ContA-LimbicA,0.20301893865538562,False
ContA-LimbicB,0.15379415811929945,False
ContA-SalVentAttnA,0.030208991787941186,False
ContA-SalVentAttnB,0.16860916969156664,False
ContA-SomMotA,-0.10294865046245007,False
ContA-SomMotB,-0.053489662102690586,False
ContA-TempPar,-0.11909049420879093,False
ContA-VisCent,-0.022275353780163765,False
ContA-VisPeri,-0.09610178412567355,False
ContB-ContB,0.12844278333584078,True
ContB-ContC,0.0443424782110425,False
ContB-DefaultA,0.01868716034462988,False
ContB-DefaultB,0.038745483758069084,False
ContB-DefaultC,0.14298494672233839,False
ContB-DorsAttnA,-0.00624810908985207,False
ContB-DorsAttnB,0.03241160142844442,False
ContB-LimbicA,0.0369886580030026,False
ContB-LimbicB,0.029853402998021014,False
ContB-SalVentAttnA,-0.025906506471279494,False
ContB-SalVentAttnB,-0.0032148919593255124,False
ContB-SomMotA,-0.07513787934021851,False
ContB-SomMotB,-0.0408281250058774,False
ContB-TempPar,0.12708749994064739,False
ContB-VisCent,-0.0005715839937401826,False
ContB-VisPeri,-0.10455925314291213,False
ContC-ContC,0.17840886361925268,True
ContC-DefaultA,0.1159758753399849,False
ContC-DefaultB,0.052220230792176144,False
ContC-DefaultC,-0.006198186140562234,False
ContC-DorsAttnA,-0.09026194032797824,False
ContC-DorsAttnB,-0.019779503461504127,False
ContC-LimbicA,0.07398955168612051,False
ContC-LimbicB,0.10564567767472177,False
ContC-SalVentAttnA,-0.00521904268754308,False
ContC-SalVentAttnB,0.08650086854193016,False
ContC-SomMotA,-0.06608537473305005,False
ContC-SomMotB,-0.05338740126779373,False
ContC-TempPar,-0.0710783551457383,False
ContC-VisCent,-0.017638314933175744,False
ContC-VisPeri,-0.06027843230291764,False
DefaultA-DefaultA,0.10553911692428215,True
DefaultA-DefaultB,0.06145896756375442,False
DefaultA-DefaultC,-0.01394271870347073,False
DefaultA-DorsAttnA,-0.06659523701833449,False
DefaultA-DorsAttnB,-0.012175948199845642,False
DefaultA-LimbicA,0.08499048633143866,False
DefaultA-LimbicB,0.10647594578988884,False
DefaultA-SalVentAttnA,0.0067629094736234,False
DefaultA-SalVentAttnB,0.10422656445815896,False
DefaultA-SomMotA,-0.06018710970211795,False
DefaultA-SomMotB,-0.055541137321336434,False
DefaultA-TempPar,-0.06422913308482603,False
DefaultA-VisCent,-0.01847176194750521,False
DefaultA-VisPeri,-0.06235617758361756,False
DefaultB-DefaultB,0.06554602199635334,True
DefaultB-DefaultC,0.10460627536035719,False
DefaultB-DorsAttnA,-0.07929811889819242,False
DefaultB-DorsAttnB,-0.022205157596551027,False
DefaultB-LimbicA,0.023760149919709445,False
DefaultB-LimbicB,0.06130168767777105,False
DefaultB-SalVentAttnA,-0.009156428993439335,False
DefaultB-SalVentAttnB,0.0449244290969143,False
DefaultB-SomMotA,-0.05473135157631361,False
DefaultB-SomMotB,-0.042057322426523165,False
DefaultB-TempPar,0.04581715466729082,False
DefaultB-VisCent,-0.00979823951459405,False
DefaultB-VisPeri,-0.0486230577070065,False
DefaultC-DefaultC,0.3878396210498711,True
DefaultC-DorsAttnA,-0.08337131745964023,False
DefaultC-DorsAttnB,-0.019754578708603854,False
DefaultC-LimbicA,-0.10467542917645252,False
DefaultC-LimbicB,-0.02091509296396004,False
DefaultC-SalVentAttnA,-0.05661817504402817,False
DefaultC-SalVentAttnB,-0.09054006413473419,False
DefaultC-SomMotA,-0.05366496592639769,False
DefaultC-SomMotB,-0.037763727567462144,False
DefaultC-TempPar,0.35170671821123717,False
DefaultC-VisCent,0.0157471818266354,False
DefaultC-VisPeri,-0.07524821932850355,False
DorsAttnA-DorsAttnA,0.2666766393827351,True
DorsAttnA-DorsAttnB,0.10486695778330662,False
DorsAttnA-LimbicA,0.019833182678664605,False
DorsAttnA-LimbicB,-0.054944836411292365,False
DorsAttnA-SalVentAttnA,0.029346510048264333,False
DorsAttnA-SalVentAttnB,-0.0051996124898812,False
DorsAttnA-SomMotA,0.023660587692396765,False
DorsAttnA-SomMotB,0.04364090603472764,False
DorsAttnA-TempPar,-0.059751152255736316,False
DorsAttnA-VisCent,-0.004510062962409279,False
DorsAttnA-VisPeri,-0.049705689495357,False
DorsAttnB-DorsAttnB,0.09188395514411739,True
DorsAttnB-LimbicA,0.05659560497780656,False
DorsAttnB-LimbicB,0.03258449059386414,False
DorsAttnB-SalVentAttnA,0.01741858244859153,False
DorsAttnB-SalVentAttnB,0.04701509414098911,False
DorsAttnB-SomMotA,-0.020618152504536396,False
DorsAttnB-SomMotB,-0.004363975603549677,False
DorsAttnB-TempPar,-0.027889526494141295,False
DorsAttnB-VisCent,0.0131868866944803,False
DorsAttnB-VisPeri,-0.05654039484334042,False
LimbicA-LimbicA,0.2582223055386431,True
LimbicA-LimbicB,0.17238225490303627,False
LimbicA-SalVentAttnA,0.05057953122072552,False
LimbicA-SalVentAttnB,0.20888499523922283,False
LimbicA-SomMotA,-0.12751549069160498,False
LimbicA-SomMotB,-0.05001318738301617,False
LimbicA-TempPar,-0.18344901141762163,False
LimbicA-VisCent,-0.043489167474559554,False
LimbicA-VisPeri,-0.11011005628752585,False
LimbicB-LimbicB,0.186310334368587,True
LimbicB-SalVentAttnA,0.04827874735469085,False
LimbicB-SalVentAttnB,0.20621468390470094,False
LimbicB-SomMotA,-0.10573565194555488,False
LimbicB-SomMotB,-0.048781507803610534,False
LimbicB-TempPar,-0.1095163754990922,False
LimbicB-VisCent,-0.008696283144964106,False
LimbicB-VisPeri,-0.10064810733022414,False
SalVentAttnA-SalVentAttnA,0.0436008939958981,True
SalVentAttnA-SalVentAttnB,0.07932460518933926,False
SalVentAttnA-SomMotA,-0.01973319998349194,False
SalVentAttnA-SomMotB,0.012360696706762682,False
SalVentAttnA-TempPar,-0.08873979845687592,False
SalVentAttnA-VisCent,-0.0036136239209945474,False
SalVentAttnA-VisPeri,-0.003466986675929898,False
SalVentAttnB-SalVentAttnB,0.24716039958496736,True
SalVentAttnB-SomMotA,-0.11662449880473087,False
SalVentAttnB-SomMotB,-0.05053196744047264,False
SalVentAttnB-TempPar,-0.18902515951187088,False
SalVentAttnB-VisCent,-0.033421514249379405,False
SalVentAttnB-VisPeri,-0.09366503184527114,False
SomMotA-SomMotA,0.13989453934129872,True
SomMotA-SomMotB,0.06730939612157082,False
SomMotA-TempPar,0.010492642426335278,False
SomMotA-VisCent,0.048825829342912415,False
SomMotA-VisPeri,0.15033697124784426,False
SomMotB-SomMotB,0.07774631659592712,True
SomMotB-TempPar,-0.027500898858682357,False
SomMotB-VisCent,0.03633828949687294,False
SomMotB-VisPeri,0.0628970247014419,False
TempPar-TempPar,0.5301018228195016,True
TempPar-VisCent,0.01475891201097253,False
TempPar-VisPeri,-0.027570309426013694,False
VisCent-VisCent,0.044002862893386126,True
VisCent-VisPeri,0.042505707953100096,False
VisPeri-VisPeri,0.2531180972125852,True
