network_connection,fc,within_network
ContA-ContA,0.20961267865588873,True
ContA-ContB,0.15662318279454207,False
ContA-ContC,0.1393320638526155,False
ContA-DefaultA,0.12932379835461272,False
ContA-DefaultB,0.16959778338208875,False
ContA-DefaultC,0.13055212415247266,False
ContA-DorsAttnA,-0.11743365191147485,False
ContA-DorsAttnB,-0.01858833530956212,False
ContA-LimbicA,0.21514433406443542,False
ContA-LimbicB,0.08947797180606737,False
ContA-SalVentAttnA,-0.011959872745375102,False
ContA-SalVentAttnB,0.09422624856663078,False
ContA-SomMotA,-0.1532485784993776,False
ContA-SomMotB,-0.12200643502960605,False
ContA-TempPar,0.17321797840263073,False
ContA-VisCent,-0.07036229853390602,False
ContA-VisPeri,-0.16094027240379355,False
ContB-ContB,0.19479435235750284,True
ContB-ContC,0.12511878804299978,False
ContB-DefaultA,0.0842609717501436,False
ContB-DefaultB,0.1681030561181948,False
ContB-DefaultC,0.23192932669183913,False
ContB-DorsAttnA,-0.07597939406309201,False
ContB-DorsAttnB,-0.0034125151644516186,False
ContB-LimbicA,0.15814974718015656,False
ContB-LimbicB,0.052472632526177405,False
ContB-SalVentAttnA,-0.025696915644605006,False
ContB-SalVentAttnB,0.041932282622513056,False
ContB-SomMotA,-0.1495528247733496,False
ContB-SomMotB,-0.10597066667886271,False
ContB-TempPar,0.21985534483397218,False
ContB-VisCent,-0.04912173353129457,False
ContB-VisPeri,-0.15540818954224514,False
ContC-ContC,0.27669443479411676,True
ContC-DefaultA,0.22204549414606817,False
ContC-DefaultB,0.21531202267630967,False
ContC-DefaultC,0.12281380177085903,False
ContC-DorsAttnA,-0.15940564926729986,False
ContC-DorsAttnB,-0.04690853041700893,False
ContC-LimbicA,0.19006463214781041,False
ContC-LimbicB,0.1043031842448851,False
ContC-SalVentAttnA,-0.029334334713582124,False
ContC-SalVentAttnB,0.07311152105505139,False
ContC-SomMotA,-0.10976846305500061,False
ContC-SomMotB,-0.11408983128479896,False
ContC-TempPar,0.19674499592798367,False
ContC-VisCent,-0.045131464385195656,False
ContC-VisPeri,-0.12656629545310463,False
DefaultA-DefaultA,0.19488594727554037,True
DefaultA-DefaultB,0.19335194571364211,False
DefaultA-DefaultC,0.08499569925745235,False
DefaultA-DorsAttnA,-0.14606657977384208,False
DefaultA-DorsAttnB,-0.04534205566851082,False
DefaultA-LimbicA,0.1655061491473173,False
DefaultA-LimbicB,0.10615460670440299,False
DefaultA-SalVentAttnA,-0.014645524966593004,False
DefaultA-SalVentAttnB,0.0803436451224344,False
DefaultA-SomMotA,-0.09956409224340834,False
DefaultA-SomMotB,-0.09224779005468363,False
DefaultA-TempPar,0.1441165822319351,False
DefaultA-VisCent,-0.03973260870516967,False
DefaultA-VisPeri,-0.10871969590208029,False
DefaultB-DefaultB,0.28598205981366764,True
DefaultB-DefaultC,0.2640165856522062,False
DefaultB-DorsAttnA,-0.16484246271750663,False
DefaultB-DorsAttnB,-0.05590939131746471,False
DefaultB-LimbicA,0.18908263583371718,False
DefaultB-LimbicB,0.09317468944708845,False
DefaultB-SalVentAttnA,-0.046012091171743104,False
DefaultB-SalVentAttnB,0.032605069042670964,False
DefaultB-SomMotA,-0.1520952347769539,False
DefaultB-SomMotB,-0.12076370235137239,False
DefaultB-TempPar,0.25458524286187556,False
DefaultB-VisCent,-0.05555985174025877,False
DefaultB-VisPeri,-0.15459649820750948,False
DefaultC-DefaultC,0.4184027154029337,True
DefaultC-DorsAttnA,-0.11415905165274379,False
DefaultC-DorsAttnB,-0.028562715673869844,False
DefaultC-LimbicA,0.13301016790065273,False
DefaultC-LimbicB,0.02984968867869362,False
DefaultC-SalVentAttnA,-0.053646392760538134,False
DefaultC-SalVentAttnB,-0.02994376728686407,False
DefaultC-SomMotA,-0.16838140623941966,False
DefaultC-SomMotB,-0.1111291704990855,False
DefaultC-TempPar,0.38648930533017717,False
DefaultC-VisCent,-0.054071578966298994,False
DefaultC-VisPeri,-0.1687105873756767,False
DorsAttnA-DorsAttnA,0.21578642626325123,True
DorsAttnA-DorsAttnB,0.07830555968401469,False
DorsAttnA-LimbicA,-0.12804865289388886,False
DorsAttnA-LimbicB,-0.09016589892763657,False
DorsAttnA-SalVentAttnA,0.02220359674007761,False
DorsAttnA-SalVentAttnB,-0.04523947413887074,False
DorsAttnA-SomMotA,0.08313736367260638,False
DorsAttnA-SomMotB,0.08019694641586338,False
DorsAttnA-TempPar,-0.15396081969995523,False
DorsAttnA-VisCent,0.027349405736512483,False
DorsAttnA-VisPeri,0.048979587725468295,False
DorsAttnB-DorsAttnB,0.059082313598397676,True
DorsAttnB-LimbicA,-0.014127190423142253,False
DorsAttnB-LimbicB,0.0029235703859850103,False
DorsAttnB-SalVentAttnA,0.02563497981863319,False
DorsAttnB-SalVentAttnB,0.03779280666047137,False
DorsAttnB-SomMotA,-0.004948036013075254,False
DorsAttnB-SomMotB,0.012205550815795196,False
DorsAttnB-TempPar,-0.04392166686611591,False
DorsAttnB-VisCent,0.025744562847598487,False
DorsAttnB-VisPeri,-0.008407798889995786,False
LimbicA-LimbicA,0.22756711981987449,True
LimbicA-LimbicB,0.12944223889067827,False
LimbicA-SalVentAttnA,-0.0006749953270535892,False
LimbicA-SalVentAttnB,0.13353186751180912,False
LimbicA-SomMotA,-0.17275773086136725,False
LimbicA-SomMotB,-0.1195882463457601,False
LimbicA-TempPar,0.17519082598493071,False
LimbicA-VisCent,-0.06694131430155136,False
LimbicA-VisPeri,-0.18671599208071998,False
LimbicB-LimbicB,0.12718354160911813,True
LimbicB-SalVentAttnA,0.035711911206374805,False
LimbicB-SalVentAttnB,0.15052682688639124,False
LimbicB-SomMotA,-0.10790384334209864,False
LimbicB-SomMotB,-0.03877758096075809,False
LimbicB-TempPar,0.026773778144649017,False
LimbicB-VisCent,-0.008106869069953558,False
LimbicB-VisPeri,-0.10308862562852558,False
SalVentAttnA-SalVentAttnA,0.04857755440632688,True
SalVentAttnA-SalVentAttnB,0.07711332052103642,False
SalVentAttnA-SomMotA,-0.02164350274750811,False
SalVentAttnA-SomMotB,0.016208150300019722,False
SalVentAttnA-TempPar,-0.07235932856945376,False
SalVentAttnA-VisCent,0.0025200660908817315,False
SalVentAttnA-VisPeri,-0.013847526883021667,False
SalVentAttnB-SalVentAttnB,0.2162663201958887,True
SalVentAttnB-SomMotA,-0.1280360264025564,False
SalVentAttnB-SomMotB,-0.05459212102445799,False
SalVentAttnB-TempPar,-0.012275381012743822,False
SalVentAttnB-VisCent,-0.02230160698003716,False
SalVentAttnB-VisPeri,-0.11629565028319172,False
SomMotA-SomMotA,0.19319284144380716,True
SomMotA-SomMotB,0.1112884759490201,False
SomMotA-TempPar,-0.1538409380036602,False
SomMotA-VisCent,0.06092945131539954,False
SomMotA-VisPeri,0.19523061531477673,False
SomMotB-SomMotB,0.126172573824046,True
SomMotB-TempPar,-0.1454135949273497,False
SomMotB-VisCent,0.06863908643319223,False
SomMotB-VisPeri,0.10425028579938507,False
TempPar-TempPar,0.5728752674386102,True
TempPar-VisCent,-0.08526866602272336,False
TempPar-VisPeri,-0.17363973574934535,False
VisCent-VisCent,0.07789983718903082,True
VisCent-VisPeri,0.0737413999264492,False
VisPeri-VisPeri,0.25826618464349405,True
