network_connection,fc,within_network
ContA-ContA,0.2210092700627289,True
ContA-ContB,0.19267379211376132,False
ContA-ContC,0.0944194009279125,False
ContA-DefaultA,0.10559209127058601,False
ContA-DefaultB,0.07555439258971425,False
ContA-DefaultC,-0.030279315676531856,False
ContA-DorsAttnA,-0.009666709357766489,False
ContA-DorsAttnB,0.050538925703398775,False
ContA-LimbicA,0.19566583883849112,False
ContA-LimbicB,0.1220833853346364,False
ContA-SalVentAttnA,-0.007324230608888721,False
ContA-SalVentAttnB,0.11755097343934276,False
ContA-SomMotA,-0.10476664389725782,False
ContA-SomMotB,-0.06321535846274558,False
ContA-TempPar,-0.09607352020739857,False
ContA-VisCent,0.014955930240295278,False
ContA-VisPeri,-0.11373404126618943,False
ContB-ContB,0.2495834608360693,True
ContB-ContC,0.13288102201013555,False
ContB-DefaultA,0.12226690931639977,False
ContB-DefaultB,0.09713022176719072,False
ContB-DefaultC,0.024505080422877048,False
ContB-DorsAttnA,-0.024743366708826025,False
ContB-DorsAttnB,0.03444553827113961,False
ContB-LimbicA,0.1519881488156823,False
ContB-LimbicB,0.08019531419340363,False
ContB-SalVentAttnA,-0.05325220566206658,False
ContB-SalVentAttnB,0.04092451251225931,False
ContB-SomMotA,-0.09983084327293784,False
ContB-SomMotB,-0.08580651815172556,False
ContB-TempPar,-0.007456215093540208,False
ContB-VisCent,0.012740705721548935,False
ContB-VisPeri,-0.13331562531366317,False
ContC-ContC,0.23163387591978477,True
ContC-DefaultA,0.205562522718024,False
ContC-DefaultB,0.0706929872450597,False
ContC-DefaultC,-0.1717350534986151,False
ContC-DorsAttnA,-0.025341536697584616,False
ContC-DorsAttnB,-0.0043371413182907706,False
ContC-LimbicA,0.10475686059026827,False
ContC-LimbicB,0.10156275178470801,False
ContC-SalVentAttnA,0.00063629947780447,False
ContC-SalVentAttnB,0.1120505775293328,False
ContC-SomMotA,-0.0025173605509827535,False
ContC-SomMotB,-0.023218637649365406,False
ContC-TempPar,-0.17786080053288778,False
ContC-VisCent,0.02740735281441112,False
ContC-VisPeri,-0.008431358286292408,False
DefaultA-DefaultA,0.19967343986347216,True
DefaultA-DefaultB,0.08577048300775797,False
DefaultA-DefaultC,-0.15459551038119904,False
DefaultA-DorsAttnA,-0.023257601737602992,False
DefaultA-DorsAttnB,-0.001078431167921444,False
DefaultA-LimbicA,0.10720283674218922,False
DefaultA-LimbicB,0.1065649700062727,False
DefaultA-SalVentAttnA,0.0065384935056438925,False
DefaultA-SalVentAttnB,0.11005660538501992,False
DefaultA-SomMotA,-0.0105113614287832,False
DefaultA-SomMotB,-0.023463088436581195,False
DefaultA-TempPar,-0.1763810249949324,False
DefaultA-VisCent,0.030892392288833146,False
DefaultA-VisPeri,-0.023622968978269033,False
DefaultB-DefaultB,0.09691231225900195,True
DefaultB-DefaultC,0.0948339507045566,False
DefaultB-DorsAttnA,-0.051707128567668764,False
DefaultB-DorsAttnB,-0.030305910594889157,False
DefaultB-LimbicA,0.04953098033803608,False
DefaultB-LimbicB,0.0567436077510673,False
DefaultB-SalVentAttnA,-0.02354945948253916,False
DefaultB-SalVentAttnB,0.033579308302090376,False
DefaultB-SomMotA,-0.058153517329947384,False
DefaultB-SomMotB,-0.03559415633832993,False
DefaultB-TempPar,0.01978982888888151,False
DefaultB-VisCent,-0.00390700123055052,False
DefaultB-VisPeri,-0.08541797855271223,False
DefaultC-DefaultC,0.5256924051968068,True
DefaultC-DorsAttnA,-0.0990940564027438,False
DefaultC-DorsAttnB,-0.06920386598242943,False
DefaultC-LimbicA,-0.0762737225499024,False
DefaultC-LimbicB,-0.042770748984036634,False
DefaultC-SalVentAttnA,-0.06794096461845067,False
DefaultC-SalVentAttnB,-0.10920394477770097,False
DefaultC-SomMotA,-0.14239162581251077,False
DefaultC-SomMotB,-0.06871380338251787,False
DefaultC-TempPar,0.46025620101534,False
DefaultC-VisCent,-0.07639488465883665,False
DefaultC-VisPeri,-0.19757431188716088,False
DorsAttnA-DorsAttnA,0.14602953779693595,True
DorsAttnA-DorsAttnB,0.11675525092981119,False
DorsAttnA-LimbicA,0.012426854438140714,False
DorsAttnA-LimbicB,-0.004139669568121635,False
DorsAttnA-SalVentAttnA,0.04501163824955722,False
DorsAttnA-SalVentAttnB,0.029659648918918445,False
DorsAttnA-SomMotA,0.010439972810463495,False
DorsAttnA-SomMotB,0.025034160043742825,False
DorsAttnA-TempPar,-0.09546268839547842,False
DorsAttnA-VisCent,0.007952384314148226,False
DorsAttnA-VisPeri,0.008931992554878207,False
DorsAttnB-DorsAttnB,0.1418027522102768,True
DorsAttnB-LimbicA,0.058475783017896306,False
DorsAttnB-LimbicB,0.04580496321972902,False
DorsAttnB-SalVentAttnA,0.04329106069226083,False
DorsAttnB-SalVentAttnB,0.07433265576826233,False
DorsAttnB-SomMotA,-0.036735862458568934,False
DorsAttnB-SomMotB,-0.028467548056384576,False
DorsAttnB-TempPar,-0.07080420477814553,False
DorsAttnB-VisCent,0.00937965362193823,False
DorsAttnB-VisPeri,-0.03605617036825701,False
LimbicA-LimbicA,0.1806238984826576,True
