network_connection,fc,within_network
ContA-ContA,0.20543807028026895,True
ContA-ContB,0.09785041719231782,False
ContA-ContC,0.09559553413253553,False
ContA-DefaultA,0.10895211871640187,False
ContA-DefaultB,0.1341385080077451,False
ContA-DefaultC,0.06301619951463011,False
ContA-DorsAttnA,-0.061026048765002894,False
ContA-DorsAttnB,0.061754003510179324,False
ContA-LimbicA,0.21009636550981092,False
ContA-LimbicB,0.11610641591496754,False
ContA-SalVentAttnA,0.010619278698511269,False
ContA-SalVentAttnB,0.14630909115449853,False
ContA-SomMotA,-0.04257178040048448,False
ContA-SomMotB,-0.03068648579344162,False
ContA-TempPar,-0.02130131086849817,False
ContA-VisCent,-0.006106663936301404,False
ContA-VisPeri,-0.0320001864283229,False
ContB-ContB,0.09726995811241602,True
ContB-ContC,0.0834048172725356,False
ContB-DefaultA,0.05852948021643359,False
ContB-DefaultB,0.06852198772566295,False
ContB-DefaultC,0.06694971408770085,False
ContB-DorsAttnA,0.025194528265662004,False
ContB-DorsAttnB,0.05400408748204884,False
ContB-LimbicA,0.08451999517601573,False
ContB-LimbicB,0.03975230859788419,False
ContB-SalVentAttnA,0.011242055248121,False
ContB-SalVentAttnB,0.06805522369735903,False
ContB-SomMotA,-0.002923285427922422,False
ContB-SomMotB,0.008885318167641801,False
ContB-TempPar,0.04672314083080866,False
ContB-VisCent,0.028385359045962046,False
ContB-VisPeri,-0.00035068545515239575,False
ContC-ContC,0.21946421823390633,True
ContC-DefaultA,0.1914284600847432,False
ContC-DefaultB,0.1251333952817697,False
ContC-DefaultC,-0.0030158477949640324,False
ContC-DorsAttnA,-0.013062458437595967,False
ContC-DorsAttnB,0.08096447426713164,False
ContC-LimbicA,0.1430141763022814,False
ContC-LimbicB,0.139737322984759,False
ContC-SalVentAttnA,0.044648653720782236,False
ContC-SalVentAttnB,0.16417666303209053,False
ContC-SomMotA,0.02539434134780581,False
ContC-SomMotB,0.014745935926943917,False
ContC-TempPar,-0.05399363606947988,False
ContC-VisCent,0.061614215811227564,False
ContC-VisPeri,0.026022892248455873,False
DefaultA-DefaultA,0.1970712838284711,True
DefaultA-DefaultB,0.15513633815538985,False
DefaultA-DefaultC,0.012042411695836844,False
DefaultA-DorsAttnA,-0.03517937366666202,False
DefaultA-DorsAttnB,0.056070742272310986,False
DefaultA-LimbicA,0.15710522291503493,False
DefaultA-LimbicB,0.15363299224899182,False
DefaultA-SalVentAttnA,0.040727039144977335,False
DefaultA-SalVentAttnB,0.1538789557964687,False
DefaultA-SomMotA,0.0025876072062083295,False
DefaultA-SomMotB,-0.003940099928226777,False
DefaultA-TempPar,-0.03653152176805056,False
DefaultA-VisCent,0.046334941541366116,False
DefaultA-VisPeri,-0.021650828220858277,False
DefaultB-DefaultB,0.1921881987533664,True
DefaultB-DefaultC,0.12015798442256627,False
DefaultB-DorsAttnA,-0.08280894640761459,False
DefaultB-DorsAttnB,0.020394485252637717,False
DefaultB-LimbicA,0.15292025086275812,False
DefaultB-LimbicB,0.1272783792956589,False
DefaultB-SalVentAttnA,0.020840361806662766,False
DefaultB-SalVentAttnB,0.12055185073917028,False
DefaultB-SomMotA,-0.02862310550529867,False
DefaultB-SomMotB,-0.02169838809495481,False
DefaultB-TempPar,0.019077127496415526,False
DefaultB-VisCent,0.01625352289063398,False
DefaultB-VisPeri,-0.0426171605432857,False
DefaultC-DefaultC,0.20239130317855583,True
DefaultC-DorsAttnA,-0.05791492266823989,False
DefaultC-DorsAttnB,0.0018163852623606764,False
DefaultC-LimbicA,0.04516045823837287,False
DefaultC-LimbicB,0.03533661685571266,False
DefaultC-SalVentAttnA,0.015536286682066181,False
DefaultC-SalVentAttnB,0.04034251720999846,False
DefaultC-SomMotA,-0.03543452921255514,False
DefaultC-SomMotB,-0.005205059897264282,False
DefaultC-TempPar,0.1549757162883581,False
DefaultC-VisCent,0.008682609808733933,False
DefaultC-VisPeri,-0.02275338219922845,False
DorsAttnA-DorsAttnA,0.3749595972376605,True
DorsAttnA-DorsAttnB,0.06728405355843323,False
DorsAttnA-LimbicA,-0.045441666363803666,False
DorsAttnA-LimbicB,-0.10639696355720528,False
DorsAttnA-SalVentAttnA,0.07606833982004788,False
DorsAttnA-SalVentAttnB,-0.013391653620218654,False
DorsAttnA-SomMotA,0.10392802100095822,False
DorsAttnA-SomMotB,0.15293613608359455,False
DorsAttnA-TempPar,-0.005032885325040486,False
DorsAttnA-VisCent,0.023033461398965883,False
DorsAttnA-VisPeri,0.11964565710524475,False
DorsAttnB-DorsAttnB,0.11057783281611105,True
DorsAttnB-LimbicA,0.08420102438178488,False
DorsAttnB-LimbicB,0.060234270593881145,False
DorsAttnB-SalVentAttnA,0.04730150184688149,False
DorsAttnB-SalVentAttnB,0.11179226241601775,False
DorsAttnB-SomMotA,0.032575811437686925,False
DorsAttnB-SomMotB,0.02537900795438843,False
DorsAttnB-TempPar,-0.002834875022673239,False
DorsAttnB-VisCent,0.04816985182839605,False
DorsAttnB-VisPeri,0.08175143090203711,False
LimbicA-LimbicA,0.23955763681280295,True
LimbicA-LimbicB,0.15858451932632525,False
LimbicA-SalVentAttnA,0.03748571915635093,False
LimbicA-SalVentAttnB,0.1942773049698111,False
LimbicA-SomMotA,-0.04242983172561937,False
LimbicA-SomMotB,-0.027418933861740182,False
LimbicA-TempPar,-0.04883544224949811,False
LimbicA-VisCent,-0.002480777909668361,False
LimbicA-VisPeri,-0.048418763582382805,False
LimbicB-LimbicB,0.18052447739975905,True
LimbicB-SalVentAttnA,0.03966396470168518,False
LimbicB-SalVentAttnB,0.17770768604109194,False
LimbicB-SomMotA,-0.043294995914754775,False
LimbicB-SomMotB,-0.05071269104000809,False
LimbicB-TempPar,-0.025906219717937273,False
LimbicB-VisCent,0.024360978279778147,False
LimbicB-VisPeri,-0.052645070197651384,False
SalVentAttnA-SalVentAttnA,0.06381096073131619,True
SalVentAttnA-SalVentAttnB,0.08580049167011997,False
SalVentAttnA-SomMotA,0.029723211725723578,False
SalVentAttnA-SomMotB,0.05176339128286154,False
SalVentAttnA-TempPar,-0.009147824750902965,False
SalVentAttnA-VisCent,0.023877446950660686,False
SalVentAttnA-VisPeri,0.05077704198094385,False
SalVentAttnB-SalVentAttnB,0.2587057711105065,True
SalVentAttnB-SomMotA,-0.007013733695269842,False
SalVentAttnB-SomMotB,0.015006015636260556,False
SalVentAttnB-TempPar,-0.07143660404335153,False
SalVentAttnB-VisCent,0.03930652754029646,False
SalVentAttnB-VisPeri,0.034477653542829646,False
SomMotA-SomMotA,0.14040351835309833,True
SomMotA-SomMotB,0.1131511568521319,False
SomMotA-TempPar,0.010619413384443659,False
SomMotA-VisCent,0.08277286488906029,False
SomMotA-VisPeri,0.1903870257912308,False
SomMotB-SomMotB,0.13364355981218892,True
SomMotB-TempPar,0.008572893141824375,False
SomMotB-VisCent,0.05713277828892,False
SomMotB-VisPeri,0.14326824460134105,False
TempPar-TempPar,0.31407878957698576,True
TempPar-VisCent,0.01824783832372399,False
TempPar-VisPeri,-0.0065031310439560555,False
VisCent-VisCent,0.09232314906649373,True
VisCent-VisPeri,0.11113582665271358,False
VisPeri-VisPeri,0.3487124135313073,True
