network_connection,fc,within_network
ContA-ContA,0.28979030046829113,True
ContA-ContB,0.1621297504812472,False
ContA-ContC,0.19160503818241997,False
ContA-DefaultA,0.19733965916248822,False
ContA-DefaultB,0.14112255189836567,False
ContA-DefaultC,-0.05432972483596338,False
ContA-DorsAttnA,0.013864289395425933,False
ContA-DorsAttnB,0.10464161401171533,False
ContA-LimbicA,0.26176434941189947,False
ContA-LimbicB,0.15708890144442542,False
ContA-SalVentAttnA,0.015853825325609278,False
ContA-SalVentAttnB,0.1495462823517633,False
ContA-SomMotA,-0.0051891097182141166,False
ContA-SomMotB,-0.03638074014411052,False
ContA-TempPar,-0.10260601882351618,False
ContA-VisCent,0.09796300779142093,False
ContA-VisPeri,-0.009452723885786076,False
ContB-ContB,0.22727108624264952,True
ContB-ContC,0.07745626057750325,False
ContB-DefaultA,0.061976671262557424,False
ContB-DefaultB,0.08684926799474552,False
ContB-DefaultC,0.08392772563597863,False
ContB-DorsAttnA,0.005141241442440712,False
ContB-DorsAttnB,0.10352828235708582,False
ContB-LimbicA,0.10562602978150577,False
ContB-LimbicB,0.032442950690688074,False
ContB-SalVentAttnA,-0.05289527385241736,False
ContB-SalVentAttnB,-0.03495336360538922,False
ContB-SomMotA,-0.03212329918167768,False
ContB-SomMotB,-0.0852930540281589,False
ContB-TempPar,0.1176463736320514,False
ContB-VisCent,0.07936610471492787,False
ContB-VisPeri,-0.04460039182376174,False
ContC-ContC,0.38397505063656223,True
ContC-DefaultA,0.3597491605780192,False
ContC-DefaultB,0.16491308880623506,False
ContC-DefaultC,-0.18042735941107355,False
ContC-DorsAttnA,0.016061485296060878,False
ContC-DorsAttnB,0.10765248241637002,False
ContC-LimbicA,0.20373244768095836,False
ContC-LimbicB,0.20145939687159223,False
ContC-SalVentAttnA,0.04146366931144685,False
ContC-SalVentAttnB,0.19455445599889715,False
ContC-SomMotA,0.12929604420158594,False
ContC-SomMotB,0.004416900795830461,False
ContC-TempPar,-0.20722902479449143,False
ContC-VisCent,0.16802314343637767,False
ContC-VisPeri,0.12003639471370059,False
DefaultA-DefaultA,0.36445268826343974,True
DefaultA-DefaultB,0.19535829524988915,False
DefaultA-DefaultC,-0.16432246667369832,False
DefaultA-DorsAttnA,-0.004340171555620444,False
DefaultA-DorsAttnB,0.0873992531283408,False
DefaultA-LimbicA,0.19479501443347008,False
DefaultA-LimbicB,0.19705489459448938,False
DefaultA-SalVentAttnA,0.03688490707110795,False
DefaultA-SalVentAttnB,0.1707941217137144,False
DefaultA-SomMotA,0.1299451118701014,False
DefaultA-SomMotB,0.012348691830060274,False
DefaultA-TempPar,-0.21790514947337894,False
DefaultA-VisCent,0.16521342016060458,False
DefaultA-VisPeri,0.1128120437017547,False
DefaultB-DefaultB,0.20671713780677303,True
DefaultB-DefaultC,0.11108166762295543,False
DefaultB-DorsAttnA,-0.07212376901804489,False
DefaultB-DorsAttnB,-0.011234130787711776,False
DefaultB-LimbicA,0.10756724333251662,False
DefaultB-LimbicB,0.11697271754544038,False
DefaultB-SalVentAttnA,-0.03215091970071361,False
DefaultB-SalVentAttnB,0.04775313710750855,False
DefaultB-SomMotA,-0.027411800822344325,False
DefaultB-SomMotB,-0.03488085300920038,False
DefaultB-TempPar,-0.004875796783969217,False
DefaultB-VisCent,0.03936331243465616,False
DefaultB-VisPeri,-0.04773344324712903,False
DefaultC-DefaultC,0.45818913309682247,True
DefaultC-DorsAttnA,-0.14515281934242705,False
DefaultC-DorsAttnB,-0.1305900960288033,False
DefaultC-LimbicA,-0.09733587793980898,False
DefaultC-LimbicB,-0.05874377258549045,False
DefaultC-SalVentAttnA,-0.10520224809822286,False
DefaultC-SalVentAttnB,-0.14570767530240317,False
DefaultC-SomMotA,-0.24093344569272748,False
DefaultC-SomMotB,-0.09940374013932798,False
DefaultC-TempPar,0.3688280573812347,False
DefaultC-VisCent,-0.14787388730798773,False
DefaultC-VisPeri,-0.2574474764268443,False
DorsAttnA-DorsAttnA,0.161925991205654,True
DorsAttnA-DorsAttnB,0.10495616880825177,False
DorsAttnA-LimbicA,0.024707673529216694,False
DorsAttnA-LimbicB,-0.012088359076875416,False
DorsAttnA-SalVentAttnA,0.05527368949681943,False
DorsAttnA-SalVentAttnB,0.04109172512892062,False
DorsAttnA-SomMotA,0.09500428433888501,False
DorsAttnA-SomMotB,0.04678086923854642,False
DorsAttnA-TempPar,-0.11375399151795024,False
DorsAttnA-VisCent,0.06657326832754332,False
DorsAttnA-VisPeri,0.10469761340376597,False
DorsAttnB-DorsAttnB,0.17666570337373513,True
DorsAttnB-LimbicA,0.08898514373486574,False
DorsAttnB-LimbicB,0.04939189791704567,False
DorsAttnB-SalVentAttnA,0.047117004399397866,False
