network_connection,fc,within_network
ContA-ContA,0.28822799805339266,True
ContA-ContB,0.2344813618355714,False
ContA-ContC,0.19997046730422227,False
ContA-DefaultA,0.19991000342037651,False
ContA-DefaultB,0.26120976779422683,False
ContA-DefaultC,0.15221590104136393,False
ContA-DorsAttnA,-0.06193343785120785,False
ContA-DorsAttnB,-0.02012755732221707,False
ContA-LimbicA,0.28782282777747753,False
ContA-LimbicB,0.18552249737319684,False
ContA-SalVentAttnA,-0.005280377040909212,False
ContA-SalVentAttnB,0.14860534129245317,False
ContA-SomMotA,-0.16671000840669215,False
ContA-SomMotB,-0.05358204345185465,False
ContA-TempPar,0.1548438697940602,False
ContA-VisCent,-0.008447895739220744,False
ContA-VisPeri,-0.1779584826865413,False
ContB-ContB,0.26029050529859554,True
ContB-ContC,0.19275038459693744,False
ContB-DefaultA,0.16127399591772598,False
ContB-DefaultB,0.23590800541791712,False
ContB-DefaultC,0.19021600196357438,False
ContB-DorsAttnA,-0.019190896616317465,False
ContB-DorsAttnB,-0.00028545118728112587,False
ContB-LimbicA,0.221427018588596,False
ContB-LimbicB,0.10144646344055541,False
ContB-SalVentAttnA,-0.02194565744469926,False
ContB-SalVentAttnB,0.04787049973199465,False
ContB-SomMotA,-0.1374612010307052,False
ContB-SomMotB,-0.04463375204636326,False
ContB-TempPar,0.2435986170480612,False
ContB-VisCent,0.008133212704325245,False
ContB-VisPeri,-0.15735880288159385,False
ContC-ContC,0.3619213852058856,True
ContC-DefaultA,0.35796287047421027,False
ContC-DefaultB,0.3549095543173455,False
ContC-DefaultC,0.19724419292111106,False
ContC-DorsAttnA,-0.1468086826281584,False
ContC-DorsAttnB,-0.08179821626034732,False
ContC-LimbicA,0.22149907702456595,False
ContC-LimbicB,0.2324813921246499,False
ContC-SalVentAttnA,-0.008192999577890736,False
ContC-SalVentAttnB,0.16234374611903352,False
ContC-SomMotA,-0.11296988057951275,False
ContC-SomMotB,-0.03262651753262851,False
ContC-TempPar,0.1659745876551716,False
ContC-VisCent,0.023258892289912257,False
ContC-VisPeri,-0.14017697943450738,False
DefaultA-DefaultA,0.36479868616934835,True
DefaultA-DefaultB,0.37216413102655016,False
DefaultA-DefaultC,0.2055549042670212,False
DefaultA-DorsAttnA,-0.1706487631905886,False
DefaultA-DorsAttnB,-0.09380042535565453,False
DefaultA-LimbicA,0.2152444975051693,False
DefaultA-LimbicB,0.2600417164575145,False
DefaultA-SalVentAttnA,-0.010129091302442416,False
