network_connection,fc,within_network
ContA-ContA,0.24936239246000425,True
ContA-ContB,0.09717051310941341,False
ContA-ContC,0.10234564901673582,False
ContA-DefaultA,0.11518501309526978,False
ContA-DefaultB,0.07845919074606773,False
ContA-DefaultC,-0.02666194662379169,False
ContA-DorsAttnA,-0.020602045745845305,False
ContA-DorsAttnB,0.0628792469384945,False
ContA-LimbicA,0.23800168419217876,False
ContA-LimbicB,0.18480525280379972,False
ContA-SalVentAttnA,0.041598354991491907,False
ContA-SalVentAttnB,0.2068875651547649,False
ContA-SomMotA,-0.07103461682832951,False
ContA-SomMotB,-0.014361137109172828,False
ContA-TempPar,-0.040140908956785085,False
ContA-VisCent,0.013527629040315603,False
ContA-VisPeri,-0.061573217569591915,False
ContB-ContB,0.1018864169411312,True
ContB-ContC,0.08779867809990324,False
ContB-DefaultA,0.08670422112727591,False
ContB-DefaultB,0.08162443959673099,False
ContB-DefaultC,0.07247559229708399,False
ContB-DorsAttnA,0.03280264514469841,False
ContB-DorsAttnB,0.03506197422311975,False
ContB-LimbicA,0.1144849765355011,False
ContB-LimbicB,0.08602425425629166,False
ContB-SalVentAttnA,0.020152364910978337,False
ContB-SalVentAttnB,0.08555555354762862,False
ContB-SomMotA,-0.05107274085745339,False
ContB-SomMotB,-0.007453014070055978,False
ContB-TempPar,0.08244522251816788,False
ContB-VisCent,-0.01263744838881954,False
ContB-VisPeri,-0.09572078145086206,False
ContC-ContC,0.1789922215699047,True
ContC-DefaultA,0.16206820188202611,False
ContC-DefaultB,0.11365121600919405,False
ContC-DefaultC,0.019492838792469238,False
ContC-DorsAttnA,-0.013484424095153906,False
ContC-DorsAttnB,0.029812235841037486,False
ContC-LimbicA,0.12401188605634622,False
ContC-LimbicB,0.14339667112385326,False
ContC-SalVentAttnA,0.043547883280421654,False
ContC-SalVentAttnB,0.15749919118286757,False
ContC-SomMotA,-0.055099687627466046,False
ContC-SomMotB,-0.027000468153963314,False
ContC-TempPar,0.025069818373896432,False
ContC-VisCent,-0.006299325346579208,False
ContC-VisPeri,-0.06559110809876172,False
DefaultA-DefaultA,0.16978493814085685,True
DefaultA-DefaultB,0.13707736633590958,False
DefaultA-DefaultC,0.04378226342114242,False
DefaultA-DorsAttnA,-0.01047910457103256,False
DefaultA-DorsAttnB,0.023713699986017616,False
DefaultA-LimbicA,0.13695932945939032,False
DefaultA-LimbicB,0.15797034634421123,False
DefaultA-SalVentAttnA,0.047646809344653665,False
DefaultA-SalVentAttnB,0.166198014203935,False
DefaultA-SomMotA,-0.06299997822715751,False
DefaultA-SomMotB,-0.015727989829611905,False
DefaultA-TempPar,0.05721489420889001,False
DefaultA-VisCent,-0.013353102912359046,False
DefaultA-VisPeri,-0.09525024209436794,False
DefaultB-DefaultB,0.158864556802449,True
DefaultB-DefaultC,0.15849374969293958,False
DefaultB-DorsAttnA,-0.038477131748066856,False
DefaultB-DorsAttnB,-0.006418926848390584,False
DefaultB-LimbicA,0.09809307487913041,False
DefaultB-LimbicB,0.13764495261390924,False
DefaultB-SalVentAttnA,0.02634283650081512,False
DefaultB-SalVentAttnB,0.13384719601738465,False
DefaultB-SomMotA,-0.06370806171778168,False
DefaultB-SomMotB,-0.020696816180773896,False
DefaultB-TempPar,0.12138010734715823,False
DefaultB-VisCent,-0.00891647977734227,False
DefaultB-VisPeri,-0.08819225023802651,False
DefaultC-DefaultC,0.3358352060605149,True
DefaultC-DorsAttnA,-0.06716130250132896,False
DefaultC-DorsAttnB,-0.04534563825512228,False
DefaultC-LimbicA,0.004446249441432354,False
DefaultC-LimbicB,0.0585019469884173,False
DefaultC-SalVentAttnA,-0.008125310964580367,False
DefaultC-SalVentAttnB,0.03287519439617675,False
DefaultC-SomMotA,-0.059769049390887834,False
DefaultC-SomMotB,-0.039434098043376435,False
DefaultC-TempPar,0.26302731916969846,False
DefaultC-VisCent,-0.020385524338204727,False
DefaultC-VisPeri,-0.07344989861403625,False
DorsAttnA-DorsAttnA,0.3208159018054551,True
DorsAttnA-DorsAttnB,0.11009851334948959,False
DorsAttnA-LimbicA,0.021383912274391025,False
DorsAttnA-LimbicB,-0.07663535788079275,False
DorsAttnA-SalVentAttnA,0.02932529204075639,False
DorsAttnA-SalVentAttnB,-0.052448590215796634,False
DorsAttnA-SomMotA,0.043878119989136634,False
DorsAttnA-SomMotB,0.09147574991613233,False
DorsAttnA-TempPar,0.0027348118311241987,False
DorsAttnA-VisCent,-0.03293202667717916,False
DorsAttnA-VisPeri,-0.12470325030251114,False
DorsAttnB-DorsAttnB,0.12294719834536487,True
DorsAttnB-LimbicA,0.07143839459811843,False
DorsAttnB-LimbicB,0.05182755106080927,False
DorsAttnB-SalVentAttnA,0.03640135320458858,False
DorsAttnB-SalVentAttnB,0.08327723231819724,False
DorsAttnB-SomMotA,0.003839865187211227,False
DorsAttnB-SomMotB,0.004008271180045512,False
DorsAttnB-TempPar,-0.05157162554910829,False
DorsAttnB-VisCent,0.018068578691724655,False
DorsAttnB-VisPeri,-0.03512511200553031,False
LimbicA-LimbicA,0.24693371469589842,True
LimbicA-LimbicB,0.20093976732868826,False
LimbicA-SalVentAttnA,0.05428907764432776,False
LimbicA-SalVentAttnB,0.22274713725268006,False
LimbicA-SomMotA,-0.10639432295377438,False
LimbicA-SomMotB,-0.023422814588813793,False
LimbicA-TempPar,0.016991260731822652,False
LimbicA-VisCent,-0.02839749719314205,False
LimbicA-VisPeri,-0.14829885304369428,False
LimbicB-LimbicB,0.25756931276146006,True
LimbicB-SalVentAttnA,0.06444697701518702,False
LimbicB-SalVentAttnB,0.2695678467910512,False
LimbicB-SomMotA,-0.1090141162889093,False
LimbicB-SomMotB,-0.04561318334671195,False
LimbicB-TempPar,0.028311514236394466,False
LimbicB-VisCent,0.008816702196153095,False
LimbicB-VisPeri,-0.12040027678551257,False
SalVentAttnA-SalVentAttnA,0.06431168334431799,True
SalVentAttnA-SalVentAttnB,0.0800773994880094,False
SalVentAttnA-SomMotA,-0.009052843025231806,False
SalVentAttnA-SomMotB,0.02294032632872071,False
SalVentAttnA-TempPar,0.0027728515662647107,False
SalVentAttnA-VisCent,-0.00827753848744205,False
SalVentAttnA-VisPeri,-0.021025169311814883,False
SalVentAttnB-SalVentAttnB,0.29253151022367385,True
SalVentAttnB-SomMotA,-0.10945336937353715,False
SalVentAttnB-SomMotB,-0.056647694570196486,False
SalVentAttnB-TempPar,0.0019081807915956308,False
SalVentAttnB-VisCent,0.001731967334394156,False
SalVentAttnB-VisPeri,-0.1064894337882762,False
SomMotA-SomMotA,0.1428360249089683,True
SomMotA-SomMotB,0.08620493661215288,False
SomMotA-TempPar,-0.055443526569456315,False
SomMotA-VisCent,0.08329332038806338,False
SomMotA-VisPeri,0.1961697522393026,False
SomMotB-SomMotB,0.12473329110538252,True
SomMotB-TempPar,-0.020487235076104685,False
SomMotB-VisCent,0.04192779133231363,False
SomMotB-VisPeri,0.04420288746731844,False
TempPar-TempPar,0.3715887591501076,True
TempPar-VisCent,-0.05140371761303444,False
TempPar-VisPeri,-0.11774271640524928,False
VisCent-VisCent,0.09813114517925395,True
VisCent-VisPeri,0.1372319503767071,False
VisPeri-VisPeri,0.43192093696906464,True
