network_connection,fc,within_network
ContA-ContA,0.1881576318640854,True
ContA-ContB,0.14717505354747884,False
ContA-ContC,0.09093947744500222,False
ContA-DefaultA,0.11236596749249093,False
ContA-DefaultB,0.11970520899512016,False
ContA-DefaultC,0.0986491850600167,False
ContA-DorsAttnA,0.01643678448768866,False
ContA-DorsAttnB,0.08438874761763161,False
ContA-LimbicA,0.1867764741234978,False
ContA-LimbicB,0.11657161082541564,False
ContA-SalVentAttnA,0.023775673393826618,False
ContA-SalVentAttnB,0.1300435179125454,False
ContA-SomMotA,-0.04437706153935598,False
ContA-SomMotB,-0.03536482249686293,False
ContA-TempPar,0.025333448214491,False
ContA-VisCent,0.052329928051875196,False
ContA-VisPeri,-0.04658251235168353,False
ContB-ContB,0.2156985973782068,True
ContB-ContC,0.0693844605146513,False
ContB-DefaultA,0.054405891462791935,False
ContB-DefaultB,0.1088559817106856,False
ContB-DefaultC,0.20712429125052828,False
ContB-DorsAttnA,0.043402755577584815,False
ContB-DorsAttnB,0.09420058832079321,False
ContB-LimbicA,0.10092628765658011,False
ContB-LimbicB,0.028867739508814466,False
ContB-SalVentAttnA,-0.029134271605672606,False
ContB-SalVentAttnB,-0.0070088756001070104,False
ContB-SomMotA,-0.053612369357907134,False
ContB-SomMotB,-0.04857890641758939,False
ContB-TempPar,0.1812357163119755,False
ContB-VisCent,0.043890174753101766,False
ContB-VisPeri,-0.08341102331796281,False
ContC-ContC,0.25330060985533315,True
ContC-DefaultA,0.22452336904557935,False
ContC-DefaultB,0.10950482645993657,False
ContC-DefaultC,-0.03190251239958049,False
ContC-DorsAttnA,0.04383191444998046,False
ContC-DorsAttnB,0.11613995369022014,False
ContC-LimbicA,0.1461481484087476,False
ContC-LimbicB,0.1707023535605243,False
ContC-SalVentAttnA,0.07367159045655333,False
ContC-SalVentAttnB,0.2096923904359124,False
ContC-SomMotA,0.062146221812071384,False
ContC-SomMotB,0.0015819836134341896,False
ContC-TempPar,-0.06136170729854886,False
ContC-VisCent,0.12401491188380004,False
ContC-VisPeri,0.059595724003869595,False
DefaultA-DefaultA,0.23667761432322212,True
DefaultA-DefaultB,0.14271200296398664,False
DefaultA-DefaultC,-0.01860362214570314,False
DefaultA-DorsAttnA,0.024288057294347885,False
DefaultA-DorsAttnB,0.1034099321744079,False
DefaultA-LimbicA,0.15755190328235544,False
DefaultA-LimbicB,0.17657083183821243,False
DefaultA-SalVentAttnA,0.07176693904071625,False
DefaultA-SalVentAttnB,0.21246990611519195,False
DefaultA-SomMotA,0.05551084720825278,False
DefaultA-SomMotB,-0.0030430104782733555,False
DefaultA-TempPar,-0.07338433993992562,False
DefaultA-VisCent,0.1256315398284009,False
DefaultA-VisPeri,0.05526158659641461,False
DefaultB-DefaultB,0.17619393611335102,True
DefaultB-DefaultC,0.19337040955382812,False
DefaultB-DorsAttnA,-0.02041526780439916,False
DefaultB-DorsAttnB,0.04384318677289525,False
DefaultB-LimbicA,0.1175725028599066,False
DefaultB-LimbicB,0.10363095616742378,False
DefaultB-SalVentAttnA,0.015233363846089809,False
DefaultB-SalVentAttnB,0.09589467488354117,False
DefaultB-SomMotA,-0.013922093342482875,False
DefaultB-SomMotB,-0.025111156638830193,False
DefaultB-TempPar,0.0520389966974457,False
DefaultB-VisCent,0.07240671156963135,False
DefaultB-VisPeri,-0.024579238165268354,False
DefaultC-DefaultC,0.4994993511242181,True
DefaultC-DorsAttnA,-0.05055775947761163,False
DefaultC-DorsAttnB,0.01516653329988194,False
DefaultC-LimbicA,0.022929377120967664,False
DefaultC-LimbicB,-0.008974198285114617,False
DefaultC-SalVentAttnA,-0.05076003066793584,False
DefaultC-SalVentAttnB,-0.09269077015200408,False
DefaultC-SomMotA,-0.09081694323670768,False
DefaultC-SomMotB,-0.06084532759111374,False
DefaultC-TempPar,0.3321876493951078,False
DefaultC-VisCent,0.028348682816546462,False
DefaultC-VisPeri,-0.0988626054200296,False
DorsAttnA-DorsAttnA,0.18438304836295238,True
DorsAttnA-DorsAttnB,0.11636163319746301,False
DorsAttnA-LimbicA,0.03315039096964161,False
DorsAttnA-LimbicB,0.008050304959860024,False
DorsAttnA-SalVentAttnA,0.02620094448764844,False
DorsAttnA-SalVentAttnB,0.022547883678777674,False
DorsAttnA-SomMotA,0.07839158441259098,False
DorsAttnA-SomMotB,0.04795282566109198,False
DorsAttnA-TempPar,-0.013820210882292195,False
DorsAttnA-VisCent,0.0652088878897327,False
DorsAttnA-VisPeri,0.06682836206540292,False
DorsAttnB-DorsAttnB,0.16334208779166368,True
DorsAttnB-LimbicA,0.10145630432939316,False
DorsAttnB-LimbicB,0.09751826663932078,False
DorsAttnB-SalVentAttnA,0.04427080072749338,False
DorsAttnB-SalVentAttnB,0.11684523015405131,False
DorsAttnB-SomMotA,0.042265919432401836,False
DorsAttnB-SomMotB,-0.013842672935732298,False
DorsAttnB-TempPar,0.010641257588833532,False
DorsAttnB-VisCent,0.11070100839930203,False
DorsAttnB-VisPeri,0.04058811393506913,False
LimbicA-LimbicA,0.2150169276167131,True
LimbicA-LimbicB,0.17214483429411243,False
LimbicA-SalVentAttnA,0.05851773348576999,False
LimbicA-SalVentAttnB,0.21460718794744305,False
LimbicA-SomMotA,-0.026648660354308153,False
LimbicA-SomMotB,-0.027422117546871114,False
LimbicA-TempPar,-0.0579260249731733,False
LimbicA-VisCent,0.07093331048671409,False
LimbicA-VisPeri,-0.0302418854708788,False
LimbicB-LimbicB,0.20962542957251515,True
LimbicB-SalVentAttnA,0.10525041815659822,False
LimbicB-SalVentAttnB,0.2807308186103351,False
LimbicB-SomMotA,0.0036995454292452694,False
LimbicB-SomMotB,0.0005201442806672792,False
LimbicB-TempPar,-0.08101144235446595,False
LimbicB-VisCent,0.10208148985438975,False
LimbicB-VisPeri,0.02673592038993687,False
SalVentAttnA-SalVentAttnA,0.10270001521875523,True
SalVentAttnA-SalVentAttnB,0.1582834469063876,False
SalVentAttnA-SomMotA,0.028743474355670866,False
SalVentAttnA-SomMotB,0.04186693653885135,False
SalVentAttnA-TempPar,-0.071922077358629,False
SalVentAttnA-VisCent,0.053466679688426805,False
SalVentAttnA-VisPeri,0.0833340022783645,False
SalVentAttnB-SalVentAttnB,0.38428699978361364,True
SalVentAttnB-SomMotA,0.011885587599670186,False
SalVentAttnB-SomMotB,0.01359738774761847,False
SalVentAttnB-TempPar,-0.1513387834640019,False
SalVentAttnB-VisCent,0.11069401529507394,False
SalVentAttnB-VisPeri,0.06679764462453808,False
SomMotA-SomMotA,0.21029408621791537,True
SomMotA-SomMotB,0.1145732478378954,False
SomMotA-TempPar,-0.08644226887676747,False
SomMotA-VisCent,0.12713386286038658,False
SomMotA-VisPeri,0.21710629465318954,False
SomMotB-SomMotB,0.11215122056191743,True
SomMotB-TempPar,-0.06052738974663822,False
SomMotB-VisCent,0.05003183582356185,False
SomMotB-VisPeri,0.1287868165742491,False
TempPar-TempPar,0.4828115520740709,True
TempPar-VisCent,-0.038205661905618055,False
TempPar-VisPeri,-0.11388783519788283,False
VisCent-VisCent,0.15884469006035207,True
VisCent-VisPeri,0.13997038451716323,False
VisPeri-VisPeri,0.29699017990237336,True
