network_connection,fc,within_network
ContA-ContA,0.17135866955439216,True
ContA-ContB,0.09225684583295288,False
ContA-ContC,0.05125950094097299,False
ContA-DefaultA,0.06249645576980861,False
ContA-DefaultB,0.03069096324320782,False
ContA-DefaultC,-0.04786547064969379,False
ContA-DorsAttnA,-0.04732363605900583,False
ContA-DorsAttnB,0.026444571553231606,False
ContA-LimbicA,0.16914426014928738,False
ContA-LimbicB,0.09621745850975383,False
ContA-SalVentAttnA,-0.004177536869653891,False
ContA-SalVentAttnB,0.10651992558289403,False
ContA-SomMotA,-0.0342763309119039,False
ContA-SomMotB,-0.03776351213777917,False
ContA-TempPar,-0.07047464838957186,False
ContA-VisCent,0.01570081449634935,False
ContA-VisPeri,-0.021737088715396945,False
ContB-ContB,0.222601832632746,True
ContB-ContC,0.04526959112874231,False
ContB-DefaultA,0.040904570244217106,False
ContB-DefaultB,0.0667496513002252,False
ContB-DefaultC,0.09970654749894403,False
ContB-DorsAttnA,-0.03695489674946511,False
ContB-DorsAttnB,0.01765735944609727,False
ContB-LimbicA,0.060626087123230796,False
ContB-LimbicB,0.0038616769040112483,False
ContB-SalVentAttnA,-0.06974439500586188,False
ContB-SalVentAttnB,-0.04505448221194401,False
ContB-SomMotA,-0.04619474907626937,False
ContB-SomMotB,-0.07430028850019976,False
ContB-TempPar,0.1137986055594309,False
ContB-VisCent,-0.014820557162859758,False
ContB-VisPeri,-0.06360138766008008,False
ContC-ContC,0.14758530974508244,True
ContC-DefaultA,0.12407732687370757,False
ContC-DefaultB,0.054324363043514096,False
ContC-DefaultC,-0.04809936318064889,False
ContC-DorsAttnA,0.0034615773381278456,False
ContC-DorsAttnB,0.03418740617506901,False
ContC-LimbicA,0.07716722256122124,False
ContC-LimbicB,0.07662521403968925,False
ContC-SalVentAttnA,0.0026264150877827637,False
ContC-SalVentAttnB,0.10327295659462969,False
ContC-SomMotA,-0.013716800522467803,False
ContC-SomMotB,-0.0240340912029688,False
ContC-TempPar,-0.06029153918771388,False
ContC-VisCent,0.016445695122265926,False
ContC-VisPeri,-0.02026129425506762,False
DefaultA-DefaultA,0.12885030770607495,True
DefaultA-DefaultB,0.07679915824984118,False
DefaultA-DefaultC,-0.05609865802827748,False
DefaultA-DorsAttnA,-0.007862970870088215,False
DefaultA-DorsAttnB,0.026404991267144955,False
DefaultA-LimbicA,0.06718457372704635,False
DefaultA-LimbicB,0.09918864288610532,False
DefaultA-SalVentAttnA,0.011125720723794879,False
DefaultA-SalVentAttnB,0.10834034240979734,False
DefaultA-SomMotA,-0.017663804091603084,False
DefaultA-SomMotB,-0.014259479220246155,False
DefaultA-TempPar,-0.08532366602492418,False
DefaultA-VisCent,0.019177932881671904,False
DefaultA-VisPeri,-0.034152934807815144,False
DefaultB-DefaultB,0.09751515935247775,True
DefaultB-DefaultC,0.09151517236814267,False
DefaultB-DorsAttnA,-0.0080061910753034,False
DefaultB-DorsAttnB,0.008249436500368145,False
DefaultB-LimbicA,0.021233624088989152,False
DefaultB-LimbicB,0.057743153393043055,False
DefaultB-SalVentAttnA,-0.0007521248475483358,False
DefaultB-SalVentAttnB,0.036455993207164125,False
DefaultB-SomMotA,-0.03492592484933514,False
DefaultB-SomMotB,-0.012509881566088591,False
DefaultB-TempPar,0.025933844981395067,False
DefaultB-VisCent,-0.004679671998393555,False
DefaultB-VisPeri,-0.05980325944255981,False
DefaultC-DefaultC,0.3965622921976098,True
DefaultC-DorsAttnA,-0.010252772224136694,False
DefaultC-DorsAttnB,-0.013466733491216574,False
DefaultC-LimbicA,-0.05423107910345187,False
DefaultC-LimbicB,-0.016159142602410248,False
DefaultC-SalVentAttnA,-0.008746673585677364,False
DefaultC-SalVentAttnB,-0.051566858299814305,False
DefaultC-SomMotA,-0.08403860252935354,False
DefaultC-SomMotB,-0.0358091670854208,False
DefaultC-TempPar,0.37733781622896273,False
DefaultC-VisCent,-0.04291850840991867,False
DefaultC-VisPeri,-0.08399594868698226,False
DorsAttnA-DorsAttnA,0.23078128913759227,True
DorsAttnA-DorsAttnB,0.10108136647936748,False
DorsAttnA-LimbicA,-0.027225540557502936,False
DorsAttnA-LimbicB,-0.00982784544669843,False
DorsAttnA-SalVentAttnA,0.06537049287432196,False
DorsAttnA-SalVentAttnB,0.019234371009592972,False
DorsAttnA-SomMotA,-0.006086791521403375,False
DorsAttnA-SomMotB,0.08091850071638561,False
DorsAttnA-TempPar,-0.02345911905243471,False
DorsAttnA-VisCent,0.003989819049689855,False
DorsAttnA-VisPeri,-0.03206655329647226,False
DorsAttnB-DorsAttnB,0.12701595182896702,True
DorsAttnB-LimbicA,0.03747902157285978,False
DorsAttnB-LimbicB,0.05216234095098929,False
DorsAttnB-SalVentAttnA,0.03039717130302845,False
DorsAttnB-SalVentAttnB,0.07403281030519629,False
DorsAttnB-SomMotA,-0.02670337642135037,False
DorsAttnB-SomMotB,-0.02041695320689642,False
DorsAttnB-TempPar,-0.052146713627598026,False
DorsAttnB-VisCent,0.01357320902345257,False
DorsAttnB-VisPeri,-0.03318694696320554,False
LimbicA-LimbicA,0.19090498586982396,True
LimbicA-LimbicB,0.09554139072497174,False
LimbicA-SalVentAttnA,0.006200419455219717,False
LimbicA-SalVentAttnB,0.12769919859244513,False
LimbicA-SomMotA,-0.041066211828183985,False
LimbicA-SomMotB,-0.038669230883077055,False
LimbicA-TempPar,-0.08085229659389435,False
LimbicA-VisCent,0.007523861728135685,False
LimbicA-VisPeri,-0.018001411088220627,False
LimbicB-LimbicB,0.1874880664967029,True
LimbicB-SalVentAttnA,0.0639905941876635,False
LimbicB-SalVentAttnB,0.22293452661322372,False
LimbicB-SomMotA,-0.050754407740313014,False
LimbicB-SomMotB,0.0030831914095679224,False
LimbicB-TempPar,-0.09141411439563495,False
LimbicB-VisCent,0.03213059327513225,False
LimbicB-VisPeri,-0.06083092909237405,False
SalVentAttnA-SalVentAttnA,0.08677529927617822,True
SalVentAttnA-SalVentAttnB,0.09475587374914031,False
SalVentAttnA-SomMotA,-0.004999950911512451,False
SalVentAttnA-SomMotB,0.05849609783235865,False
SalVentAttnA-TempPar,-0.04416618690076301,False
SalVentAttnA-VisCent,0.014243892109513727,False
SalVentAttnA-VisPeri,0.02216377403073394,False
SalVentAttnB-SalVentAttnB,0.2754862493356598,True
SalVentAttnB-SomMotA,-0.057199917958789655,False
SalVentAttnB-SomMotB,0.0057099319506344805,False
SalVentAttnB-TempPar,-0.1256378991883303,False
SalVentAttnB-VisCent,0.030950074276016416,False
SalVentAttnB-VisPeri,-0.047478811604883694,False
SomMotA-SomMotA,0.10449573125285494,True
SomMotA-SomMotB,0.05611653137987013,False
SomMotA-TempPar,-0.06855505776054059,False
SomMotA-VisCent,0.04204259089236425,False
SomMotA-VisPeri,0.11834555486561002,False
SomMotB-SomMotB,0.13509501388073528,True
SomMotB-TempPar,-0.0662125403678559,False
SomMotB-VisCent,0.050757138691519425,False
SomMotB-VisPeri,0.03910230649886083,False
TempPar-TempPar,0.5421134270090543,True
TempPar-VisCent,-0.07941013854768945,False
TempPar-VisPeri,-0.07274870633237777,False
VisCent-VisCent,0.05740176544579083,True
VisCent-VisPeri,0.05536594428644966,False
VisPeri-VisPeri,0.21639705942490106,True
