network_connection,fc,within_network
ContA-ContA,0.2630406683803255,True
ContA-ContB,0.14693556594784138,False
ContA-ContC,0.06961940754875048,False
ContA-DefaultA,0.0527654112549637,False
ContA-DefaultB,0.054331982481449874,False
ContA-DefaultC,0.023882985804887465,False
ContA-DorsAttnA,0.01081899524872289,False
ContA-DorsAttnB,0.049439247763741416,False
ContA-LimbicA,0.22561167135850474,False
ContA-LimbicB,0.15332996407325247,False
ContA-SalVentAttnA,0.03492308750699666,False
ContA-SalVentAttnB,0.15944587042252736,False
ContA-SomMotA,-0.11030125867230452,False
ContA-SomMotB,-0.020756221107050984,False
ContA-TempPar,-0.0392610493777631,False
ContA-VisCent,0.00013353812300703974,False
ContA-VisPeri,-0.07994155162554188,False
ContB-ContB,0.18141745422518787,True
ContB-ContC,0.09486827420137725,False
ContB-DefaultA,0.056808139522183124,False
ContB-DefaultB,0.07454263439448776,False
ContB-DefaultC,0.14135218169464261,False
ContB-DorsAttnA,-0.018655582740528538,False
ContB-DorsAttnB,0.04323669167271624,False
ContB-LimbicA,0.1412614702468266,False
ContB-LimbicB,0.10000716487641766,False
ContB-SalVentAttnA,-0.002161975710001831,False
ContB-SalVentAttnB,0.07727633465445079,False
ContB-SomMotA,-0.09634997824840348,False
ContB-SomMotB,-0.04845606560267191,False
ContB-TempPar,0.1285823536547267,False
ContB-VisCent,-0.005851442283730898,False
ContB-VisPeri,-0.09392874443280508,False
ContC-ContC,0.29141052640521176,True
ContC-DefaultA,0.21749909221785763,False
ContC-DefaultB,0.10382942871296559,False
ContC-DefaultC,-0.02406225295148665,False
ContC-DorsAttnA,-0.05817425249616414,False
ContC-DorsAttnB,0.062409257433466474,False
ContC-LimbicA,0.1169913315896256,False
ContC-LimbicB,0.15939124219539574,False
ContC-SalVentAttnA,0.031113079090697222,False
ContC-SalVentAttnB,0.18018519574287897,False
ContC-SomMotA,0.018059518185091925,False
ContC-SomMotB,-0.02223881248805834,False
ContC-TempPar,-0.06068828225705736,False
ContC-VisCent,0.06455374589020585,False
ContC-VisPeri,0.010975998605899599,False
DefaultA-DefaultA,0.19307891225375554,True
DefaultA-DefaultB,0.11313518754495917,False
DefaultA-DefaultC,-0.014091120993203693,False
DefaultA-DorsAttnA,-0.0472999811371003,False
DefaultA-DorsAttnB,0.05748969768533328,False
DefaultA-LimbicA,0.08485990373010394,False
DefaultA-LimbicB,0.13514998558754418,False
DefaultA-SalVentAttnA,0.027630434423518434,False
DefaultA-SalVentAttnB,0.14999972547628826,False
DefaultA-SomMotA,0.0092526907298386,False
DefaultA-SomMotB,-0.030465282206995903,False
DefaultA-TempPar,-0.042484882548092705,False
DefaultA-VisCent,0.05720428272511933,False
DefaultA-VisPeri,0.004496340160232473,False
DefaultB-DefaultB,0.1435024941814313,True
DefaultB-DefaultC,0.17376988580500144,False
DefaultB-DorsAttnA,-0.0636136545189493,False
DefaultB-DorsAttnB,0.02648967840494256,False
DefaultB-LimbicA,0.06658259906131647,False
DefaultB-LimbicB,0.09419868006556541,False
DefaultB-SalVentAttnA,0.0017355776642571977,False
DefaultB-SalVentAttnB,0.08347412467237086,False
DefaultB-SomMotA,-0.04284935946276954,False
DefaultB-SomMotB,-0.054552067703148195,False
DefaultB-TempPar,0.09689587396113554,False
DefaultB-VisCent,0.015559011441260337,False
DefaultB-VisPeri,-0.039402992446928395,False
DefaultC-DefaultC,0.5120180072207056,True
DefaultC-DorsAttnA,-0.11157135133685173,False
DefaultC-DorsAttnB,-0.019511260729282408,False
DefaultC-LimbicA,0.04492762335045331,False
DefaultC-LimbicB,0.04677819399231498,False
DefaultC-SalVentAttnA,-0.04247277036319574,False
DefaultC-SalVentAttnB,-0.014855143065501963,False
DefaultC-SomMotA,-0.11174854572820617,False
DefaultC-SomMotB,-0.09551007542249225,False
DefaultC-TempPar,0.4326401521523626,False
DefaultC-VisCent,-0.0451801240591902,False
DefaultC-VisPeri,-0.10051528270500534,False
DorsAttnA-DorsAttnA,0.20081714806211315,True
DorsAttnA-DorsAttnB,0.0859231423880602,False
DorsAttnA-LimbicA,0.003679800066178564,False
DorsAttnA-LimbicB,-0.026045379875175603,False
DorsAttnA-SalVentAttnA,0.04281582843795797,False
DorsAttnA-SalVentAttnB,-0.019142668006233883,False
DorsAttnA-SomMotA,0.02093803150138015,False
DorsAttnA-SomMotB,0.07573652823795346,False
DorsAttnA-TempPar,-0.09837131991837428,False
DorsAttnA-VisCent,0.004683486697163334,False
DorsAttnA-VisPeri,0.007770454596137746,False
DorsAttnB-DorsAttnB,0.13948115311906656,True
DorsAttnB-LimbicA,0.0794063742943977,False
DorsAttnB-LimbicB,0.0801119998077956,False
DorsAttnB-SalVentAttnA,0.03886355984463078,False
DorsAttnB-SalVentAttnB,0.08782827760529013,False
DorsAttnB-SomMotA,-0.0058039290431857755,False
DorsAttnB-SomMotB,0.004966556307575245,False
DorsAttnB-TempPar,-0.05553161044720222,False
DorsAttnB-VisCent,0.04728023595829313,False
DorsAttnB-VisPeri,-0.009586598429842432,False
LimbicA-LimbicA,0.22000842264723816,True
LimbicA-LimbicB,0.1749005774629768,False
LimbicA-SalVentAttnA,0.043296126119153025,False
LimbicA-SalVentAttnB,0.18567399498735532,False
LimbicA-SomMotA,-0.09769981523465934,False
LimbicA-SomMotB,-0.031324483864264306,False
LimbicA-TempPar,-0.014715723513596011,False
LimbicA-VisCent,0.004675433587159362,False
LimbicA-VisPeri,-0.08050315689120459,False
LimbicB-LimbicB,0.2236378119192171,True
LimbicB-SalVentAttnA,0.07460353840626081,False
LimbicB-SalVentAttnB,0.2572704105601406,False
LimbicB-SomMotA,-0.09482218480647142,False
LimbicB-SomMotB,-0.04020238171152189,False
LimbicB-TempPar,-0.043444587312303114,False
LimbicB-VisCent,0.02295863544337767,False
LimbicB-VisPeri,-0.06695145003540284,False
SalVentAttnA-SalVentAttnA,0.059012006548645975,True
SalVentAttnA-SalVentAttnB,0.10150148186227724,False
SalVentAttnA-SomMotA,-0.0073375828668363055,False
SalVentAttnA-SomMotB,0.016275740068333037,False
SalVentAttnA-TempPar,-0.06867950400379598,False
SalVentAttnA-VisCent,0.014467198235607692,False
SalVentAttnA-VisPeri,0.01610925656842294,False
SalVentAttnB-SalVentAttnB,0.30268905535915835,True
SalVentAttnB-SomMotA,-0.09796929537620723,False
SalVentAttnB-SomMotB,-0.04530774225134742,False
SalVentAttnB-TempPar,-0.09093793222115315,False
SalVentAttnB-VisCent,0.015360542151435033,False
SalVentAttnB-VisPeri,-0.0456979128562794,False
SomMotA-SomMotA,0.2374250478468909,True
SomMotA-SomMotB,0.11678904844780078,False
SomMotA-TempPar,-0.08560123791641872,False
SomMotA-VisCent,0.10604051126118852,False
SomMotA-VisPeri,0.2070488443456855,False
SomMotB-SomMotB,0.12327585739764618,True
SomMotB-TempPar,-0.10758605797315086,False
SomMotB-VisCent,0.05505467577033458,False
SomMotB-VisPeri,0.09298475392861413,False
TempPar-TempPar,0.5449222038182241,True
TempPar-VisCent,-0.07931559854631494,False
TempPar-VisPeri,-0.09104011855406376,False
VisCent-VisCent,0.08574727787970637,True
VisCent-VisPeri,0.10299118742552947,False
VisPeri-VisPeri,0.25880788809561533,True
