network_connection,fc,within_network
ContA-ContA,0.1881177785952423,True
ContA-ContB,0.1768614776588363,False
ContA-ContC,0.15198057413823218,False
ContA-DefaultA,0.15408476152162143,False
ContA-DefaultB,0.15322146373571358,False
ContA-DefaultC,0.13633690610392335,False
ContA-DorsAttnA,-0.010040475694594205,False
ContA-DorsAttnB,0.06979444548172266,False
ContA-LimbicA,0.1993900718973959,False
ContA-LimbicB,0.14007046130635276,False
ContA-SalVentAttnA,0.04235148495352042,False
ContA-SalVentAttnB,0.13788309798872173,False
ContA-SomMotA,-0.045140347441540246,False
ContA-SomMotB,-0.0003109968424737882,False
ContA-TempPar,0.11474147226038084,False
ContA-VisCent,0.04941048334648299,False
ContA-VisPeri,-0.016488292133177564,False
ContB-ContB,0.24564374947305306,True
ContB-ContC,0.15458641112696078,False
ContB-DefaultA,0.1445008037147036,False
ContB-DefaultB,0.14454812556962168,False
ContB-DefaultC,0.18993035365602612,False
ContB-DorsAttnA,0.05342637822377347,False
ContB-DorsAttnB,0.09704524687084175,False
ContB-LimbicA,0.16865245501268095,False
ContB-LimbicB,0.094099640354733,False
ContB-SalVentAttnA,0.036140784037465776,False
ContB-SalVentAttnB,0.09967236504196264,False
ContB-SomMotA,-0.052763576814412856,False
ContB-SomMotB,0.007885967452314594,False
ContB-TempPar,0.25372078369259315,False
ContB-VisCent,0.06906377018419221,False
ContB-VisPeri,-0.027727410687496575,False
ContC-ContC,0.4178165978215602,True
ContC-DefaultA,0.3639087325655399,False
ContC-DefaultB,0.27053542293547034,False
ContC-DefaultC,0.1325760912174266,False
ContC-DorsAttnA,-0.06770756934783603,False
ContC-DorsAttnB,0.1040541686093677,False
ContC-LimbicA,0.24360127915940866,False
ContC-LimbicB,0.2515842269622953,False
ContC-SalVentAttnA,0.05534041284040381,False
ContC-SalVentAttnB,0.21015270842078235,False
ContC-SomMotA,0.020010352511322656,False
ContC-SomMotB,-0.020211984751417385,False
ContC-TempPar,0.06354859067911954,False
ContC-VisCent,0.13918624222693113,False
ContC-VisPeri,0.08968536736597656,False
DefaultA-DefaultA,0.3317215254413294,True
DefaultA-DefaultB,0.269931623519866,False
DefaultA-DefaultC,0.14945699847135543,False
DefaultA-DorsAttnA,-0.05043690026619798,False
DefaultA-DorsAttnB,0.08613491975268471,False
DefaultA-LimbicA,0.22052158277384182,False
DefaultA-LimbicB,0.24554086389136673,False
DefaultA-SalVentAttnA,0.05287194763568282,False
DefaultA-SalVentAttnB,0.2015968530245777,False
DefaultA-SomMotA,0.006956001358246842,False
DefaultA-SomMotB,-0.008410225407049218,False
DefaultA-TempPar,0.0769034270702195,False
DefaultA-VisCent,0.11376676536709474,False
DefaultA-VisPeri,0.06647300999864124,False
DefaultB-DefaultB,0.29284177733239847,True
DefaultB-DefaultC,0.26602821140851685,False
DefaultB-DorsAttnA,-0.06436080805769213,False
DefaultB-DorsAttnB,0.03778792138432331,False
DefaultB-LimbicA,0.1743884763488779,False
DefaultB-LimbicB,0.22050707833644775,False
DefaultB-SalVentAttnA,0.03264934554690531,False
DefaultB-SalVentAttnB,0.15643469023030307,False
DefaultB-SomMotA,-0.022353437879091255,False
DefaultB-SomMotB,-0.0038807468147780697,False
DefaultB-TempPar,0.13579355650340016,False
DefaultB-VisCent,0.07371062038789686,False
DefaultB-VisPeri,0.019295771529300672,False
DefaultC-DefaultC,0.41872154046831694,True
DefaultC-DorsAttnA,-0.02148556537595432,False
