network_connection,fc,within_network
ContA-ContA,0.35463603111991504,True
ContA-ContB,0.20299970901450193,False
ContA-ContC,0.07227216293408456,False
ContA-DefaultA,0.10720001299691206,False
ContA-DefaultB,0.07702647081737314,False
ContA-DefaultC,-0.0004672817432705092,False
ContA-DorsAttnA,-0.03366843534317494,False
ContA-DorsAttnB,0.09878736629921239,False
ContA-LimbicA,0.3234433968221338,False
ContA-LimbicB,0.2545480136085122,False
ContA-SalVentAttnA,0.05261945802185437,False
ContA-SalVentAttnB,0.257053757536345,False
ContA-SomMotA,-0.15242950238974612,False
ContA-SomMotB,-0.07461353596207175,False
ContA-TempPar,-0.044182675877940066,False
ContA-VisCent,0.008358282291997874,False
ContA-VisPeri,-0.12135312494666547,False
ContB-ContB,0.20873731537911544,True
ContB-ContC,0.10978032765937759,False
ContB-DefaultA,0.0932915962466753,False
ContB-DefaultB,0.0882934774391267,False
ContB-DefaultC,0.07181120310199815,False
ContB-DorsAttnA,0.004978788946545075,False
ContB-DorsAttnB,0.07397441173458462,False
ContB-LimbicA,0.16454141476102593,False
ContB-LimbicB,0.10761847285694101,False
ContB-SalVentAttnA,-0.009486368556046211,False
ContB-SalVentAttnB,0.07592410845550002,False
ContB-SomMotA,-0.11044712215666506,False
ContB-SomMotB,-0.07967211998955848,False
ContB-TempPar,0.06620987654113138,False
ContB-VisCent,0.023491210535871263,False
ContB-VisPeri,-0.10269387946705608,False
ContC-ContC,0.29924947249774203,True
ContC-DefaultA,0.2811032915046494,False
ContC-DefaultB,0.14853788357106582,False
ContC-DefaultC,-0.059140267311943794,False
ContC-DorsAttnA,-0.06122602443377729,False
ContC-DorsAttnB,0.04397252032280628,False
ContC-LimbicA,0.1106165695997095,False
ContC-LimbicB,0.11572189499738521,False
ContC-SalVentAttnA,-0.011709566996393396,False
ContC-SalVentAttnB,0.099120080027734,False
ContC-SomMotA,-0.02066741483640784,False
ContC-SomMotB,-0.08746329714221297,False
ContC-TempPar,-0.04342067425526832,False
ContC-VisCent,0.04322884697504114,False
ContC-VisPeri,0.00998271504799035,False
DefaultA-DefaultA,0.3048929028550119,True
DefaultA-DefaultB,0.17538328086797728,False
DefaultA-DefaultC,-0.05884077669661463,False
DefaultA-DorsAttnA,-0.0742353840854161,False
DefaultA-DorsAttnB,0.04619282228103779,False
DefaultA-LimbicA,0.13062911116429446,False
DefaultA-LimbicB,0.1388146215266003,False
DefaultA-SalVentAttnA,0.003470607632936527,False
DefaultA-SalVentAttnB,0.12463241588365405,False
DefaultA-SomMotA,-0.03408363348443183,False
DefaultA-SomMotB,-0.09504309330209132,False
DefaultA-TempPar,-0.05925065531699351,False
DefaultA-VisCent,0.04249909248316696,False
DefaultA-VisPeri,-0.010412110273415355,False
DefaultB-DefaultB,0.1724085619571093,True
DefaultB-DefaultC,0.12701659883800315,False
DefaultB-DorsAttnA,-0.0829473892773517,False
DefaultB-DorsAttnB,0.012326239908300778,False
DefaultB-LimbicA,0.07304421926925106,False
DefaultB-LimbicB,0.10187904739497676,False
DefaultB-SalVentAttnA,-0.013209715792670943,False
DefaultB-SalVentAttnB,0.08739826292138896,False
DefaultB-SomMotA,-0.07214518472002847,False
DefaultB-SomMotB,-0.08058315023515132,False
DefaultB-TempPar,0.05387918020972843,False
DefaultB-VisCent,0.0165302424603126,False
DefaultB-VisPeri,-0.049410962818240305,False
DefaultC-DefaultC,0.43475028262051935,True
DefaultC-DorsAttnA,-0.09576764663034881,False
DefaultC-DorsAttnB,-0.04528180802617931,False
DefaultC-LimbicA,-0.04432467492325619,False
DefaultC-LimbicB,0.03453819197278464,False
DefaultC-SalVentAttnA,-0.01748146583320748,False
DefaultC-SalVentAttnB,0.026008724756993933,False
DefaultC-SomMotA,-0.14129137904828204,False
DefaultC-SomMotB,-0.061535076998491374,False
DefaultC-TempPar,0.3494411995696619,False
DefaultC-VisCent,-0.029474325889370954,False
DefaultC-VisPeri,-0.13811702688025934,False
DorsAttnA-DorsAttnA,0.2743272614216641,True
DorsAttnA-DorsAttnB,0.09891625920073341,False
DorsAttnA-LimbicA,0.0067373176197127035,False
DorsAttnA-LimbicB,-0.08890617238849399,False
DorsAttnA-SalVentAttnA,0.04302876908339328,False
DorsAttnA-SalVentAttnB,-0.07335280270594499,False
DorsAttnA-SomMotA,0.024371706878845056,False
DorsAttnA-SomMotB,0.041529266861233316,False
DorsAttnA-TempPar,-0.09654315942364071,False
DorsAttnA-VisCent,-0.01348539372557424,False
DorsAttnA-VisPeri,-0.029773618907169355,False
DorsAttnB-DorsAttnB,0.13443754743684855,True
DorsAttnB-LimbicA,0.11533924214792349,False
DorsAttnB-LimbicB,0.09154384451297046,False
DorsAttnB-SalVentAttnA,0.05657551069920311,False
DorsAttnB-SalVentAttnB,0.10996091703428075,False
DorsAttnB-SomMotA,-0.04704447386422612,False
DorsAttnB-SomMotB,-0.04532006890656631,False
DorsAttnB-TempPar,-0.0688551228259785,False
DorsAttnB-VisCent,0.0229808166677702,False
DorsAttnB-VisPeri,-0.022548333869289457,False
LimbicA-LimbicA,0.31960655136146787,True
LimbicA-LimbicB,0.25872790583827143,False
LimbicA-SalVentAttnA,0.06886548003931948,False
LimbicA-SalVentAttnB,0.2650901953461239,False
LimbicA-SomMotA,-0.13602823387349636,False
LimbicA-SomMotB,-0.07279462191484876,False
LimbicA-TempPar,-0.07973728017969538,False
LimbicA-VisCent,-0.0030709629687325555,False
LimbicA-VisPeri,-0.11290529752288869,False
LimbicB-LimbicB,0.31454725887868706,True
LimbicB-SalVentAttnA,0.1132028032007538,False
LimbicB-SalVentAttnB,0.3564382454279489,False
LimbicB-SomMotA,-0.1496467629017435,False
LimbicB-SomMotB,-0.08643875935428502,False
LimbicB-TempPar,-0.03614332318062349,False
LimbicB-VisCent,0.007744453064572717,False
LimbicB-VisPeri,-0.10040040376289913,False
SalVentAttnA-SalVentAttnA,0.11391047056384694,True
SalVentAttnA-SalVentAttnB,0.15912113432405034,False
SalVentAttnA-SomMotA,-0.04787606780411695,False
SalVentAttnA-SomMotB,-0.005879926067826827,False
SalVentAttnA-TempPar,-0.05887645529191854,False
SalVentAttnA-VisCent,-0.02073034992185934,False
SalVentAttnA-VisPeri,-0.0438145251435823,False
SalVentAttnB-SalVentAttnB,0.4302316183998928,True
SalVentAttnB-SomMotA,-0.18451992388443714,False
SalVentAttnB-SomMotB,-0.10507958645347083,False
SalVentAttnB-TempPar,-0.05132169933905548,False
SalVentAttnB-VisCent,-0.024806689158552244,False
SalVentAttnB-VisPeri,-0.1142955332685562,False
SomMotA-SomMotA,0.17571456131061017,True
SomMotA-SomMotB,0.09263831012523112,False
SomMotA-TempPar,-0.11161377148586489,False
SomMotA-VisCent,0.044741931655899216,False
SomMotA-VisPeri,0.1723813155857123,False
SomMotB-SomMotB,0.1239297385820958,True
SomMotB-TempPar,-0.07410210909707447,False
SomMotB-VisCent,0.011987317804671237,False
SomMotB-VisPeri,0.048855591168762855,False
TempPar-TempPar,0.5000338373513061,True
TempPar-VisCent,-0.03515582607380982,False
TempPar-VisPeri,-0.13197497526656526,False
VisCent-VisCent,0.053227006283620856,True
VisCent-VisPeri,0.05553227091487062,False
VisPeri-VisPeri,0.2512177396049514,True
