network_connection,fc,within_network
ContA-ContA,0.22188248577977854,True
ContA-ContB,0.09578652313263646,False
ContA-ContC,0.04113707056079886,False
ContA-DefaultA,0.067551345778267,False
ContA-DefaultB,0.07408961076173355,False
ContA-DefaultC,-0.009381775731266731,False
ContA-DorsAttnA,0.02208667329144984,False
ContA-DorsAttnB,0.0694129173224366,False
ContA-LimbicA,0.20189868019553683,False
ContA-LimbicB,0.12222712191032259,False
ContA-SalVentAttnA,0.027707883644438012,False
ContA-SalVentAttnB,0.1219231193851279,False
ContA-SomMotA,-0.06560842170406464,False
ContA-SomMotB,-0.03883985417697271,False
ContA-TempPar,-0.05476079649317878,False
ContA-VisCent,-0.008887621188270698,False
ContA-VisPeri,-0.052707555355212814,False
ContB-ContB,0.15264096346928444,True
ContB-ContC,0.03544241487833572,False
ContB-DefaultA,-0.010480027385680374,False
ContB-DefaultB,0.010516952163720323,False
ContB-DefaultC,0.06813318063809863,False
ContB-DorsAttnA,0.07020712372046284,False
ContB-DorsAttnB,0.07270586658905401,False
ContB-LimbicA,0.0793057932575259,False
ContB-LimbicB,0.014275684137546518,False
ContB-SalVentAttnA,-0.005953418882821541,False
ContB-SalVentAttnB,0.010326975249329207,False
ContB-SomMotA,-0.06301950787844104,False
ContB-SomMotB,-0.042671652941675395,False
ContB-TempPar,0.09678491430345286,False
ContB-VisCent,-0.004563786992849382,False
ContB-VisPeri,-0.07652774846046825,False
ContC-ContC,0.20139476577538165,True
ContC-DefaultA,0.1664817455484605,False
ContC-DefaultB,0.06536640727894405,False
ContC-DefaultC,-0.08027136482290231,False
ContC-DorsAttnA,-0.009478502024501413,False
ContC-DorsAttnB,0.04557430398260451,False
ContC-LimbicA,0.06725437422662144,False
ContC-LimbicB,0.10236608214002792,False
ContC-SalVentAttnA,0.029374422057951932,False
ContC-SalVentAttnB,0.09282808490808007,False
ContC-SomMotA,0.02070018211486763,False
ContC-SomMotB,-0.002072192984004045,False
ContC-TempPar,-0.07494824720515257,False
ContC-VisCent,0.04761401106006708,False
ContC-VisPeri,0.043586821200368234,False
DefaultA-DefaultA,0.19136173386873906,True
DefaultA-DefaultB,0.1111389033686187,False
DefaultA-DefaultC,-0.0778729090749677,False
DefaultA-DorsAttnA,-0.04426730698881583,False
DefaultA-DorsAttnB,0.018737878170153977,False
DefaultA-LimbicA,0.08724924013126319,False
DefaultA-LimbicB,0.1359765597443537,False
DefaultA-SalVentAttnA,0.024087764449361813,False
DefaultA-SalVentAttnB,0.09914393140890214,False
DefaultA-SomMotA,0.008518670134186598,False
DefaultA-SomMotB,-0.016797123246146305,False
DefaultA-TempPar,-0.10107461507119103,False
DefaultA-VisCent,0.044181291148259375,False
DefaultA-VisPeri,0.005223855507778091,False
DefaultB-DefaultB,0.18112424696216245,True
DefaultB-DefaultC,0.13389583263907048,False
DefaultB-DorsAttnA,-0.10986312942953581,False
DefaultB-DorsAttnB,-0.03634351371636099,False
DefaultB-LimbicA,0.08309202012630555,False
DefaultB-LimbicB,0.1121946758299718,False
DefaultB-SalVentAttnA,-0.010383445926572256,False
DefaultB-SalVentAttnB,0.04396371465474561,False
DefaultB-SomMotA,-0.07742275431736757,False
DefaultB-SomMotB,-0.04197536536228403,False
DefaultB-TempPar,0.008214528179583713,False
DefaultB-VisCent,-0.001517902312811231,False
DefaultB-VisPeri,-0.0847913997360095,False
DefaultC-DefaultC,0.43255156913332626,True
DefaultC-DorsAttnA,-0.11628794896365117,False
DefaultC-DorsAttnB,-0.04630723551329133,False
DefaultC-LimbicA,-0.026104443830347997,False
DefaultC-LimbicB,-0.00770448983800266,False
DefaultC-SalVentAttnA,-0.06275062235711247,False
DefaultC-SalVentAttnB,-0.07502586000057218,False
DefaultC-SomMotA,-0.12404785812252352,False
DefaultC-SomMotB,-0.07045139786172902,False
DefaultC-TempPar,0.3303504835492077,False
DefaultC-VisCent,-0.03173175752476392,False
DefaultC-VisPeri,-0.15903477525219448,False
DorsAttnA-DorsAttnA,0.2883997882909457,True
DorsAttnA-DorsAttnB,0.12273002817932771,False
DorsAttnA-LimbicA,0.004951602406470533,False
DorsAttnA-LimbicB,-0.04605201465782237,False
DorsAttnA-SalVentAttnA,0.06463131170704402,False
DorsAttnA-SalVentAttnB,0.032489574100022234,False
DorsAttnA-SomMotA,0.03253252082779766,False
DorsAttnA-SomMotB,0.07073040912809242,False
DorsAttnA-TempPar,-0.07095867907925155,False
DorsAttnA-VisCent,0.013814427071249373,False
DorsAttnA-VisPeri,0.012705855463300043,False
DorsAttnB-DorsAttnB,0.14349187984054318,True
DorsAttnB-LimbicA,0.06286887113631047,False
