network_connection,fc,within_network
ContA-ContA,0.16106921151249826,True
ContA-ContB,0.08669012841523148,False
ContA-ContC,0.02308092794984032,False
ContA-DefaultA,0.0781678769056662,False
ContA-DefaultB,0.08813040810717333,False
ContA-DefaultC,0.008081291969305807,False
ContA-DorsAttnA,-0.048178150383473464,False
ContA-DorsAttnB,0.025289867545123978,False
ContA-LimbicA,0.1724234232780142,False
ContA-LimbicB,0.1401495846761898,False
ContA-SalVentAttnA,0.01706553445635866,False
ContA-SalVentAttnB,0.14915108857030215,False
ContA-SomMotA,-0.0937049263963289,False
ContA-SomMotB,-0.04122097609540792,False
ContA-TempPar,-0.015083804236533242,False
ContA-VisCent,-0.013980712029019245,False
ContA-VisPeri,-0.09511903185617468,False
ContB-ContB,0.1395670947039249,True
ContB-ContC,0.08034974015705432,False
ContB-DefaultA,0.05985008303089264,False
ContB-DefaultB,0.08522618907194807,False
ContB-DefaultC,0.11692098311880778,False
ContB-DorsAttnA,-0.054625327688497205,False
ContB-DorsAttnB,0.035633418852230044,False
ContB-LimbicA,0.07817178111411072,False
ContB-LimbicB,0.07020862956795926,False
ContB-SalVentAttnA,-0.01837421021173537,False
ContB-SalVentAttnB,0.04793444285032127,False
ContB-SomMotA,-0.06658612197685089,False
ContB-SomMotB,-0.06218221215710417,False
ContB-TempPar,0.12576413017816487,False
ContB-VisCent,0.01837519734224435,False
ContB-VisPeri,-0.09052612489690184,False
ContC-ContC,0.21638606805179397,True
ContC-DefaultA,0.16608546642361324,False
ContC-DefaultB,0.10844285072225296,False
ContC-DefaultC,0.027890636801780798,False
ContC-DorsAttnA,-0.07177427345851743,False
ContC-DorsAttnB,0.014750227405295923,False
ContC-LimbicA,0.06748859456617262,False
ContC-LimbicB,0.07624279180958374,False
ContC-SalVentAttnA,-0.015311704099963422,False
ContC-SalVentAttnB,0.07748894514048794,False
ContC-SomMotA,-0.032469834685005076,False
ContC-SomMotB,-0.05066167824550935,False
ContC-TempPar,-0.03963717655763814,False
ContC-VisCent,0.026516200312767045,False
ContC-VisPeri,-0.03569477936549226,False
DefaultA-DefaultA,0.17671660242706538,True
DefaultA-DefaultB,0.15064654596633462,False
DefaultA-DefaultC,0.028248576606459363,False
DefaultA-DorsAttnA,-0.0858931613507178,False
DefaultA-DorsAttnB,0.0025454568332035055,False
DefaultA-LimbicA,0.11016450835679194,False
DefaultA-LimbicB,0.11830699817709026,False
DefaultA-SalVentAttnA,-0.0007422598462643408,False
DefaultA-SalVentAttnB,0.12749846365929685,False
DefaultA-SomMotA,-0.06029343148845943,False
DefaultA-SomMotB,-0.04987729311559252,False
DefaultA-TempPar,-0.0469659989794579,False
DefaultA-VisCent,0.019269797208786237,False
DefaultA-VisPeri,-0.059996273013245706,False
DefaultB-DefaultB,0.22969249049951992,True
DefaultB-DefaultC,0.17832774719912398,False
DefaultB-DorsAttnA,-0.12175453678477509,False
DefaultB-DorsAttnB,-0.049911899137408094,False
DefaultB-LimbicA,0.09187754894707117,False
DefaultB-LimbicB,0.11727989552297884,False
DefaultB-SalVentAttnA,-0.015085490340697246,False
DefaultB-SalVentAttnB,0.09126887227145415,False
DefaultB-SomMotA,-0.0936607598982091,False
DefaultB-SomMotB,-0.06063069589289356,False
DefaultB-TempPar,0.0803832447753672,False
DefaultB-VisCent,0.0010916837035578476,False
DefaultB-VisPeri,-0.09377991609402928,False
DefaultC-DefaultC,0.37248055386751094,True
DefaultC-DorsAttnA,-0.16563713712699196,False
DefaultC-DorsAttnB,-0.046039515534874696,False
DefaultC-LimbicA,-0.04634493447395665,False
DefaultC-LimbicB,0.00730074133112814,False
DefaultC-SalVentAttnA,-0.047727673236570456,False
DefaultC-SalVentAttnB,-0.05506838477988819,False
DefaultC-SomMotA,-0.05277789388453441,False
DefaultC-SomMotB,-0.08638521044995134,False
DefaultC-TempPar,0.3956314277435929,False
DefaultC-VisCent,0.026979559547294116,False
DefaultC-VisPeri,-0.06271686156963428,False
DorsAttnA-DorsAttnA,0.23365446048362173,True
DorsAttnA-DorsAttnB,0.03935563088106453,False
DorsAttnA-LimbicA,-0.03911201344496577,False
DorsAttnA-LimbicB,-0.07066326278359868,False
DorsAttnA-SalVentAttnA,0.02668865068979415,False
DorsAttnA-SalVentAttnB,-0.05397429166538191,False
DorsAttnA-SomMotA,0.05159750570054022,False
DorsAttnA-SomMotB,0.08551709236762496,False
DorsAttnA-TempPar,-0.1550152829176192,False
DorsAttnA-VisCent,-0.024874433471976664,False
DorsAttnA-VisPeri,0.05474149050525104,False
DorsAttnB-DorsAttnB,0.10104703183454945,True
DorsAttnB-LimbicA,0.03165828823597286,False
DorsAttnB-LimbicB,0.0345047964621,False
DorsAttnB-SalVentAttnA,0.02131944152673894,False
DorsAttnB-SalVentAttnB,0.0654850145306827,False
DorsAttnB-SomMotA,0.00792335291811466,False
DorsAttnB-SomMotB,-0.02980522411692141,False
DorsAttnB-TempPar,-0.006020250820792582,False
DorsAttnB-VisCent,0.019838960995089572,False
DorsAttnB-VisPeri,-0.0025002832188399144,False
LimbicA-LimbicA,0.2113399188508832,True
