network_connection,fc,within_network
ContA-ContA,0.22514097219637522,True
ContA-ContB,0.126445374142325,False
ContA-ContC,0.06051025960628388,False
ContA-DefaultA,0.05855996164977281,False
ContA-DefaultB,0.04030340878880281,False
ContA-DefaultC,-0.0018903080517845582,False
ContA-DorsAttnA,-0.06751157479766476,False
ContA-DorsAttnB,0.036552858533202386,False
ContA-LimbicA,0.17615793294884555,False
ContA-LimbicB,0.14660432346755914,False
ContA-SalVentAttnA,0.0010559743225548972,False
ContA-SalVentAttnB,0.1445226338686438,False
ContA-SomMotA,-0.06947154413685797,False
ContA-SomMotB,-0.049303475090673024,False
ContA-TempPar,-0.07488466699417869,False
ContA-VisCent,0.015259317011318687,False
ContA-VisPeri,-0.0639836669936236,False
ContB-ContB,0.15611334187556303,True
ContB-ContC,0.056288119413384595,False
ContB-DefaultA,0.022828138826181527,False
ContB-DefaultB,0.040314401722857204,False
ContB-DefaultC,0.07103754945230745,False
ContB-DorsAttnA,-0.0008252810707688063,False
ContB-DorsAttnB,0.04931973221015222,False
ContB-LimbicA,0.09972049109521021,False
ContB-LimbicB,0.05702300577867707,False
ContB-SalVentAttnA,-0.00906030406258276,False
ContB-SalVentAttnB,0.06963279878898238,False
ContB-SomMotA,-0.06997714154471642,False
ContB-SomMotB,-0.04983030813916334,False
ContB-TempPar,0.020796051229976218,False
ContB-VisCent,0.010878790321529185,False
ContB-VisPeri,-0.06514337738520902,False
ContC-ContC,0.18659553407464638,True
ContC-DefaultA,0.13703079598685416,False
ContC-DefaultB,0.0698264566255051,False
ContC-DefaultC,0.013092238190498012,False
ContC-DorsAttnA,-0.08531271379215373,False
ContC-DorsAttnB,-0.00194428517017719,False
ContC-LimbicA,0.0505387528156912,False
ContC-LimbicB,0.14505874781953815,False
ContC-SalVentAttnA,0.011878929061321685,False
ContC-SalVentAttnB,0.11785885102160791,False
ContC-SomMotA,-0.020750372443599712,False
ContC-SomMotB,-0.03244649351257894,False
ContC-TempPar,-0.01883821207886024,False
ContC-VisCent,0.012940522964266345,False
ContC-VisPeri,-0.036066376089658146,False
DefaultA-DefaultA,0.11996788784361968,True
DefaultA-DefaultB,0.07074420648424351,False
DefaultA-DefaultC,0.02383759403870095,False
DefaultA-DorsAttnA,-0.09882838776738116,False
DefaultA-DorsAttnB,-0.023398181742375953,False
DefaultA-LimbicA,0.041342220859279924,False
DefaultA-LimbicB,0.13324306376860182,False
DefaultA-SalVentAttnA,0.005676410731016832,False
DefaultA-SalVentAttnB,0.09862551568620298,False
DefaultA-SomMotA,-0.01675555241011754,False
DefaultA-SomMotB,-0.02638548352847449,False
DefaultA-TempPar,0.007869397868343689,False
DefaultA-VisCent,0.005355748627320177,False
DefaultA-VisPeri,-0.041940588529635114,False
DefaultB-DefaultB,0.11927095171193405,True
DefaultB-DefaultC,0.20501797228452498,False
DefaultB-DorsAttnA,-0.14078231984313166,False
DefaultB-DorsAttnB,-0.06285209048990001,False
DefaultB-LimbicA,0.0023552727359708358,False
DefaultB-LimbicB,0.08789691291000619,False
DefaultB-SalVentAttnA,-0.02318651516624282,False
DefaultB-SalVentAttnB,0.046529358521126794,False
DefaultB-SomMotA,-0.01978569202190459,False
DefaultB-SomMotB,-0.025193104100160946,False
DefaultB-TempPar,0.16825409743688163,False
DefaultB-VisCent,0.004111086594225744,False
DefaultB-VisPeri,-0.046163519870983195,False
DefaultC-DefaultC,0.4877470021070889,True
DefaultC-DorsAttnA,-0.21413722449670075,False
DefaultC-DorsAttnB,-0.11816329098497345,False
DefaultC-LimbicA,-0.0691251829107536,False
DefaultC-LimbicB,0.042578122007138244,False
DefaultC-SalVentAttnA,-0.06011963595703568,False
DefaultC-SalVentAttnB,-0.015852734828367625,False
DefaultC-SomMotA,-0.03226417941096013,False
DefaultC-SomMotB,-0.04076676080721874,False
DefaultC-TempPar,0.48500045661490276,False
DefaultC-VisCent,-0.009623666945089898,False
DefaultC-VisPeri,-0.08673382952839327,False
DorsAttnA-DorsAttnA,0.3424690118688772,True
DorsAttnA-DorsAttnB,0.16788491594376065,False
DorsAttnA-LimbicA,0.00640383174780821,False
DorsAttnA-LimbicB,-0.14194463007963307,False
DorsAttnA-SalVentAttnA,0.035026499058682894,False
DorsAttnA-SalVentAttnB,-0.04797258776194382,False
DorsAttnA-SomMotA,-0.0381218499283984,False
DorsAttnA-SomMotB,0.012788770124801788,False
DorsAttnA-TempPar,-0.2046197394365403,False
DorsAttnA-VisCent,-0.022717922106223632,False
DorsAttnA-VisPeri,-0.0015042222346037968,False
DorsAttnB-DorsAttnB,0.15089042946848696,True
DorsAttnB-LimbicA,0.07785295381955061,False
DorsAttnB-LimbicB,-0.0009116055287586187,False
DorsAttnB-SalVentAttnA,0.02116988703946544,False
DorsAttnB-SalVentAttnB,0.05626742131915054,False
DorsAttnB-SomMotA,-0.040901549971995764,False
DorsAttnB-SomMotB,-0.042690581343251696,False
DorsAttnB-TempPar,-0.1431362540214481,False
DorsAttnB-VisCent,0.010037820721773125,False
DorsAttnB-VisPeri,-0.01734253553395471,False
LimbicA-LimbicA,0.16024243684305078,True
LimbicA-LimbicB,0.10657754490247978,False
LimbicA-SalVentAttnA,0.01546563251611407,False
LimbicA-SalVentAttnB,0.13088949465874183,False
