network_connection,fc,within_network
ContA-ContA,0.3593046232653529,True
ContA-ContB,0.29727769833003687,False
ContA-ContC,0.2756557114981144,False
ContA-DefaultA,0.27350859681024703,False
ContA-DefaultB,0.24579339274027492,False
ContA-DefaultC,0.015702788451973346,False
ContA-DorsAttnA,0.05084480335644429,False
ContA-DorsAttnB,0.1491735862245159,False
ContA-LimbicA,0.32152901554689745,False
ContA-LimbicB,0.19869116210374535,False
ContA-SalVentAttnA,0.05617874475096873,False
ContA-SalVentAttnB,0.21382067583531777,False
ContA-SomMotA,0.03759953558679539,False
ContA-SomMotB,0.0212655742410335,False
ContA-TempPar,0.048542692005225006,False
ContA-VisCent,0.09920371791657362,False
ContA-VisPeri,0.07880965245624402,False
ContB-ContB,0.32046694898559397,True
ContB-ContC,0.236719239748975,False
ContB-DefaultA,0.20962645043369516,False
ContB-DefaultB,0.19022587571231095,False
ContB-DefaultC,0.06462545369999723,False
ContB-DorsAttnA,0.10120784700577941,False
ContB-DorsAttnB,0.15765273713784062,False
ContB-LimbicA,0.2561894346939461,False
ContB-LimbicB,0.12741375859497017,False
ContB-SalVentAttnA,0.03859921904581834,False
ContB-SalVentAttnB,0.1320043888444856,False
ContB-SomMotA,0.04499732920422894,False
ContB-SomMotB,0.037274238841105756,False
ContB-TempPar,0.17069091258430635,False
ContB-VisCent,0.1225275404761558,False
ContB-VisPeri,0.07490825979977393,False
ContC-ContC,0.4380209220013553,True
ContC-DefaultA,0.40500319729277123,False
ContC-DefaultB,0.32320868724215807,False
ContC-DefaultC,-0.011769690100884387,False
ContC-DorsAttnA,-0.008123766095316539,False
ContC-DorsAttnB,0.13675276982533205,False
ContC-LimbicA,0.29478523697296977,False
ContC-LimbicB,0.3023982555300822,False
ContC-SalVentAttnA,0.10881322668078064,False
ContC-SalVentAttnB,0.27877001297019105,False
ContC-SomMotA,0.059735700384257184,False
ContC-SomMotB,0.05553956008181291,False
ContC-TempPar,-0.04342468305393555,False
ContC-VisCent,0.15335813244975824,False
ContC-VisPeri,0.10982823799545298,False
DefaultA-DefaultA,0.3938511199679942,True
DefaultA-DefaultB,0.3289363886238758,False
DefaultA-DefaultC,-0.004087961415193262,False
DefaultA-DorsAttnA,-0.028422156714887528,False
DefaultA-DorsAttnB,0.1101797197041302,False
DefaultA-LimbicA,0.2793308650810732,False
DefaultA-LimbicB,0.30097906222097787,False
DefaultA-SalVentAttnA,0.10737446584154357,False
DefaultA-SalVentAttnB,0.27394528500451937,False
DefaultA-SomMotA,0.0492371077513291,False
DefaultA-SomMotB,0.05424836555141517,False
DefaultA-TempPar,-0.0474320344160669,False
DefaultA-VisCent,0.14789158108147785,False
DefaultA-VisPeri,0.09630289545142243,False
DefaultB-DefaultB,0.3510374178038785,True
DefaultB-DefaultC,0.1295666232051144,False
DefaultB-DorsAttnA,-0.05468794601274,False
DefaultB-DorsAttnB,0.06391896478301833,False
DefaultB-LimbicA,0.22201636650134254,False
DefaultB-LimbicB,0.254643088106182,False
DefaultB-SalVentAttnA,0.06868673518214985,False
