network_connection,fc,within_network
ContA-ContA,0.26461200294146703,True
ContA-ContB,0.13517816733350307,False
ContA-ContC,0.06456564122893833,False
ContA-DefaultA,0.08675267549681816,False
ContA-DefaultB,0.0620206872961567,False
ContA-DefaultC,-0.08409812973352422,False
ContA-DorsAttnA,0.02011708622774698,False
ContA-DorsAttnB,0.1061041025429653,False
ContA-LimbicA,0.2511165478635867,False
ContA-LimbicB,0.1482776267866414,False
ContA-SalVentAttnA,0.025667633269175715,False
ContA-SalVentAttnB,0.16036948141259377,False
ContA-SomMotA,-0.030285255501177086,False
ContA-SomMotB,-0.03793085942157508,False
ContA-TempPar,-0.09858732891505108,False
ContA-VisCent,0.020585305312905082,False
ContA-VisPeri,0.01710825927438871,False
ContB-ContB,0.1610017440411612,True
ContB-ContC,0.030150401856493196,False
ContB-DefaultA,-0.00016261845529129184,False
ContB-DefaultB,0.015401148105726806,False
ContB-DefaultC,0.04450508890509546,False
ContB-DorsAttnA,0.011785099898349714,False
ContB-DorsAttnB,0.05898730998125193,False
ContB-LimbicA,0.0895398099630061,False
ContB-LimbicB,0.013934607783892942,False
ContB-SalVentAttnA,-0.015398697240625014,False
ContB-SalVentAttnB,0.013025039636275876,False
ContB-SomMotA,-0.030047865595893983,False
ContB-SomMotB,-0.04172077289398586,False
ContB-TempPar,0.09623592285109246,False
ContB-VisCent,0.0048660953615342955,False
ContB-VisPeri,-0.011561638376235939,False
ContC-ContC,0.23163975178545854,True
ContC-DefaultA,0.21467689546361385,False
ContC-DefaultB,0.12241964272309476,False
ContC-DefaultC,-0.02512001794587974,False
ContC-DorsAttnA,-0.05860465742691382,False
ContC-DorsAttnB,0.02631135494940904,False
ContC-LimbicA,0.10832670643271929,False
ContC-LimbicB,0.18511298193929412,False
ContC-SalVentAttnA,0.03973097852998851,False
ContC-SalVentAttnB,0.16234180110081803,False
ContC-SomMotA,-0.012357994484416934,False
ContC-SomMotB,-0.028541417321941574,False
ContC-TempPar,-0.0663734041761998,False
ContC-VisCent,0.015120460803973897,False
ContC-VisPeri,0.005176349522707041,False
DefaultA-DefaultA,0.2301611802917703,True
DefaultA-DefaultB,0.14888292366298095,False
DefaultA-DefaultC,-0.048924520598022825,False
DefaultA-DorsAttnA,-0.041413566111462276,False
DefaultA-DorsAttnB,0.03631320846230804,False
DefaultA-LimbicA,0.11783214501021216,False
