network_connection,fc,within_network
ContA-ContA,0.2615293322062284,True
ContA-ContB,0.18464081628509704,False
ContA-ContC,0.164201861845225,False
ContA-DefaultA,0.14766926451072432,False
ContA-DefaultB,0.1057702738240875,False
ContA-DefaultC,-0.02010878394857871,False
ContA-DorsAttnA,0.08410599800983092,False
ContA-DorsAttnB,0.12001027919479057,False
ContA-LimbicA,0.21579587857338728,False
ContA-LimbicB,0.13539787595486544,False
ContA-SalVentAttnA,0.028314597890338935,False
ContA-SalVentAttnB,0.14129873603619986,False
ContA-SomMotA,-0.015525316338911584,False
ContA-SomMotB,-0.0008077349040118337,False
ContA-TempPar,-0.030861321946655026,False
ContA-VisCent,0.08446554276632019,False
ContA-VisPeri,-0.021646692185925156,False
ContB-ContB,0.21495936564877643,True
ContB-ContC,0.13324114916610433,False
ContB-DefaultA,0.10375095880793768,False
ContB-DefaultB,0.08489795645004972,False
ContB-DefaultC,0.042922224135869706,False
ContB-DorsAttnA,0.07922463616274511,False
ContB-DorsAttnB,0.09507922720293911,False
ContB-LimbicA,0.10877399548354713,False
ContB-LimbicB,0.05640728727855929,False
ContB-SalVentAttnA,0.014254066851523447,False
ContB-SalVentAttnB,0.05393422668540552,False
ContB-SomMotA,-0.01797202194388361,False
ContB-SomMotB,0.005408533116803605,False
ContB-TempPar,0.06319699797236496,False
ContB-VisCent,0.06504327675850433,False
ContB-VisPeri,-0.027809236885436076,False
ContC-ContC,0.32917773017802304,True
ContC-DefaultA,0.2898925455851054,False
ContC-DefaultB,0.17939895193585945,False
ContC-DefaultC,-0.06707677564688254,False
ContC-DorsAttnA,0.04699154221792016,False
ContC-DorsAttnB,0.13183466969683133,False
ContC-LimbicA,0.19144163686353996,False
ContC-LimbicB,0.1988649508065648,False
ContC-SalVentAttnA,0.049062578467182955,False
ContC-SalVentAttnB,0.20540882307728217,False
ContC-SomMotA,0.028900412338399704,False
ContC-SomMotB,-0.01347255342551157,False
ContC-TempPar,-0.09940065679651228,False
ContC-VisCent,0.09220292859427412,False
ContC-VisPeri,0.017176604697307654,False
DefaultA-DefaultA,0.27693110359596285,True
DefaultA-DefaultB,0.17740042850778429,False
DefaultA-DefaultC,-0.05933039718943981,False
DefaultA-DorsAttnA,0.040560858556241836,False
DefaultA-DorsAttnB,0.1163722509871492,False
DefaultA-LimbicA,0.16307795919039098,False
DefaultA-LimbicB,0.18606231583259059,False
DefaultA-SalVentAttnA,0.04955403562585452,False
DefaultA-SalVentAttnB,0.18837529041604173,False
DefaultA-SomMotA,0.029122200740386624,False
DefaultA-SomMotB,-0.004585196873418743,False
DefaultA-TempPar,-0.09397990236496286,False
DefaultA-VisCent,0.09338085368092192,False
DefaultA-VisPeri,0.017877379743449183,False
DefaultB-DefaultB,0.21156969744359966,True
DefaultB-DefaultC,0.12934049068882378,False
DefaultB-DorsAttnA,-0.01785487771683554,False
DefaultB-DorsAttnB,0.009807058641723185,False
DefaultB-LimbicA,0.09345591334161828,False
DefaultB-LimbicB,0.11994020838772923,False
DefaultB-SalVentAttnA,-0.0007641383147619489,False
DefaultB-SalVentAttnB,0.10766544399164878,False
DefaultB-SomMotA,0.0012698181499464973,False
DefaultB-SomMotB,-0.00966981958432238,False
DefaultB-TempPar,0.04317001689983334,False
DefaultB-VisCent,0.045780040008339434,False
DefaultB-VisPeri,-0.02628944118944698,False
DefaultC-DefaultC,0.36056656706842966,True
DefaultC-DorsAttnA,-0.04684325528667594,False
DefaultC-DorsAttnB,-0.08824771999866018,False
DefaultC-LimbicA,-0.05154117743258089,False
