network_connection,fc,within_network
ContA-ContA,0.26092522409777513,True
ContA-ContB,0.11101631927166826,False
ContA-ContC,0.08655345730055813,False
ContA-DefaultA,0.1609808149406078,False
ContA-DefaultB,0.1090926468896408,False
ContA-DefaultC,-0.08929533691215823,False
ContA-DorsAttnA,-0.047875302493758015,False
ContA-DorsAttnB,-0.015183191553514623,False
ContA-LimbicA,0.2769169978449363,False
ContA-LimbicB,0.16583512291546573,False
ContA-SalVentAttnA,0.0092131924531505,False
ContA-SalVentAttnB,0.19030218368110233,False
ContA-SomMotA,-0.13240782716914715,False
ContA-SomMotB,-0.013033640662660361,False
ContA-TempPar,-0.14139338203365376,False
ContA-VisCent,-0.049301220355518524,False
ContA-VisPeri,-0.16811839592791356,False
ContB-ContB,0.11091166387060265,True
ContB-ContC,0.07513388988217005,False
ContB-DefaultA,0.07266545579940527,False
ContB-DefaultB,0.07522064483881774,False
ContB-DefaultC,0.04478552555563072,False
ContB-DorsAttnA,-0.033936708625371945,False
ContB-DorsAttnB,-0.014785320016826012,False
ContB-LimbicA,0.10511324838981678,False
ContB-LimbicB,0.0836295990500357,False
ContB-SalVentAttnA,0.005561941828119754,False
ContB-SalVentAttnB,0.05590782438580231,False
ContB-SomMotA,-0.06968412643963694,False
ContB-SomMotB,0.010222128562349693,False
ContB-TempPar,-0.016048083633194002,False
ContB-VisCent,-0.0028199461647400903,False
ContB-VisPeri,-0.10962095998387573,False
ContC-ContC,0.14173352326727767,True
ContC-DefaultA,0.14637652456775213,False
ContC-DefaultB,0.07767532820203167,False
ContC-DefaultC,-0.023278557644122424,False
ContC-DorsAttnA,-0.07770921883306046,False
ContC-DorsAttnB,-0.018402708266021185,False
ContC-LimbicA,0.11310979547755473,False
ContC-LimbicB,0.10427086223793232,False
ContC-SalVentAttnA,-0.002548472822002037,False
ContC-SalVentAttnB,0.08463415760225544,False
ContC-SomMotA,-0.032596497762169364,False
ContC-SomMotB,-0.014495462263025118,False
ContC-TempPar,-0.07637389005782814,False
ContC-VisCent,-0.009597841421557974,False
ContC-VisPeri,-0.06934003028191903,False
DefaultA-DefaultA,0.19030779018246496,True
DefaultA-DefaultB,0.11776318369653857,False
DefaultA-DefaultC,-0.0437712943369589,False
DefaultA-DorsAttnA,-0.09590824230211117,False
DefaultA-DorsAttnB,-0.02584406069989548,False
DefaultA-LimbicA,0.1890668224195924,False
DefaultA-LimbicB,0.1540603657429357,False
DefaultA-SalVentAttnA,0.00030172911611701497,False
DefaultA-SalVentAttnB,0.14432591879607115,False
DefaultA-SomMotA,-0.06831068574299283,False
DefaultA-SomMotB,-0.02420674272828673,False
DefaultA-TempPar,-0.10543144163498762,False
DefaultA-VisCent,-0.026573553595698653,False
DefaultA-VisPeri,-0.11059158719566162,False
DefaultB-DefaultB,0.1475761394015802,True
DefaultB-DefaultC,0.1601878501440359,False
DefaultB-DorsAttnA,-0.0951504853963299,False
DefaultB-DorsAttnB,-0.06014561620298687,False
DefaultB-LimbicA,0.1060368868405239,False
DefaultB-LimbicB,0.08091648634221899,False
DefaultB-SalVentAttnA,-0.02739584679187429,False
DefaultB-SalVentAttnB,0.06509391162302265,False
DefaultB-SomMotA,-0.09287516176157193,False
DefaultB-SomMotB,-0.043144947414019974,False
DefaultB-TempPar,0.043990622806873415,False
DefaultB-VisCent,-0.0429436063283856,False
DefaultB-VisPeri,-0.12243046458791947,False
DefaultC-DefaultC,0.5424419074811413,True
DefaultC-DorsAttnA,-0.1005948418690093,False
DefaultC-DorsAttnB,-0.07306153570098135,False
DefaultC-LimbicA,-0.11643860327676082,False
DefaultC-LimbicB,-0.05994929444646486,False
DefaultC-SalVentAttnA,-0.06206005989256748,False
DefaultC-SalVentAttnB,-0.11768451984256548,False
DefaultC-SomMotA,-0.04122012918353666,False
DefaultC-SomMotB,-0.07356850383146614,False
DefaultC-TempPar,0.41087386913770835,False
DefaultC-VisCent,-0.013166802250285973,False
DefaultC-VisPeri,-0.05209129095836543,False
DorsAttnA-DorsAttnA,0.22797160324088514,True
DorsAttnA-DorsAttnB,0.09134576167779734,False
DorsAttnA-LimbicA,-0.07276024476916579,False
DorsAttnA-LimbicB,-0.09550893207083029,False
DorsAttnA-SalVentAttnA,0.030610145461199785,False
DorsAttnA-SalVentAttnB,-0.027190968947440292,False
DorsAttnA-SomMotA,-0.009919190583841843,False
DorsAttnA-SomMotB,0.02824304093636783,False
DorsAttnA-TempPar,-0.004565644217291491,False
DorsAttnA-VisCent,-0.044716549384151635,False
DorsAttnA-VisPeri,-0.002021926843020102,False
DorsAttnB-DorsAttnB,0.07571126555033914,True
DorsAttnB-LimbicA,-0.013686685047790718,False
DorsAttnB-LimbicB,0.005575885741954451,False
DorsAttnB-SalVentAttnA,0.02520712255685551,False
DorsAttnB-SalVentAttnB,0.021053265137523838,False
DorsAttnB-SomMotA,0.02638900422598059,False
DorsAttnB-SomMotB,0.009368954815017585,False
DorsAttnB-TempPar,-0.024193833930419118,False
DorsAttnB-VisCent,0.015582245902410176,False
DorsAttnB-VisPeri,0.025124643187421164,False
LimbicA-LimbicA,0.3020641916735464,True
LimbicA-LimbicB,0.2155018554728836,False
LimbicA-SalVentAttnA,0.028775682393174715,False
LimbicA-SalVentAttnB,0.22835382645502003,False
LimbicA-SomMotA,-0.12716661743668398,False
LimbicA-SomMotB,-0.0033143901321676305,False
LimbicA-TempPar,-0.18258156028192518,False
LimbicA-VisCent,-0.04872162578819342,False
LimbicA-VisPeri,-0.17206990903045796,False
LimbicB-LimbicB,0.21273820901192708,True
LimbicB-SalVentAttnA,0.03984523069003307,False
LimbicB-SalVentAttnB,0.1832591827447504,False
LimbicB-SomMotA,-0.06759614120979886,False
LimbicB-SomMotB,0.01438952757566537,False
LimbicB-TempPar,-0.14528264111902153,False
LimbicB-VisCent,0.013000250750740695,False
LimbicB-VisPeri,-0.10945929771468266,False
SalVentAttnA-SalVentAttnA,0.0629692320693348,True
SalVentAttnA-SalVentAttnB,0.05089039490157955,False
SalVentAttnA-SomMotA,-0.014303890458379036,False
SalVentAttnA-SomMotB,0.05120537661273828,False
SalVentAttnA-TempPar,-0.07195913910215823,False
SalVentAttnA-VisCent,-0.0006374006056523634,False
SalVentAttnA-VisPeri,-0.0038222363070167823,False
SalVentAttnB-SalVentAttnB,0.1941904518915253,True
SalVentAttnB-SomMotA,-0.10320568538362287,False
SalVentAttnB-SomMotB,-6.102076319254624e-05,False
SalVentAttnB-TempPar,-0.1770138870778062,False
SalVentAttnB-VisCent,-0.029216591665646885,False
SalVentAttnB-VisPeri,-0.10626006279729722,False
SomMotA-SomMotA,0.17735531798483123,True
SomMotA-SomMotB,0.02710414398675047,False
SomMotA-TempPar,0.02041243931760565,False
SomMotA-VisCent,0.09132437290833957,False
SomMotA-VisPeri,0.17619562145997986,False
SomMotB-SomMotB,0.11933775419546873,True
SomMotB-TempPar,-0.06765349522784059,False
SomMotB-VisCent,0.03609731735804026,False
SomMotB-VisPeri,0.018560516471590537,False
TempPar-TempPar,0.5008805430123852,True
TempPar-VisCent,-0.01145617040952665,False
TempPar-VisPeri,-0.005730285082616791,False
VisCent-VisCent,0.10325848018543363,True
VisCent-VisPeri,0.09767711350233986,False
VisPeri-VisPeri,0.27723642459726605,True
