network_connection,fc,within_network
ContA-ContA,0.07251616549642745,True
ContA-ContB,0.026784355271726092,False
ContA-ContC,0.024728585713706397,False
ContA-DefaultA,0.03742872970417852,False
ContA-DefaultB,0.03819277842121583,False
ContA-DefaultC,0.014424470457615452,False
ContA-DorsAttnA,-0.0012097355981520934,False
ContA-DorsAttnB,0.024179483060998153,False
ContA-LimbicA,0.07801037973546678,False
ContA-LimbicB,0.05186731434138842,False
ContA-SalVentAttnA,0.0249163060048599,False
ContA-SalVentAttnB,0.07883211634578129,False
ContA-SomMotA,-0.010750633956760364,False
ContA-SomMotB,0.017413880934241552,False
ContA-TempPar,-0.018249561552279962,False
ContA-VisCent,0.01865523958337978,False
ContA-VisPeri,-0.004059158532047903,False
ContB-ContB,0.09191200718415284,True
ContB-ContC,0.031491427433481295,False
ContB-DefaultA,0.011045932070421378,False
ContB-DefaultB,0.05104541043102734,False
ContB-DefaultC,0.14251205235740613,False
ContB-DorsAttnA,0.028715526545129724,False
ContB-DorsAttnB,0.02980209466888744,False
ContB-LimbicA,0.015392327582972718,False
ContB-LimbicB,0.013339756420602542,False
ContB-SalVentAttnA,0.008728064322754402,False
ContB-SalVentAttnB,0.0077057271365492674,False
ContB-SomMotA,0.010946677185739162,False
ContB-SomMotB,0.020980035478553642,False
ContB-TempPar,0.12433947094097599,False
ContB-VisCent,0.03538825805932104,False
ContB-VisPeri,0.014124701220076178,False
ContC-ContC,0.04672443702812977,True
ContC-DefaultA,0.040290508676025176,False
ContC-DefaultB,0.027740663926336787,False
ContC-DefaultC,0.017675131026786476,False
ContC-DorsAttnA,0.009936128738346551,False
ContC-DorsAttnB,0.019118396925395194,False
ContC-LimbicA,0.03506479709104936,False
ContC-LimbicB,0.026794048244596677,False
ContC-SalVentAttnA,0.011084427252027788,False
ContC-SalVentAttnB,0.03752983880755558,False
ContC-SomMotA,-0.006074093062228642,False
ContC-SomMotB,-0.0011663066514675678,False
ContC-TempPar,0.01851543847521798,False
ContC-VisCent,0.015089889901009922,False
ContC-VisPeri,-0.0023745589872892557,False
DefaultA-DefaultA,0.056056806624391615,True
DefaultA-DefaultB,0.03150065554835333,False
DefaultA-DefaultC,-0.012664823228511823,False
DefaultA-DorsAttnA,-0.007607480148743106,False
DefaultA-DorsAttnB,0.01271314093339481,False
DefaultA-LimbicA,0.045003851603792056,False
DefaultA-LimbicB,0.040948107942291645,False
DefaultA-SalVentAttnA,0.015368572127777065,False
DefaultA-SalVentAttnB,0.053196329693128055,False
DefaultA-SomMotA,-0.025607030564188633,False
DefaultA-SomMotB,-0.010753768036535235,False
DefaultA-TempPar,-0.021974856560693215,False
DefaultA-VisCent,0.007333289793450189,False
DefaultA-VisPeri,-0.020103584241348175,False
DefaultB-DefaultB,0.05977798658111835,True
