network_connection,fc,within_network
ContA-ContA,0.3038978299024016,True
ContA-ContB,0.1190148293348729,False
ContA-ContC,0.034770542759709255,False
ContA-DefaultA,0.048683067588230086,False
ContA-DefaultB,0.031588022859518096,False
ContA-DefaultC,-0.0047759571173737365,False
ContA-DorsAttnA,0.003692928485424594,False
ContA-DorsAttnB,0.09851772041143261,False
ContA-LimbicA,0.2985152174536655,False
ContA-LimbicB,0.2346109375485176,False
ContA-SalVentAttnA,0.0479978833660468,False
ContA-SalVentAttnB,0.25659522084361885,False
ContA-SomMotA,-0.13602297104521058,False
ContA-SomMotB,-0.052742662607208425,False
ContA-TempPar,-0.07913449357717606,False
ContA-VisCent,-0.02612503754176957,False
ContA-VisPeri,-0.09919349868835876,False
ContB-ContB,0.16808985701015267,True
ContB-ContC,0.06683965738615537,False
ContB-DefaultA,0.022921186999182698,False
ContB-DefaultB,0.056068112358097125,False
ContB-DefaultC,0.13086840382230672,False
ContB-DorsAttnA,-0.004362067691315197,False
ContB-DorsAttnB,0.03915290340494081,False
ContB-LimbicA,0.09320595995071672,False
ContB-LimbicB,0.06550343607656484,False
ContB-SalVentAttnA,-0.024142169414263084,False
ContB-SalVentAttnB,0.05007296888719975,False
ContB-SomMotA,-0.09387044564681862,False
ContB-SomMotB,-0.04077788797905749,False
ContB-TempPar,0.1358684463362416,False
ContB-VisCent,-0.0011982006248667022,False
ContB-VisPeri,-0.10335960441227252,False
ContC-ContC,0.16176917730693985,True
ContC-DefaultA,0.1266726210706167,False
ContC-DefaultB,0.06709724209018315,False
ContC-DefaultC,0.01998200663152149,False
ContC-DorsAttnA,-0.01323400777955411,False
ContC-DorsAttnB,0.023095019692902105,False
ContC-LimbicA,0.06185578412938735,False
ContC-LimbicB,0.08905917740494619,False
ContC-SalVentAttnA,0.0015534570628020173,False
ContC-SalVentAttnB,0.09057764864555064,False
ContC-SomMotA,-0.04369130263895904,False
ContC-SomMotB,-0.03096702986159498,False
ContC-TempPar,0.013293693240342531,False
ContC-VisCent,0.005047019146758431,False
ContC-VisPeri,-0.06178816181042659,False
DefaultA-DefaultA,0.12059147732634727,True
DefaultA-DefaultB,0.06758939310560935,False
DefaultA-DefaultC,-0.015325007419161785,False
DefaultA-DorsAttnA,0.000615398004435644,False
DefaultA-DorsAttnB,0.029881148175135885,False
DefaultA-LimbicA,0.07198132336758772,False
DefaultA-LimbicB,0.11172571130776592,False
DefaultA-SalVentAttnA,0.02566797202338908,False
DefaultA-SalVentAttnB,0.11886798361216573,False
DefaultA-SomMotA,-0.03685905389269301,False
DefaultA-SomMotB,-0.02184035347082707,False
DefaultA-TempPar,-0.023342171218125336,False
DefaultA-VisCent,0.0031643506336810913,False
DefaultA-VisPeri,-0.050942254633455836,False
DefaultB-DefaultB,0.11552367737429431,True
DefaultB-DefaultC,0.14244279425587672,False
DefaultB-DorsAttnA,-0.036773745783665386,False
DefaultB-DorsAttnB,-0.020951571472637365,False
DefaultB-LimbicA,0.02599244394846448,False
DefaultB-LimbicB,0.043619599300293216,False
DefaultB-SalVentAttnA,-0.01410592029175739,False
DefaultB-SalVentAttnB,0.034203249746845604,False
DefaultB-SomMotA,-0.035865215654717945,False
DefaultB-SomMotB,-0.0073790140960358856,False
DefaultB-TempPar,0.1051061995565901,False
DefaultB-VisCent,0.004724227123613701,False
DefaultB-VisPeri,-0.036558715131767665,False
DefaultC-DefaultC,0.3665125185724305,True
DefaultC-DorsAttnA,-0.0786101790971328,False
DefaultC-DorsAttnB,-0.07555188466476764,False
DefaultC-LimbicA,-0.040266104292878656,False
DefaultC-LimbicB,-0.06554963665177187,False
DefaultC-SalVentAttnA,-0.07019165556289342,False
DefaultC-SalVentAttnB,-0.11262090657613369,False
DefaultC-SomMotA,-0.053394673895828505,False
DefaultC-SomMotB,-0.001551594899356111,False
DefaultC-TempPar,0.3636208317865418,False
DefaultC-VisCent,0.012709997147274813,False
DefaultC-VisPeri,-0.0394464505560342,False
DorsAttnA-DorsAttnA,0.20809619550231367,True
DorsAttnA-DorsAttnB,0.13271534411453342,False
DorsAttnA-LimbicA,0.03937053023739081,False
DorsAttnA-LimbicB,0.03661059814290239,False
DorsAttnA-SalVentAttnA,0.06120116773669177,False
DorsAttnA-SalVentAttnB,0.05744798444224957,False
DorsAttnA-SomMotA,-0.010116177723098408,False
DorsAttnA-SomMotB,0.05083890517443316,False
DorsAttnA-TempPar,-0.11536102074852403,False
DorsAttnA-VisCent,0.005162786337564022,False
DorsAttnA-VisPeri,-0.07402082641631941,False
DorsAttnB-DorsAttnB,0.18186384294131702,True
DorsAttnB-LimbicA,0.12948580450784125,False
DorsAttnB-LimbicB,0.13809588029321299,False
DorsAttnB-SalVentAttnA,0.05205682357485277,False
DorsAttnB-SalVentAttnB,0.15526337907334914,False
