network_connection,fc,within_network
ContA-ContA,0.2619479368424016,True
ContA-ContB,0.1540310720547264,False
ContA-ContC,0.18939247651338656,False
ContA-DefaultA,0.18779038650152435,False
ContA-DefaultB,0.1678706324115664,False
ContA-DefaultC,-0.010505408792275813,False
ContA-DorsAttnA,-0.004250346672132109,False
ContA-DorsAttnB,0.11411360648109595,False
ContA-LimbicA,0.23873046277520985,False
ContA-LimbicB,0.19128329818950973,False
ContA-SalVentAttnA,0.021816131308124417,False
ContA-SalVentAttnB,0.170338873987398,False
ContA-SomMotA,0.05064498956154198,False
ContA-SomMotB,0.033681358427889496,False
ContA-TempPar,-0.09720692360872486,False
ContA-VisCent,0.10690083857354306,False
ContA-VisPeri,0.10364016823028907,False
ContB-ContB,0.17452679951053374,True
ContB-ContC,0.1579689949603867,False
ContB-DefaultA,0.10725306724222884,False
ContB-DefaultB,0.10458507190655164,False
ContB-DefaultC,0.01683591859123167,False
ContB-DorsAttnA,0.059797294002291355,False
ContB-DorsAttnB,0.10342165433886294,False
ContB-LimbicA,0.13621628710917863,False
ContB-LimbicB,0.0677871607125816,False
ContB-SalVentAttnA,-0.013213141291415828,False
ContB-SalVentAttnB,0.04820300033817644,False
ContB-SomMotA,0.011791486357115919,False
ContB-SomMotB,-0.004757610993978793,False
ContB-TempPar,-0.01891145002556391,False
ContB-VisCent,0.055374708785068,False
ContB-VisPeri,0.010262035429113012,False
ContC-ContC,0.32267850568947126,True
ContC-DefaultA,0.26323200074232667,False
ContC-DefaultB,0.21182329608207537,False
ContC-DefaultC,-0.0229745768330209,False
ContC-DorsAttnA,0.010434090096840066,False
ContC-DorsAttnB,0.13076546498675484,False
ContC-LimbicA,0.20364680853737796,False
ContC-LimbicB,0.2221998965697429,False
ContC-SalVentAttnA,0.05120487948051646,False
ContC-SalVentAttnB,0.2157325616658114,False
ContC-SomMotA,0.05106555175363152,False
ContC-SomMotB,0.03082327869934764,False
ContC-TempPar,-0.10938421870166343,False
ContC-VisCent,0.09560918300116418,False
ContC-VisPeri,0.09728140231528336,False
DefaultA-DefaultA,0.27822176592605125,True
DefaultA-DefaultB,0.22389695760194903,False
DefaultA-DefaultC,-0.029397804284689896,False
DefaultA-DorsAttnA,-0.013684096219349726,False
DefaultA-DorsAttnB,0.08877214216532514,False
DefaultA-LimbicA,0.19090859616812814,False
DefaultA-LimbicB,0.22283637428826622,False
DefaultA-SalVentAttnA,0.05348207505098418,False
DefaultA-SalVentAttnB,0.20515319105865037,False
DefaultA-SomMotA,0.047208896345120314,False
DefaultA-SomMotB,0.04955630791895285,False
DefaultA-TempPar,-0.12473006691420485,False
DefaultA-VisCent,0.09018639956839496,False
DefaultA-VisPeri,0.07056191062216037,False
DefaultB-DefaultB,0.23801461842117252,True
DefaultB-DefaultC,0.07756480058311467,False
DefaultB-DorsAttnA,-0.021612690413988327,False
DefaultB-DorsAttnB,0.07661549195549616,False
DefaultB-LimbicA,0.1636617055769942,False
DefaultB-LimbicB,0.18183862772901563,False
DefaultB-SalVentAttnA,0.03236665265458433,False
DefaultB-SalVentAttnB,0.16606683638990796,False
DefaultB-SomMotA,0.027090155115914484,False
DefaultB-SomMotB,0.033578250326799564,False
DefaultB-TempPar,-0.06042195438499813,False
DefaultB-VisCent,0.06790051420062249,False
DefaultB-VisPeri,0.057061614029589175,False
DefaultC-DefaultC,0.23089525138097222,True
DefaultC-DorsAttnA,-0.0795873989956685,False
