network_connection,fc,within_network
ContA-ContA,0.28997927702276804,True
ContA-ContB,0.19595165491338892,False
ContA-ContC,0.1123519175786639,False
ContA-DefaultA,0.11198320694319133,False
ContA-DefaultB,0.0916664216211588,False
ContA-DefaultC,0.03344074332937204,False
ContA-DorsAttnA,0.03808242993812163,False
ContA-DorsAttnB,0.11875736933102947,False
ContA-LimbicA,0.27884388365925555,False
ContA-LimbicB,0.16544531160673673,False
ContA-SalVentAttnA,0.060624651496054706,False
ContA-SalVentAttnB,0.21041118732345343,False
ContA-SomMotA,-0.03873601927408856,False
ContA-SomMotB,0.009230859110000591,False
ContA-TempPar,0.03024190901740395,False
ContA-VisCent,0.041262209980920804,False
ContA-VisPeri,0.04375736910115493,False
ContB-ContB,0.2072791697184938,True
ContB-ContC,0.13076186097924278,False
ContB-DefaultA,0.10584835732641469,False
ContB-DefaultB,0.10758483948368397,False
ContB-DefaultC,0.12873438365570886,False
ContB-DorsAttnA,0.028242397526475265,False
ContB-DorsAttnB,0.08470768826945575,False
ContB-LimbicA,0.18344302019322525,False
ContB-LimbicB,0.10418767824634831,False
ContB-SalVentAttnA,0.03436039464236932,False
ContB-SalVentAttnB,0.11394714005259088,False
ContB-SomMotA,-0.00026489210230977174,False
ContB-SomMotB,0.01992744174164074,False
ContB-TempPar,0.11960072845764164,False
ContB-VisCent,0.05877990416735398,False
ContB-VisPeri,0.046073874601869604,False
ContC-ContC,0.23494511017564815,True
ContC-DefaultA,0.19198447667996615,False
ContC-DefaultB,0.12442297657928854,False
ContC-DefaultC,0.09748050660010983,False
ContC-DorsAttnA,0.025659403978157372,False
ContC-DorsAttnB,0.062453358131487634,False
ContC-LimbicA,0.15588137222649553,False
ContC-LimbicB,0.16549520595657738,False
ContC-SalVentAttnA,0.05773201993340543,False
ContC-SalVentAttnB,0.16039865345618132,False
ContC-SomMotA,0.030232773600529193,False
ContC-SomMotB,0.03427712971744839,False
ContC-TempPar,0.06741739282083856,False
ContC-VisCent,0.06405446060454173,False
