network_connection,fc,within_network
ContA-ContA,0.2856288048099069,True
ContA-ContB,0.11236862899799394,False
ContA-ContC,0.03181041113960034,False
ContA-DefaultA,0.12575994369122853,False
ContA-DefaultB,0.08011625943887775,False
ContA-DefaultC,-0.050287645028354776,False
ContA-DorsAttnA,-0.034966391814437295,False
ContA-DorsAttnB,0.03764832247894162,False
ContA-LimbicA,0.26298685432413843,False
ContA-LimbicB,0.21861192382513178,False
ContA-SalVentAttnA,0.068336404370738,False
ContA-SalVentAttnB,0.28905311157721475,False
ContA-SomMotA,-0.1645022549911224,False
ContA-SomMotB,-0.08293949694355533,False
ContA-TempPar,-0.03415943987126385,False
ContA-VisCent,-0.005360141103554311,False
ContA-VisPeri,-0.1438291586931337,False
ContB-ContB,0.12683235836805187,True
ContB-ContC,0.06638354955161502,False
ContB-DefaultA,0.06325667434751667,False
ContB-DefaultB,0.07080725825120672,False
ContB-DefaultC,0.0870495610970868,False
ContB-DorsAttnA,-0.0027937728088524424,False
ContB-DorsAttnB,0.02874726923885868,False
ContB-LimbicA,0.09837878837342098,False
ContB-LimbicB,0.10254539688415404,False
ContB-SalVentAttnA,0.02089239927152845,False
ContB-SalVentAttnB,0.09256060468998957,False
ContB-SomMotA,-0.09949043649921102,False
ContB-SomMotB,-0.05080643468171854,False
ContB-TempPar,0.07302257742382232,False
ContB-VisCent,0.005144929221432829,False
ContB-VisPeri,-0.11686838254598866,False
ContC-ContC,0.15432844943069882,True
ContC-DefaultA,0.1385300590557969,False
ContC-DefaultB,0.04571190821739322,False
ContC-DefaultC,0.0036906915526717923,False
ContC-DorsAttnA,-0.030136784488013626,False
ContC-DorsAttnB,-0.012687879254665408,False
ContC-LimbicA,0.04778502301302677,False
ContC-LimbicB,0.08641723940065767,False
ContC-SalVentAttnA,0.015789057293094457,False
ContC-SalVentAttnB,0.07876545686545681,False
ContC-SomMotA,-0.04064514962939897,False
ContC-SomMotB,-0.02753847025670374,False
ContC-TempPar,0.0014056774403284683,False
ContC-VisCent,-0.0008490268216042166,False
ContC-VisPeri,-0.05178582747116536,False
DefaultA-DefaultA,0.17120961408796498,True
DefaultA-DefaultB,0.07767355010388473,False
DefaultA-DefaultC,-0.024363466237423498,False
DefaultA-DorsAttnA,-0.05231201309081371,False
DefaultA-DorsAttnB,-0.0009937079201833832,False
DefaultA-LimbicA,0.12454390820087599,False
DefaultA-LimbicB,0.16101440383812013,False
DefaultA-SalVentAttnA,0.04089027305459378,False
DefaultA-SalVentAttnB,0.19075193288357337,False
DefaultA-SomMotA,-0.08813244030550943,False
DefaultA-SomMotB,-0.060008029590020134,False
DefaultA-TempPar,-0.01619137327790814,False
DefaultA-VisCent,0.009056234918481095,False
DefaultA-VisPeri,-0.08180631828704704,False
DefaultB-DefaultB,0.1196390441830775,True
DefaultB-DefaultC,0.1571680829495849,False
DefaultB-DorsAttnA,-0.0709699926048381,False
DefaultB-DorsAttnB,-0.022448369427392322,False
DefaultB-LimbicA,0.05949079955081982,False
DefaultB-LimbicB,0.08828441078266697,False
DefaultB-SalVentAttnA,0.003771634203754242,False
DefaultB-SalVentAttnB,0.08055257508517484,False
DefaultB-SomMotA,-0.06479887592807379,False
DefaultB-SomMotB,-0.03510135574475484,False
DefaultB-TempPar,0.12538919892894287,False
DefaultB-VisCent,0.013981086308510774,False
DefaultB-VisPeri,-0.06516921719378775,False
DefaultC-DefaultC,0.40096672729852373,True
