network_connection,fc,within_network
ContA-ContA,0.24244231952624087,True
ContA-ContB,0.1323303829284908,False
ContA-ContC,0.08306270193745119,False
ContA-DefaultA,0.08071290593685632,False
ContA-DefaultB,0.0558247850610095,False
ContA-DefaultC,0.007115445490469707,False
ContA-DorsAttnA,-0.049873035287002244,False
ContA-DorsAttnB,0.03562033169053949,False
ContA-LimbicA,0.2597087726363994,False
ContA-LimbicB,0.15343109548003217,False
ContA-SalVentAttnA,0.009423736755517841,False
ContA-SalVentAttnB,0.15825849096482916,False
ContA-SomMotA,-0.08304853112125991,False
ContA-SomMotB,-0.04192207169159812,False
ContA-TempPar,-0.09145129253558155,False
ContA-VisCent,-0.0012891279248194779,False
ContA-VisPeri,-0.07028213154088453,False
ContB-ContB,0.16453370715162088,True
ContB-ContC,0.07118918912271309,False
ContB-DefaultA,0.06050395151227318,False
ContB-DefaultB,0.06527286800504517,False
ContB-DefaultC,0.08995688313594785,False
ContB-DorsAttnA,-0.014114752465499897,False
ContB-DorsAttnB,0.04859664295006829,False
ContB-LimbicA,0.11947016169222147,False
ContB-LimbicB,0.1009360022749543,False
ContB-SalVentAttnA,-0.01427036066907952,False
ContB-SalVentAttnB,0.08512716469721665,False
ContB-SomMotA,-0.10563754619607363,False
ContB-SomMotB,-0.04922138495857989,False
ContB-TempPar,0.015529920591595772,False
ContB-VisCent,0.0035304853211327457,False
ContB-VisPeri,-0.12021763289516847,False
ContC-ContC,0.2487344297918552,True
ContC-DefaultA,0.20704519402720123,False
ContC-DefaultB,0.08511445009377276,False
ContC-DefaultC,-0.03200206399986681,False
ContC-DorsAttnA,-0.021964058622641995,False
ContC-DorsAttnB,0.07499407010030207,False
ContC-LimbicA,0.13739456632848318,False
ContC-LimbicB,0.1931663967233557,False
ContC-SalVentAttnA,0.034999630579856396,False
ContC-SalVentAttnB,0.21277180854734984,False
ContC-SomMotA,-0.038638410752033836,False
ContC-SomMotB,-0.04240581213862681,False
ContC-TempPar,-0.10272996904363224,False
ContC-VisCent,0.06388321485279667,False
ContC-VisPeri,-0.03179811521576599,False
DefaultA-DefaultA,0.20799829166876582,True
DefaultA-DefaultB,0.11853351251513644,False
DefaultA-DefaultC,-0.014417665677316751,False
DefaultA-DorsAttnA,-0.03038666397659632,False
DefaultA-DorsAttnB,0.05019188279933777,False
DefaultA-LimbicA,0.12691495725185753,False
DefaultA-LimbicB,0.17865202894515195,False
DefaultA-SalVentAttnA,0.039016403971643375,False
DefaultA-SalVentAttnB,0.18918553697739832,False
DefaultA-SomMotA,-0.04483694264919932,False
DefaultA-SomMotB,-0.02400602782224777,False
DefaultA-TempPar,-0.0736114403650854,False
DefaultA-VisCent,0.05837299775209282,False
DefaultA-VisPeri,-0.05738579860304726,False
DefaultB-DefaultB,0.15000883812095245,True
DefaultB-DefaultC,0.1564975136912244,False
DefaultB-DorsAttnA,-0.06541187087176274,False
DefaultB-DorsAttnB,0.003399875559793528,False
DefaultB-LimbicA,0.04604030805525406,False
DefaultB-LimbicB,0.10107064035490286,False
DefaultB-SalVentAttnA,-0.000293527817475299,False
DefaultB-SalVentAttnB,0.08911059717886742,False
DefaultB-SomMotA,-0.05674737679904455,False
DefaultB-SomMotB,-0.03258946139078836,False
DefaultB-TempPar,0.018642138877451774,False
DefaultB-VisCent,0.03433695720186923,False
DefaultB-VisPeri,-0.07014173284441004,False
DefaultC-DefaultC,0.38694448555650945,True
DefaultC-DorsAttnA,-0.07408415553326392,False
DefaultC-DorsAttnB,-0.01974054611636768,False
DefaultC-LimbicA,-0.05138598161669289,False
DefaultC-LimbicB,0.05175915843925408,False
DefaultC-SalVentAttnA,-0.028961331275526324,False
DefaultC-SalVentAttnB,0.008443847832648321,False
DefaultC-SomMotA,-0.07709895287788508,False
DefaultC-SomMotB,-0.05750198026794961,False
DefaultC-TempPar,0.23227067302021348,False
DefaultC-VisCent,0.0059243844359318076,False
DefaultC-VisPeri,-0.09026266822343615,False
DorsAttnA-DorsAttnA,0.17198331454095045,True
DorsAttnA-DorsAttnB,0.08696593770867393,False
DorsAttnA-LimbicA,-0.014776007884680935,False
DorsAttnA-LimbicB,-0.03444729982396112,False
DorsAttnA-SalVentAttnA,0.0422733338906458,False
DorsAttnA-SalVentAttnB,-0.02270836841925483,False
DorsAttnA-SomMotA,-0.035652126965264284,False
DorsAttnA-SomMotB,0.048974828881591895,False
DorsAttnA-TempPar,-0.024892377597995077,False
DorsAttnA-VisCent,-0.019685328138832205,False
DorsAttnA-VisPeri,-0.05700397147148534,False
DorsAttnB-DorsAttnB,0.1310327930559563,True
DorsAttnB-LimbicA,0.08014318567590381,False
DorsAttnB-LimbicB,0.11899854982470233,False
DorsAttnB-SalVentAttnA,0.0568773908550438,False
DorsAttnB-SalVentAttnB,0.13746227583062748,False
DorsAttnB-SomMotA,-0.0603503787306789,False
DorsAttnB-SomMotB,-0.031544308983589835,False
DorsAttnB-TempPar,-0.06332414811170793,False
DorsAttnB-VisCent,0.011265816950403048,False
DorsAttnB-VisPeri,-0.04648673344944268,False
