network_connection,fc,within_network
ContA-ContA,0.24713346117424737,True
ContA-ContB,0.18065583578748728,False
ContA-ContC,0.13838018713593808,False
ContA-DefaultA,0.140323022215177,False
ContA-DefaultB,0.12688447561820337,False
ContA-DefaultC,-0.02264350154383984,False
ContA-DorsAttnA,-0.04927064274769341,False
ContA-DorsAttnB,0.03563245104975344,False
ContA-LimbicA,0.2382675261633435,False
ContA-LimbicB,0.14827731548583406,False
ContA-SalVentAttnA,0.02107434239685291,False
ContA-SalVentAttnB,0.1425307021221145,False
ContA-SomMotA,-0.08406889576488188,False
ContA-SomMotB,-0.045981955362330955,False
ContA-TempPar,-0.06376174732172324,False
ContA-VisCent,0.008916914574948066,False
ContA-VisPeri,-0.08227759444768518,False
ContB-ContB,0.27728606805115874,True
ContB-ContC,0.18747837418898758,False
ContB-DefaultA,0.1626179588268743,False
ContB-DefaultB,0.17610696044040355,False
ContB-DefaultC,0.10771356334248822,False
ContB-DorsAttnA,-0.027758149684867207,False
ContB-DorsAttnB,0.04662200756765391,False
ContB-LimbicA,0.1976656963153243,False
ContB-LimbicB,0.10557120849040502,False
ContB-SalVentAttnA,-0.015042584349213937,False
ContB-SalVentAttnB,0.037531315205234915,False
ContB-SomMotA,-0.08496668297911361,False
ContB-SomMotB,-0.07833959733122826,False
ContB-TempPar,0.07687899029557298,False
ContB-VisCent,0.05162461108730611,False
ContB-VisPeri,-0.11373157032408719,False
ContC-ContC,0.2784836733468524,True
ContC-DefaultA,0.2457349569673515,False
ContC-DefaultB,0.16793935632584603,False
ContC-DefaultC,-0.01701714798044504,False
ContC-DorsAttnA,-0.04250670524421035,False
ContC-DorsAttnB,0.026339264798577202,False
ContC-LimbicA,0.20577515902183477,False
ContC-LimbicB,0.12003786890272909,False
ContC-SalVentAttnA,0.011374166932676375,False
ContC-SalVentAttnB,0.08987895497675528,False
ContC-SomMotA,-0.028594736171758874,False
ContC-SomMotB,-0.04323878944918758,False
ContC-TempPar,-0.05085867709075333,False
ContC-VisCent,0.052379667626794975,False
ContC-VisPeri,-0.04341892595648489,False
DefaultA-DefaultA,0.229367778799297,True
DefaultA-DefaultB,0.17778364005099978,False
DefaultA-DefaultC,-0.0021168081767060035,False
DefaultA-DorsAttnA,-0.04025707913513746,False
DefaultA-DorsAttnB,0.014064110883604113,False
DefaultA-LimbicA,0.18223482975936753,False
DefaultA-LimbicB,0.11012201965927573,False
DefaultA-SalVentAttnA,0.010274684801759644,False
DefaultA-SalVentAttnB,0.08405048619786874,False
DefaultA-SomMotA,-0.03065946328881224,False
DefaultA-SomMotB,-0.03998526253319064,False
DefaultA-TempPar,-0.05175602349861368,False
DefaultA-VisCent,0.04874527506361489,False
DefaultA-VisPeri,-0.03958903684510097,False
DefaultB-DefaultB,0.2294960365403741,True
DefaultB-DefaultC,0.21356348818863397,False
DefaultB-DorsAttnA,-0.06704449919752063,False
DefaultB-DorsAttnB,0.004264273156671773,False
DefaultB-LimbicA,0.12895717409588645,False
DefaultB-LimbicB,0.07234752016484305,False
DefaultB-SalVentAttnA,-0.022768458296817635,False
DefaultB-SalVentAttnB,0.026153676119342672,False
DefaultB-SomMotA,-0.062461212687311946,False
DefaultB-SomMotB,-0.07561123896240897,False
DefaultB-TempPar,0.14254107654351378,False
DefaultB-VisCent,0.04031453230315118,False
DefaultB-VisPeri,-0.06000945652162338,False
DefaultC-DefaultC,0.5247031373891652,True
DefaultC-DorsAttnA,-0.08889127382678876,False
DefaultC-DorsAttnB,-0.00791367017266146,False
DefaultC-LimbicA,-0.05440483914409678,False
DefaultC-LimbicB,-0.0024628469003708294,False
DefaultC-SalVentAttnA,-0.05977371166643616,False
DefaultC-SalVentAttnB,-0.09577173805762879,False
DefaultC-SomMotA,-0.06886008985047062,False
DefaultC-SomMotB,-0.09678212212037725,False
DefaultC-TempPar,0.5015855424744367,False
DefaultC-VisCent,0.01877261157086968,False
DefaultC-VisPeri,-0.04504985480160107,False
DorsAttnA-DorsAttnA,0.19275181401698935,True
DorsAttnA-DorsAttnB,0.03523962769505368,False
DorsAttnA-LimbicA,-0.03735855748362403,False
DorsAttnA-LimbicB,-0.09397571621774128,False
DorsAttnA-SalVentAttnA,0.01089032467855778,False
DorsAttnA-SalVentAttnB,-0.04729268365416083,False
DorsAttnA-SomMotA,0.0319444046062318,False
DorsAttnA-SomMotB,0.056656065209367446,False
DorsAttnA-TempPar,-0.08749573291518048,False
DorsAttnA-VisCent,-0.015766157810527894,False
DorsAttnA-VisPeri,0.004812427514993949,False
DorsAttnB-DorsAttnB,0.040505057533020784,True
DorsAttnB-LimbicA,0.051012376420752965,False
