network_connection,fc,within_network
ContA-ContA,0.2709244094162502,True
ContA-ContB,0.17696821159752532,False
ContA-ContC,0.2075712978418579,False
ContA-DefaultA,0.2098571105196095,False
ContA-DefaultB,0.13193263003488037,False
ContA-DefaultC,-0.04618522609946826,False
ContA-DorsAttnA,-0.07409606603273125,False
ContA-DorsAttnB,0.10729113876236095,False
ContA-LimbicA,0.29356630900224456,False
ContA-LimbicB,0.1968822422879671,False
ContA-SalVentAttnA,0.023561169312513647,False
ContA-SalVentAttnB,0.20962813004522432,False
ContA-SomMotA,-0.10618049315038529,False
ContA-SomMotB,-0.08162340426251743,False
ContA-TempPar,-0.07341673655954044,False
ContA-VisCent,0.017435604882307634,False
ContA-VisPeri,-0.12535230798202004,False
ContB-ContB,0.2006786205116364,True
ContB-ContC,0.12649892681422656,False
ContB-DefaultA,0.09512634083370447,False
ContB-DefaultB,0.08402047903864682,False
ContB-DefaultC,0.063688141438695,False
ContB-DorsAttnA,-0.02188370970965948,False
ContB-DorsAttnB,0.1241537652422634,False
ContB-LimbicA,0.16769108281684975,False
ContB-LimbicB,0.11003343401819932,False
ContB-SalVentAttnA,-0.0003697894452603108,False
ContB-SalVentAttnB,0.0976559205637968,False
ContB-SomMotA,-0.10571402531252674,False
ContB-SomMotB,-0.06464795890606388,False
ContB-TempPar,0.06849404784869813,False
ContB-VisCent,0.014443113106228977,False
ContB-VisPeri,-0.1257432007801279,False
ContC-ContC,0.4792902385101181,True
ContC-DefaultA,0.43830592518431916,False
ContC-DefaultB,0.2225590060969503,False
ContC-DefaultC,-0.1591639721870916,False
ContC-DorsAttnA,-0.17628734191314788,False
ContC-DorsAttnB,0.05658084606669998,False
ContC-LimbicA,0.28090980371647656,False
ContC-LimbicB,0.24489980972565217,False
ContC-SalVentAttnA,0.005432699071002121,False
ContC-SalVentAttnB,0.2346910443269927,False
ContC-SomMotA,-0.03944945860020874,False
ContC-SomMotB,-0.1310170013639616,False
ContC-TempPar,-0.12569180453011353,False
ContC-VisCent,0.030205423457207597,False
ContC-VisPeri,-0.07246569320809124,False
DefaultA-DefaultA,0.4427175477267302,True
DefaultA-DefaultB,0.2427457577119221,False
DefaultA-DefaultC,-0.15915879315895776,False
DefaultA-DorsAttnA,-0.18422468257882374,False
DefaultA-DorsAttnB,0.04770511743684195,False
DefaultA-LimbicA,0.25523116382366884,False
DefaultA-LimbicB,0.22133134462072432,False
DefaultA-SalVentAttnA,-0.004539444810419746,False
DefaultA-SalVentAttnB,0.2102859855002985,False
DefaultA-SomMotA,-0.04358604711189562,False
DefaultA-SomMotB,-0.13792322855453534,False
DefaultA-TempPar,-0.11425271384012689,False
DefaultA-VisCent,0.03199596152380327,False
DefaultA-VisPeri,-0.08565473405061233,False
DefaultB-DefaultB,0.21834817078110888,True
DefaultB-DefaultC,0.0731695981793713,False
DefaultB-DorsAttnA,-0.14559740878639177,False
DefaultB-DorsAttnB,0.002514973214467202,False
DefaultB-LimbicA,0.1408860511921627,False
DefaultB-LimbicB,0.11725741831090636,False
DefaultB-SalVentAttnA,-0.022679787909111723,False
DefaultB-SalVentAttnB,0.10428849862935938,False
DefaultB-SomMotA,-0.08824563259846151,False
DefaultB-SomMotB,-0.09993152130580003,False
DefaultB-TempPar,0.026295216202937507,False
DefaultB-VisCent,-0.018207591899033777,False
DefaultB-VisPeri,-0.11787060806754733,False
DefaultC-DefaultC,0.41736034281161966,True
DefaultC-DorsAttnA,-0.020542650591719943,False
DefaultC-DorsAttnB,-0.030508072852675743,False
DefaultC-LimbicA,-0.0917333063856866,False
DefaultC-LimbicB,-0.06802256884962779,False
DefaultC-SalVentAttnA,-0.03923019448546307,False
DefaultC-SalVentAttnB,-0.10504384768340021,False
DefaultC-SomMotA,-0.1003108550487465,False
DefaultC-SomMotB,-0.02361818342235653,False
DefaultC-TempPar,0.29773793192474035,False
DefaultC-VisCent,-0.047085741991183795,False
DefaultC-VisPeri,-0.08625371245838995,False
DorsAttnA-DorsAttnA,0.25307933796484605,True
DorsAttnA-DorsAttnB,0.06905408619209456,False
DorsAttnA-LimbicA,-0.08222854099146425,False
DorsAttnA-LimbicB,-0.08020901037185654,False
DorsAttnA-SalVentAttnA,0.050597378011857326,False
DorsAttnA-SalVentAttnB,-0.0633187035401733,False
DorsAttnA-SomMotA,0.05834302497690824,False
DorsAttnA-SomMotB,0.10949219889206663,False
DorsAttnA-TempPar,-0.05105691363680495,False
DorsAttnA-VisCent,0.02833205030521695,False
DorsAttnA-VisPeri,0.08221195405639586,False
DorsAttnB-DorsAttnB,0.1696354597231062,True
DorsAttnB-LimbicA,0.11699832078354852,False
DorsAttnB-LimbicB,0.10602294067122738,False
