network_connection,fc,within_network
ContA-ContA,0.22356827076819183,True
ContA-ContB,0.20853908808177984,False
ContA-ContC,0.24154876755036586,False
ContA-DefaultA,0.23916567587809254,False
ContA-DefaultB,0.18806133839848374,False
ContA-DefaultC,0.053905845058306937,False
ContA-DorsAttnA,-0.05041002646381671,False
ContA-DorsAttnB,0.03847609535865491,False
ContA-LimbicA,0.2258875857868294,False
ContA-LimbicB,0.1769378267083317,False
ContA-SalVentAttnA,-0.006227408976739394,False
ContA-SalVentAttnB,0.14176435287185984,False
ContA-SomMotA,-0.04969570179659179,False
ContA-SomMotB,-0.05498473745179722,False
ContA-TempPar,0.04038373451410609,False
ContA-VisCent,0.0665191031755401,False
ContA-VisPeri,-0.03809502124567324,False
ContB-ContB,0.2971623456100692,True
ContB-ContC,0.2787398057260141,False
ContB-DefaultA,0.2731590033225091,False
ContB-DefaultB,0.22922142312467045,False
ContB-DefaultC,0.12252498245693402,False
ContB-DorsAttnA,-0.02801028729601135,False
ContB-DorsAttnB,0.03842480303982665,False
ContB-LimbicA,0.2019527988851304,False
ContB-LimbicB,0.1269941823696867,False
ContB-SalVentAttnA,-0.03547367122271575,False
ContB-SalVentAttnB,0.07906869955783118,False
ContB-SomMotA,-0.025529067285281173,False
ContB-SomMotB,-0.06572821824110096,False
ContB-TempPar,0.14534458961778812,False
ContB-VisCent,0.0928070791104479,False
ContB-VisPeri,-0.014291326656610709,False
ContC-ContC,0.4462375885155953,True
ContC-DefaultA,0.4320502233015157,False
ContC-DefaultB,0.32212486718605665,False
ContC-DefaultC,0.0864365524533947,False
ContC-DorsAttnA,-0.08888883511544228,False
ContC-DorsAttnB,0.04362796248026641,False
ContC-LimbicA,0.3003511918742939,False
ContC-LimbicB,0.25112356349836507,False
ContC-SalVentAttnA,-0.01950532429342646,False
ContC-SalVentAttnB,0.1699011971899596,False
ContC-SomMotA,-0.021274497837412927,False
ContC-SomMotB,-0.10388043758267251,False
ContC-TempPar,0.03763226655293389,False
ContC-VisCent,0.12895469517989752,False
ContC-VisPeri,-0.0034045595205840894,False
DefaultA-DefaultA,0.42689822666691735,True
DefaultA-DefaultB,0.3221322798358806,False
DefaultA-DefaultC,0.08422331840263024,False
DefaultA-DorsAttnA,-0.09060824954312516,False
DefaultA-DorsAttnB,0.028747011558011716,False
DefaultA-LimbicA,0.2936623285375697,False
DefaultA-LimbicB,0.23988619697673913,False
DefaultA-SalVentAttnA,-0.030145575533960783,False
DefaultA-SalVentAttnB,0.1519736134323544,False
DefaultA-SomMotA,-0.02447555828351529,False
DefaultA-SomMotB,-0.10513822325960427,False
DefaultA-TempPar,0.046236661231792875,False
DefaultA-VisCent,0.12115132318058996,False
DefaultA-VisPeri,-0.01381076586006403,False
DefaultB-DefaultB,0.2996856881042049,True
DefaultB-DefaultC,0.19323734551873398,False
DefaultB-DorsAttnA,-0.06653461806739835,False
DefaultB-DorsAttnB,0.01385145082395604,False
DefaultB-LimbicA,0.20834904704394042,False
DefaultB-LimbicB,0.17514474239688138,False
DefaultB-SalVentAttnA,-0.038768115195799674,False
DefaultB-SalVentAttnB,0.0965192294828525,False
DefaultB-SomMotA,-0.04294276185311941,False
DefaultB-SomMotB,-0.08439013623804839,False
DefaultB-TempPar,0.12074198707315804,False
DefaultB-VisCent,0.07848631781319003,False
DefaultB-VisPeri,-0.03268714047261597,False
DefaultC-DefaultC,0.33695089978550913,True
DefaultC-DorsAttnA,-0.01858083103147087,False
DefaultC-DorsAttnB,0.02355848888021286,False
DefaultC-LimbicA,0.045525300314596624,False
DefaultC-LimbicB,0.07325724899322862,False
DefaultC-SalVentAttnA,-0.024675206707814184,False
DefaultC-SalVentAttnB,0.05188311170897365,False
DefaultC-SomMotA,-0.07023127691928205,False
DefaultC-SomMotB,-0.04949186415502689,False
DefaultC-TempPar,0.29121057107337733,False
DefaultC-VisCent,0.017761287363670244,False
DefaultC-VisPeri,-0.05416658942840216,False
DorsAttnA-DorsAttnA,0.17643523778155412,True
DorsAttnA-DorsAttnB,0.06978464510018226,False
DorsAttnA-LimbicA,-0.049915293727474934,False
DorsAttnA-LimbicB,-0.07288871930309178,False
DorsAttnA-SalVentAttnA,0.05967570903521974,False
DorsAttnA-SalVentAttnB,-0.01407399494805459,False
DorsAttnA-SomMotA,0.10365243868218112,False
DorsAttnA-SomMotB,0.11102037873631097,False
DorsAttnA-TempPar,-0.009885826769719552,False
DorsAttnA-VisCent,0.035814546315636686,False
DorsAttnA-VisPeri,0.10912288454531993,False
DorsAttnB-DorsAttnB,0.09479455330755115,True
DorsAttnB-LimbicA,0.05304012461963339,False
DorsAttnB-LimbicB,0.05238928133139922,False
DorsAttnB-SalVentAttnA,0.052138784944476144,False
DorsAttnB-SalVentAttnB,0.09014153302833963,False
DorsAttnB-SomMotA,0.034542120127498376,False
DorsAttnB-SomMotB,0.023993955278967156,False
DorsAttnB-TempPar,0.003605689128373716,False
DorsAttnB-VisCent,0.06026316930071289,False
DorsAttnB-VisPeri,0.06105021078426368,False
LimbicA-LimbicA,0.2560919635929099,True
LimbicA-LimbicB,0.22127201219258746,False
