network_connection,fc,within_network
ContA-ContA,0.29374190867754274,True
ContA-ContB,0.19779389532325364,False
ContA-ContC,0.2109869632817557,False
ContA-DefaultA,0.22171833590126389,False
ContA-DefaultB,0.17188535008028208,False
ContA-DefaultC,0.028831198482194405,False
ContA-DorsAttnA,-0.07750069086453862,False
ContA-DorsAttnB,0.07398265215989235,False
ContA-LimbicA,0.2714617950442951,False
ContA-LimbicB,0.20055455155270052,False
ContA-SalVentAttnA,0.0190470987172876,False
ContA-SalVentAttnB,0.17441354935155595,False
ContA-SomMotA,-0.041421536463483226,False
ContA-SomMotB,-0.026068812847216943,False
ContA-TempPar,-0.005624549243428087,False
ContA-VisCent,0.08559571057898767,False
ContA-VisPeri,-0.0266134824229626,False
ContB-ContB,0.24706094676317752,True
ContB-ContC,0.1839153244833084,False
ContB-DefaultA,0.16161495486257224,False
ContB-DefaultB,0.128966378641022,False
ContB-DefaultC,0.07502480579675784,False
ContB-DorsAttnA,0.0014109739196924353,False
ContB-DorsAttnB,0.10058278775906732,False
ContB-LimbicA,0.14838908918274446,False
ContB-LimbicB,0.11835890334263062,False
ContB-SalVentAttnA,-0.0026878395120053106,False
ContB-SalVentAttnB,0.07017700125610037,False
ContB-SomMotA,-0.05008370944383816,False
ContB-SomMotB,-0.016989451384361663,False
ContB-TempPar,0.12037693179550388,False
ContB-VisCent,0.09309421285574732,False
ContB-VisPeri,-0.03579094417252095,False
ContC-ContC,0.34771556770292483,True
ContC-DefaultA,0.3317492919167206,False
ContC-DefaultB,0.22398301131787415,False
ContC-DefaultC,-0.015141432809261942,False
ContC-DorsAttnA,-0.02125030683751117,False
ContC-DorsAttnB,0.05604997521218084,False
ContC-LimbicA,0.22397578568421644,False
ContC-LimbicB,0.1909324266184932,False
ContC-SalVentAttnA,-0.003559664911167273,False
ContC-SalVentAttnB,0.14570704067832813,False
ContC-SomMotA,0.000392009804802538,False
ContC-SomMotB,-0.02695876531610211,False
ContC-TempPar,-0.06282801189919211,False
ContC-VisCent,0.10513988744843634,False
ContC-VisPeri,-0.005283185421712043,False
DefaultA-DefaultA,0.3376971442061271,True
DefaultA-DefaultB,0.23998259453871906,False
DefaultA-DefaultC,-0.005293540423007329,False
DefaultA-DorsAttnA,-0.021415020660169586,False
DefaultA-DorsAttnB,0.04347700740182675,False
DefaultA-LimbicA,0.23125302044297114,False
DefaultA-LimbicB,0.20265924934878593,False
DefaultA-SalVentAttnA,0.002971156055100375,False
