network_connection,fc,within_network
ContA-ContA,0.1845867764071095,True
ContA-ContB,0.16413146911811413,False
ContA-ContC,0.18034252759669236,False
ContA-DefaultA,0.16628023510695414,False
ContA-DefaultB,0.1508168729981581,False
ContA-DefaultC,0.03811036107175456,False
ContA-DorsAttnA,-0.036291119050539146,False
ContA-DorsAttnB,0.06961898248634213,False
ContA-LimbicA,0.20556099615810902,False
ContA-LimbicB,0.14599191675364906,False
ContA-SalVentAttnA,0.011591889721225197,False
ContA-SalVentAttnB,0.18389347233299502,False
ContA-SomMotA,-0.10511052736274464,False
ContA-SomMotB,-0.13178009440605573,False
ContA-TempPar,-0.06171166209909711,False
ContA-VisCent,0.044609464792536954,False
ContA-VisPeri,-0.07265766599846141,False
ContB-ContB,0.21584778788753226,True
ContB-ContC,0.20842547143860116,False
ContB-DefaultA,0.1622276905524554,False
ContB-DefaultB,0.1629367810429845,False
ContB-DefaultC,0.09206466243719749,False
ContB-DorsAttnA,-0.049832247531675415,False
ContB-DorsAttnB,0.0591720960966004,False
ContB-LimbicA,0.18060275851961652,False
ContB-LimbicB,0.09203837440034347,False
ContB-SalVentAttnA,-0.02690434471946758,False
ContB-SalVentAttnB,0.10937741179116987,False
ContB-SomMotA,-0.10054923944126161,False
ContB-SomMotB,-0.1525617345636857,False
ContB-TempPar,0.026342168106900214,False
ContB-VisCent,0.03326655897937006,False
ContB-VisPeri,-0.09298732205114509,False
ContC-ContC,0.486185682350747,True
ContC-DefaultA,0.35123487512939683,False
ContC-DefaultB,0.22941510111594565,False
ContC-DefaultC,-0.010006316313884845,False
ContC-DorsAttnA,-0.06229738371439249,False
ContC-DorsAttnB,0.14788664603079457,False
ContC-LimbicA,0.2801953179335125,False
ContC-LimbicB,0.20914205292557603,False
ContC-SalVentAttnA,-0.013223063900570558,False
ContC-SalVentAttnB,0.25333682725180773,False
ContC-SomMotA,-0.031137270757676663,False
ContC-SomMotB,-0.23250960684426708,False
ContC-TempPar,-0.13416994797620307,False
ContC-VisCent,0.16985870689705973,False
ContC-VisPeri,-0.003418004315735121,False
DefaultA-DefaultA,0.29144496073613063,True
DefaultA-DefaultB,0.21881813092120403,False
DefaultA-DefaultC,0.025219993706868806,False
DefaultA-DorsAttnA,-0.07269968071378395,False
DefaultA-DorsAttnB,0.08676917069646016,False
DefaultA-LimbicA,0.21963126598920588,False
DefaultA-LimbicB,0.18438305163900912,False
DefaultA-SalVentAttnA,-0.008997199599283244,False
DefaultA-SalVentAttnB,0.20835047859809058,False
