network_connection,fc,within_network
ContA-ContA,0.19485398777868088,True
ContA-ContB,0.08335640209660591,False
ContA-ContC,0.10473750823137219,False
ContA-DefaultA,0.11757443158164742,False
ContA-DefaultB,0.06407910535990362,False
ContA-DefaultC,-0.035778115670050244,False
ContA-DorsAttnA,-0.06899317634401504,False
ContA-DorsAttnB,0.013009553981546879,False
ContA-LimbicA,0.194414046494664,False
ContA-LimbicB,0.14525303195286257,False
ContA-SalVentAttnA,0.042758205754585984,False
ContA-SalVentAttnB,0.18456325377191798,False
ContA-SomMotA,-0.1286420241489081,False
ContA-SomMotB,-0.050666228806731724,False
ContA-TempPar,-0.09827352543943611,False
ContA-VisCent,-0.010112391771815589,False
ContA-VisPeri,-0.09908267852470408,False
ContB-ContB,0.09321106767851214,True
ContB-ContC,0.08449701406222926,False
ContB-DefaultA,0.05934122124766593,False
ContB-DefaultB,0.03603280638557309,False
ContB-DefaultC,0.014647726316790283,False
ContB-DorsAttnA,0.009523348240925385,False
ContB-DorsAttnB,0.03595073681519887,False
ContB-LimbicA,0.08618542474126595,False
ContB-LimbicB,0.06612165591552119,False
ContB-SalVentAttnA,-0.0016447204115352411,False
ContB-SalVentAttnB,0.06339224737616822,False
ContB-SomMotA,-0.08099111411121179,False
ContB-SomMotB,-0.04114657395871757,False
ContB-TempPar,-0.018605906338111048,False
ContB-VisCent,0.011321887195331427,False
ContB-VisPeri,-0.08712803313380477,False
ContC-ContC,0.1810069940397862,True
ContC-DefaultA,0.16209748589667886,False
ContC-DefaultB,0.056740399068085166,False
ContC-DefaultC,-0.0808760235309977,False
ContC-DorsAttnA,-0.06799109729135806,False
ContC-DorsAttnB,-0.029843489524862304,False
ContC-LimbicA,0.11655579804670722,False
ContC-LimbicB,0.12061714289308165,False
ContC-SalVentAttnA,0.0006092567572210233,False
ContC-SalVentAttnB,0.12213531267410292,False
ContC-SomMotA,-0.08931822644986596,False
ContC-SomMotB,-0.06307510399589823,False
ContC-TempPar,-0.11572725143645614,False
ContC-VisCent,0.0015784426086368926,False
ContC-VisPeri,-0.08380909464937114,False
DefaultA-DefaultA,0.1661374935268972,True
DefaultA-DefaultB,0.06393943503993127,False
DefaultA-DefaultC,-0.11817535794956474,False
DefaultA-DorsAttnA,-0.07223106878665311,False
DefaultA-DorsAttnB,-0.041908560099139125,False
DefaultA-LimbicA,0.12067614695577686,False
DefaultA-LimbicB,0.1082733160119724,False
DefaultA-SalVentAttnA,0.007306524640784336,False
DefaultA-SalVentAttnB,0.12357537032144872,False
DefaultA-SomMotA,-0.07663911599473254,False
DefaultA-SomMotB,-0.05788212595842902,False
DefaultA-TempPar,-0.14119543641601087,False
DefaultA-VisCent,-0.0036086856800098006,False
DefaultA-VisPeri,-0.08369690590949086,False
DefaultB-DefaultB,0.1193330401446132,True
DefaultB-DefaultC,0.18794681072663486,False
DefaultB-DorsAttnA,-0.0744557479816309,False
DefaultB-DorsAttnB,-0.04541310723559324,False
DefaultB-LimbicA,0.06496377511127295,False
DefaultB-LimbicB,0.061140367335841134,False
DefaultB-SalVentAttnA,-0.009286708637616598,False
DefaultB-SalVentAttnB,0.049576039912638536,False
DefaultB-SomMotA,-0.07990701744920899,False
DefaultB-SomMotB,-0.04553775338901769,False
DefaultB-TempPar,0.1161866101496867,False
DefaultB-VisCent,-0.02821950291243085,False
DefaultB-VisPeri,-0.0737944244896226,False
DefaultC-DefaultC,0.656967340553188,True
DefaultC-DorsAttnA,-0.056528320949457804,False
DefaultC-DorsAttnB,-0.012569382914087887,False
DefaultC-LimbicA,-0.0222544120268869,False
DefaultC-LimbicB,0.01652960745756252,False
DefaultC-SalVentAttnA,-0.027030599446867115,False
DefaultC-SalVentAttnB,-0.04553577694409315,False
DefaultC-SomMotA,-0.09378935772648288,False
DefaultC-SomMotB,-0.038880125888740534,False
DefaultC-TempPar,0.5487443454048442,False
DefaultC-VisCent,-0.04725303790418345,False
DefaultC-VisPeri,-0.0549653234095279,False
DorsAttnA-DorsAttnA,0.21865985973893132,True
DorsAttnA-DorsAttnB,0.09785491094912166,False
DorsAttnA-LimbicA,-0.06088083778831985,False
DorsAttnA-LimbicB,-0.08068927739911938,False
DorsAttnA-SalVentAttnA,0.01703266509140204,False
DorsAttnA-SalVentAttnB,-0.06099831906665016,False
DorsAttnA-SomMotA,0.023396033300771783,False
DorsAttnA-SomMotB,0.031074334056741777,False
DorsAttnA-TempPar,-0.023296469767221786,False
DorsAttnA-VisCent,0.005703135765810695,False
DorsAttnA-VisPeri,-0.013953960541769847,False
DorsAttnB-DorsAttnB,0.12672624408957775,True
DorsAttnB-LimbicA,0.01455292058674491,False
DorsAttnB-LimbicB,0.02100490410719365,False
DorsAttnB-SalVentAttnA,0.04449279993828618,False
DorsAttnB-SalVentAttnB,0.04813252962394066,False
DorsAttnB-SomMotA,-0.024660465206676,False
DorsAttnB-SomMotB,-0.013156311068788758,False
DorsAttnB-TempPar,-0.00951055792603678,False
DorsAttnB-VisCent,0.0010385162312943905,False
DorsAttnB-VisPeri,-0.0010457129858329937,False
LimbicA-LimbicA,0.19141115743892365,True
LimbicA-LimbicB,0.15481965078058033,False
LimbicA-SalVentAttnA,0.035308795572872656,False
LimbicA-SalVentAttnB,0.18641378598288338,False
LimbicA-SomMotA,-0.13182883938786577,False
LimbicA-SomMotB,-0.0637213821639238,False
LimbicA-TempPar,-0.06649589829349958,False
LimbicA-VisCent,-0.02238466628768774,False
LimbicA-VisPeri,-0.11022707517175256,False
LimbicB-LimbicB,0.17256317420195524,True
LimbicB-SalVentAttnA,0.04515560050109499,False
