network_connection,fc,within_network
ContA-ContA,0.24353828744254882,True
ContA-ContB,0.15271006245371077,False
ContA-ContC,0.017018654276349316,False
ContA-DefaultA,0.08605748342608903,False
ContA-DefaultB,0.09602001194897482,False
ContA-DefaultC,0.09450705018382856,False
ContA-DorsAttnA,-0.021505755807510026,False
ContA-DorsAttnB,0.0269731620064611,False
ContA-LimbicA,0.21880388195833061,False
ContA-LimbicB,0.11000574286769574,False
ContA-SalVentAttnA,0.022497445813893055,False
ContA-SalVentAttnB,0.08816181980092606,False
ContA-SomMotA,-0.08050056410847994,False
ContA-SomMotB,-0.025028661543080116,False
ContA-TempPar,0.0813232266898071,False
ContA-VisCent,-6.959027499383496e-05,False
ContA-VisPeri,-0.056700537629009604,False
ContB-ContB,0.16030935127109955,True
ContB-ContC,0.04222497775807244,False
ContB-DefaultA,0.032204517006365736,False
ContB-DefaultB,0.047269782473210925,False
ContB-DefaultC,0.09253550421023808,False
ContB-DorsAttnA,0.02045093569106412,False
ContB-DorsAttnB,0.0506719119031447,False
ContB-LimbicA,0.1002807445162135,False
ContB-LimbicB,0.04567082876690344,False
ContB-SalVentAttnA,0.007958421619998567,False
ContB-SalVentAttnB,0.03475097549623848,False
ContB-SomMotA,-0.05072989872756463,False
ContB-SomMotB,-0.013556377172769649,False
ContB-TempPar,0.15228151589514893,False
ContB-VisCent,0.025249484591262725,False
ContB-VisPeri,-0.04465893061522028,False
ContC-ContC,0.26389245771845843,True
ContC-DefaultA,0.19649696227947147,False
ContC-DefaultB,0.12401366430283195,False
ContC-DefaultC,0.017919009441603732,False
ContC-DorsAttnA,-0.04821011557586658,False
ContC-DorsAttnB,0.03877015746396716,False
ContC-LimbicA,0.09501474457120777,False
ContC-LimbicB,0.15762204733038798,False
ContC-SalVentAttnA,0.0514464376500889,False
ContC-SalVentAttnB,0.16152612181969467,False
ContC-SomMotA,-0.028314691240951453,False
ContC-SomMotB,-0.037532027173629016,False
ContC-TempPar,0.008721710599398514,False
ContC-VisCent,-0.0021617202852099292,False
ContC-VisPeri,-0.002549970886495753,False
DefaultA-DefaultA,0.2089478090529117,True
DefaultA-DefaultB,0.16176327834176515,False
DefaultA-DefaultC,0.04497582022232091,False
DefaultA-DorsAttnA,-0.07801673704202361,False
DefaultA-DorsAttnB,0.01285312125824251,False
DefaultA-LimbicA,0.13176881865467002,False
DefaultA-LimbicB,0.16377157032760734,False
DefaultA-SalVentAttnA,0.037770565320774795,False
DefaultA-SalVentAttnB,0.14189524798929912,False
DefaultA-SomMotA,-0.05196741027254442,False
DefaultA-SomMotB,-0.027085338369385963,False
DefaultA-TempPar,-0.005433798894407947,False
DefaultA-VisCent,-0.007146121364338207,False
DefaultA-VisPeri,-0.032569307217323484,False
DefaultB-DefaultB,0.2352561449091764,True
DefaultB-DefaultC,0.2326307222333011,False
DefaultB-DorsAttnA,-0.10102756261940447,False
DefaultB-DorsAttnB,-0.05390360220022375,False
DefaultB-LimbicA,0.11914384552705881,False
DefaultB-LimbicB,0.11725518220221703,False
DefaultB-SalVentAttnA,0.01600462124607806,False
DefaultB-SalVentAttnB,0.07839661344712118,False
DefaultB-SomMotA,-0.09339640472419891,False
DefaultB-SomMotB,-0.03474142810929794,False
DefaultB-TempPar,0.11163498113852507,False
DefaultB-VisCent,-0.03377630056772946,False
DefaultB-VisPeri,-0.07633252692560011,False
DefaultC-DefaultC,0.40518824220052957,True
DefaultC-DorsAttnA,-0.11589368190776025,False
DefaultC-DorsAttnB,-0.0970813575376113,False
DefaultC-LimbicA,0.07654959073358807,False
DefaultC-LimbicB,0.05904423195710426,False
DefaultC-SalVentAttnA,-0.005211097128548047,False
DefaultC-SalVentAttnB,0.013006182733879918,False
DefaultC-SomMotA,-0.13663480449636586,False
DefaultC-SomMotB,-0.028896247024527057,False
DefaultC-TempPar,0.30516152063723323,False
DefaultC-VisCent,-0.020491190149131523,False
DefaultC-VisPeri,-0.07840425073857668,False
DorsAttnA-DorsAttnA,0.22621455735306187,True
DorsAttnA-DorsAttnB,0.07603951010938592,False
DorsAttnA-LimbicA,-0.01902223918104777,False
DorsAttnA-LimbicB,-0.0518309159163245,False
DorsAttnA-SalVentAttnA,0.029332141271704453,False
DorsAttnA-SalVentAttnB,-0.011474322411186634,False
DorsAttnA-SomMotA,0.03105744377000244,False
DorsAttnA-SomMotB,0.06799346334800344,False
DorsAttnA-TempPar,-0.0625779479691805,False
DorsAttnA-VisCent,-0.010497628972148072,False
DorsAttnA-VisPeri,-0.010460314944558175,False
DorsAttnB-DorsAttnB,0.12570539456313717,True
DorsAttnB-LimbicA,0.012668159162033973,False
DorsAttnB-LimbicB,0.03001186766358858,False
DorsAttnB-SalVentAttnA,0.031901077084419194,False
DorsAttnB-SalVentAttnB,0.06384607747689987,False
DorsAttnB-SomMotA,0.0374705653300805,False
DorsAttnB-SomMotB,-0.002820725630067942,False
DorsAttnB-TempPar,-0.03409282591865961,False
DorsAttnB-VisCent,0.05612089571390481,False
DorsAttnB-VisPeri,0.025435847703459125,False
LimbicA-LimbicA,0.2338373753699809,True
LimbicA-LimbicB,0.1765645157348083,False
LimbicA-SalVentAttnA,0.050711107928718024,False
LimbicA-SalVentAttnB,0.1618739346306703,False
LimbicA-SomMotA,-0.10297973554869551,False
LimbicA-SomMotB,-0.022234813355335045,False
LimbicA-TempPar,0.011802809967193665,False
LimbicA-VisCent,-0.04045850272794654,False
LimbicA-VisPeri,-0.061280761483447924,False
LimbicB-LimbicB,0.21742442332914258,True
LimbicB-SalVentAttnA,0.08074245882348484,False
LimbicB-SalVentAttnB,0.22337987791788552,False
LimbicB-SomMotA,-0.12045818933848362,False
LimbicB-SomMotB,-0.00788556581032831,False
LimbicB-TempPar,-0.03054848190663049,False
LimbicB-VisCent,-0.034699635142783083,False
LimbicB-VisPeri,-0.06892337944417089,False
SalVentAttnA-SalVentAttnA,0.07563522286087951,True
SalVentAttnA-SalVentAttnB,0.09770622528428606,False
SalVentAttnA-SomMotA,-0.04069674801741067,False
SalVentAttnA-SomMotB,0.0352850989225019,False
SalVentAttnA-TempPar,-0.04863981791202484,False
SalVentAttnA-VisCent,-0.010409366543574392,False
SalVentAttnA-VisPeri,-0.0069485497517323865,False
SalVentAttnB-SalVentAttnB,0.23627171004834036,True
SalVentAttnB-SomMotA,-0.10629466932558305,False
SalVentAttnB-SomMotB,-0.001122516156877052,False
SalVentAttnB-TempPar,-0.05799550318265979,False
SalVentAttnB-VisCent,-0.03421118489261403,False
SalVentAttnB-VisPeri,-0.039622376195780455,False
SomMotA-SomMotA,0.1895875528377439,True
SomMotA-SomMotB,0.01927052131983962,False
SomMotA-TempPar,-0.06046283185948253,False
SomMotA-VisCent,0.09272723605282236,False
SomMotA-VisPeri,0.1500516033168913,False
SomMotB-SomMotB,0.1074269651427411,True
SomMotB-TempPar,-0.03659683883399153,False
SomMotB-VisCent,0.01632718063444021,False
SomMotB-VisPeri,0.01056377564306331,False
TempPar-TempPar,0.47329546615693313,True
TempPar-VisCent,0.023924883247044604,False
TempPar-VisPeri,-0.011994281163965276,False
VisCent-VisCent,0.1142057245957804,True
VisCent-VisPeri,0.09917190325981055,False
VisPeri-VisPeri,0.23472141810627112,True
