network_connection,fc,within_network
ContA-ContA,0.24420460538676822,True
ContA-ContB,0.10621387109545574,False
ContA-ContC,0.02812721464857782,False
ContA-DefaultA,0.042895697868515506,False
ContA-DefaultB,0.05824431546538792,False
ContA-DefaultC,-0.04458692510959567,False
ContA-DorsAttnA,0.04372120650336735,False
ContA-DorsAttnB,0.05402992560726133,False
ContA-LimbicA,0.20706846557264919,False
ContA-LimbicB,0.1114259046421388,False
ContA-SalVentAttnA,0.046314401687324036,False
ContA-SalVentAttnB,0.13441595850149715,False
ContA-SomMotA,-0.04480649343020659,False
ContA-SomMotB,-0.01415728572316167,False
ContA-TempPar,-0.14551447047941476,False
ContA-VisCent,-0.07225092762263763,False
ContA-VisPeri,-0.06075233320859922,False
ContB-ContB,0.1663764480978966,True
ContB-ContC,0.05399670333275708,False
ContB-DefaultA,-0.03039564215571732,False
ContB-DefaultB,-0.009652692654968932,False
ContB-DefaultC,0.048691210163908545,False
ContB-DorsAttnA,0.0631610433403638,False
ContB-DorsAttnB,0.06329955638404053,False
ContB-LimbicA,0.06258333605114394,False
ContB-LimbicB,-0.011600724625162954,False
ContB-SalVentAttnA,-0.009103695118451443,False
ContB-SalVentAttnB,-0.01793937848966059,False
ContB-SomMotA,-0.03690020413242319,False
ContB-SomMotB,-0.04402974566638414,False
ContB-TempPar,0.09268855713489738,False
ContB-VisCent,-0.023247989117070565,False
ContB-VisPeri,-0.05508632783631017,False
ContC-ContC,0.15609661391925855,True
ContC-DefaultA,0.11570153947321332,False
ContC-DefaultB,0.037485218978689096,False
ContC-DefaultC,-0.039732652935476696,False
ContC-DorsAttnA,-0.010116733771474868,False
ContC-DorsAttnB,0.035703437455386004,False
ContC-LimbicA,0.06804076783652353,False
ContC-LimbicB,0.12104257611707016,False
ContC-SalVentAttnA,0.03070525400935524,False
ContC-SalVentAttnB,0.10619649058179217,False
ContC-SomMotA,-0.0017261623808568615,False
ContC-SomMotB,-0.009900792315938484,False
ContC-TempPar,-0.035166170775355825,False
ContC-VisCent,0.0010065348770110021,False
ContC-VisPeri,-0.0004401448160744639,False
DefaultA-DefaultA,0.16417979086506979,True
DefaultA-DefaultB,0.13555156695235704,False
DefaultA-DefaultC,-0.008189827312529246,False
DefaultA-DorsAttnA,-0.07212243140130954,False
DefaultA-DorsAttnB,-0.02293828939979269,False
DefaultA-LimbicA,0.06179747416223915,False
DefaultA-LimbicB,0.14639403068797535,False
DefaultA-SalVentAttnA,0.021153740944287926,False
DefaultA-SalVentAttnB,0.12672472251387681,False
DefaultA-SomMotA,-0.025589209057485227,False
DefaultA-SomMotB,0.0013563564882043957,False
DefaultA-TempPar,-0.09690066948132735,False
DefaultA-VisCent,-0.006543906660621359,False
DefaultA-VisPeri,-0.04554179756140899,False
DefaultB-DefaultB,0.23724455262475877,True
DefaultB-DefaultC,0.16933525117253412,False
DefaultB-DorsAttnA,-0.10323312580461648,False
DefaultB-DorsAttnB,-0.09073953861490569,False
DefaultB-LimbicA,0.046260283648463574,False
DefaultB-LimbicB,0.10191948124200322,False
DefaultB-SalVentAttnA,-0.023446906176606983,False
DefaultB-SalVentAttnB,0.054417187368119506,False
DefaultB-SomMotA,-0.10221831644222339,False
DefaultB-SomMotB,-0.018602371012353312,False
DefaultB-TempPar,-0.014040047478700479,False
DefaultB-VisCent,-0.059758811635048315,False
DefaultB-VisPeri,-0.15778810203732507,False
DefaultC-DefaultC,0.3000591073188505,True
DefaultC-DorsAttnA,-0.08600391006579367,False
DefaultC-DorsAttnB,-0.09388085678928394,False
DefaultC-LimbicA,-0.043736609980396135,False
DefaultC-LimbicB,-0.0339955351714438,False
DefaultC-SalVentAttnA,-0.0870734998697549,False
DefaultC-SalVentAttnB,-0.10196652164517228,False
DefaultC-SomMotA,-0.11866946418582626,False
DefaultC-SomMotB,-0.06540813715828385,False
DefaultC-TempPar,0.2614739037362726,False
DefaultC-VisCent,-0.035847813252732834,False
DefaultC-VisPeri,-0.17362855641206287,False
DorsAttnA-DorsAttnA,0.28281755315690543,True
DorsAttnA-DorsAttnB,0.12019694020837261,False
DorsAttnA-LimbicA,0.03655150159958519,False
DorsAttnA-LimbicB,-0.03054712026090658,False
DorsAttnA-SalVentAttnA,0.07605898425317457,False
DorsAttnA-SalVentAttnB,0.04403501146538125,False
DorsAttnA-SomMotA,0.029931658306070353,False
DorsAttnA-SomMotB,0.08345017018466777,False
DorsAttnA-TempPar,-0.03191882905815533,False
DorsAttnA-VisCent,-0.04990439274062636,False
DorsAttnA-VisPeri,-0.036080735452738225,False
DorsAttnB-DorsAttnB,0.13779912505561506,True
DorsAttnB-LimbicA,0.05176285420336742,False
DorsAttnB-LimbicB,0.03673982064000504,False
DorsAttnB-SalVentAttnA,0.06624440715182078,False
DorsAttnB-SalVentAttnB,0.08244672286866551,False
DorsAttnB-SomMotA,0.03552325459145098,False
DorsAttnB-SomMotB,0.00030321585044728417,False
DorsAttnB-TempPar,-0.027558760620306107,False
DorsAttnB-VisCent,0.029524072294228466,False
DorsAttnB-VisPeri,0.05075621749143429,False
LimbicA-LimbicA,0.2137642466948895,True
LimbicA-LimbicB,0.14559678253961267,False
LimbicA-SalVentAttnA,0.0493159890420146,False
LimbicA-SalVentAttnB,0.16066502315769718,False
LimbicA-SomMotA,-0.026299321572803406,False
LimbicA-SomMotB,0.005904078494908111,False
LimbicA-TempPar,-0.15103870155536198,False
LimbicA-VisCent,-0.04195455848895159,False
LimbicA-VisPeri,-0.054264046325412,False
LimbicB-LimbicB,0.2317718865962151,True
LimbicB-SalVentAttnA,0.08739298045298015,False
LimbicB-SalVentAttnB,0.2416301406108217,False
LimbicB-SomMotA,-0.015877204775690625,False
LimbicB-SomMotB,0.041967553878493734,False
LimbicB-TempPar,-0.15009963193186207,False
LimbicB-VisCent,0.0028205897567420706,False
LimbicB-VisPeri,-0.028792419074567963,False
SalVentAttnA-SalVentAttnA,0.10170237494066509,True
SalVentAttnA-SalVentAttnB,0.13115405623665854,False
SalVentAttnA-SomMotA,0.007869425067493684,False
SalVentAttnA-SomMotB,0.06272866242869644,False
SalVentAttnA-TempPar,-0.10423959823956477,False
SalVentAttnA-VisCent,-0.013546315613468285,False
SalVentAttnA-VisPeri,0.02957075903467617,False
SalVentAttnB-SalVentAttnB,0.29208723254475594,True
SalVentAttnB-SomMotA,-0.018561218480079328,False
SalVentAttnB-SomMotB,0.05035668287771013,False
SalVentAttnB-TempPar,-0.20464210769571078,False
SalVentAttnB-VisCent,-0.030078232782027953,False
SalVentAttnB-VisPeri,-0.006934953281685328,False
SomMotA-SomMotA,0.1697545843879332,True
SomMotA-SomMotB,0.0680578067520657,False
SomMotA-TempPar,-0.0781444952951806,False
SomMotA-VisCent,0.123431685121455,False
SomMotA-VisPeri,0.19422022492434313,False
SomMotB-SomMotB,0.1512808834742577,True
SomMotB-TempPar,-0.09447855064419032,False
SomMotB-VisCent,0.02829111078506059,False
SomMotB-VisPeri,0.051308968814506764,False
TempPar-TempPar,0.5422911930690467,True
TempPar-VisCent,-0.021034177058389628,False
TempPar-VisPeri,-0.10925785567941113,False
VisCent-VisCent,0.18237578752038916,True
VisCent-VisPeri,0.17400849609326807,False
VisPeri-VisPeri,0.365442011109245,True
