network_connection,fc,within_network
ContA-ContA,0.23030874230377868,True
ContA-ContB,0.13451697203021817,False
ContA-ContC,0.06415061959244706,False
ContA-DefaultA,0.08266257687271406,False
ContA-DefaultB,0.09297741574452684,False
ContA-DefaultC,0.08688430324049043,False
ContA-DorsAttnA,-0.046369563589738226,False
ContA-DorsAttnB,0.025623226343351378,False
ContA-LimbicA,0.20680877567614508,False
ContA-LimbicB,0.14343478341098917,False
ContA-SalVentAttnA,-0.03612719596207624,False
ContA-SalVentAttnB,0.11878412110027202,False
ContA-SomMotA,-0.09451682339900201,False
ContA-SomMotB,-0.04881006264198865,False
ContA-TempPar,0.019195766281228027,False
ContA-VisCent,0.0057550227715594034,False
ContA-VisPeri,-0.09087255125906375,False
ContB-ContB,0.2175040183921727,True
ContB-ContC,0.06260339780016218,False
ContB-DefaultA,0.043604745512289884,False
ContB-DefaultB,0.06933822126442978,False
ContB-DefaultC,0.15520828099760162,False
ContB-DorsAttnA,-0.013335569113767081,False
ContB-DorsAttnB,0.01952980497166134,False
ContB-LimbicA,0.07836379180828483,False
ContB-LimbicB,0.023633866919604913,False
ContB-SalVentAttnA,-0.05472615950089796,False
ContB-SalVentAttnB,-0.017028254795668156,False
ContB-SomMotA,-0.08672857235288003,False
ContB-SomMotB,-0.057427836884989425,False
ContB-TempPar,0.14211566497982708,False
ContB-VisCent,0.00014718054419953592,False
ContB-VisPeri,-0.08810304251306,False
ContC-ContC,0.2466615660781581,True
ContC-DefaultA,0.20185348376329035,False
ContC-DefaultB,0.08041665803044366,False
ContC-DefaultC,-0.04862365743987471,False
ContC-DorsAttnA,0.0038069200760337996,False
ContC-DorsAttnB,0.06909181950984915,False
ContC-LimbicA,0.09329161560141787,False
ContC-LimbicB,0.12075772090858249,False
ContC-SalVentAttnA,0.014469784668354444,False
ContC-SalVentAttnB,0.13039166014694625,False
ContC-SomMotA,-0.024798785461869262,False
ContC-SomMotB,-0.045312607085285554,False
ContC-TempPar,-0.06793002986398597,False
ContC-VisCent,0.0483883704328864,False
ContC-VisPeri,-0.006677457357473443,False
DefaultA-DefaultA,0.19668962521940309,True
DefaultA-DefaultB,0.1174438295856089,False
DefaultA-DefaultC,0.00337088311522189,False
DefaultA-DorsAttnA,-0.03209585138040952,False
DefaultA-DorsAttnB,0.04257633316024345,False
DefaultA-LimbicA,0.10672429173263141,False
DefaultA-LimbicB,0.15829011384430797,False
DefaultA-SalVentAttnA,0.015450692378798092,False
DefaultA-SalVentAttnB,0.14757859378929158,False
DefaultA-SomMotA,-0.05481503872059727,False
DefaultA-SomMotB,-0.042363198856095914,False
DefaultA-TempPar,-0.053574445486523466,False
DefaultA-VisCent,0.03789982710532316,False
DefaultA-VisPeri,-0.05909790275155956,False
DefaultB-DefaultB,0.18095305836667042,True
DefaultB-DefaultC,0.21905205906966158,False
DefaultB-DorsAttnA,-0.11154050957633574,False
DefaultB-DorsAttnB,-0.018997322525082714,False
DefaultB-LimbicA,0.0620514602652366,False
DefaultB-LimbicB,0.14851577408000363,False
DefaultB-SalVentAttnA,-0.023241666824699733,False
DefaultB-SalVentAttnB,0.11841617718361051,False
DefaultB-SomMotA,-0.12702209088529304,False
DefaultB-SomMotB,-0.05883409249055698,False
DefaultB-TempPar,0.12043401537356373,False
DefaultB-VisCent,-0.0007362716153350895,False
DefaultB-VisPeri,-0.128127244779286,False
DefaultC-DefaultC,0.48885201299012154,True
DefaultC-DorsAttnA,-0.1525262919821836,False
DefaultC-DorsAttnB,-0.05523819984074546,False
DefaultC-LimbicA,-0.0014538169575476255,False
DefaultC-LimbicB,0.08240824171735968,False
DefaultC-SalVentAttnA,-0.0733822417461117,False
DefaultC-SalVentAttnB,0.03646987193960782,False
DefaultC-SomMotA,-0.19926326198798533,False
DefaultC-SomMotB,-0.10814675894631687,False
DefaultC-TempPar,0.4271375702855513,False
DefaultC-VisCent,-0.04108251735468216,False
DefaultC-VisPeri,-0.19385979737460518,False
DorsAttnA-DorsAttnA,0.2685020945518442,True
DorsAttnA-DorsAttnB,0.10804097394774725,False
DorsAttnA-LimbicA,0.001898516449150823,False
DorsAttnA-LimbicB,-0.08537150288208739,False
DorsAttnA-SalVentAttnA,0.05599415272985661,False
DorsAttnA-SalVentAttnB,-0.04048918383177961,False
DorsAttnA-SomMotA,0.04187096392056083,False
DorsAttnA-SomMotB,0.04393634351884093,False
DorsAttnA-TempPar,-0.10577770585361551,False
DorsAttnA-VisCent,0.010101227140094033,False
DorsAttnA-VisPeri,0.03629002612009869,False
DorsAttnB-DorsAttnB,0.13166702605164596,True
DorsAttnB-LimbicA,0.06498293315808006,False
DorsAttnB-LimbicB,0.07600873716194001,False
DorsAttnB-SalVentAttnA,0.04274672379574012,False
DorsAttnB-SalVentAttnB,0.09562975086772581,False
DorsAttnB-SomMotA,-4.659757590966634e-06,False
DorsAttnB-SomMotB,-0.023128500983574343,False
DorsAttnB-TempPar,-0.06430790306495582,False
DorsAttnB-VisCent,0.0459368967884193,False
DorsAttnB-VisPeri,0.018448017093864916,False
LimbicA-LimbicA,0.21299528973819284,True
LimbicA-LimbicB,0.17404748445795534,False
LimbicA-SalVentAttnA,0.006612000146537258,False
LimbicA-SalVentAttnB,0.17069515580452818,False
LimbicA-SomMotA,-0.07694083094196953,False
LimbicA-SomMotB,-0.03976741908994199,False
LimbicA-TempPar,-0.06028856474338273,False
LimbicA-VisCent,0.02089813565290776,False
LimbicA-VisPeri,-0.07967244999128435,False
LimbicB-LimbicB,0.3180733988585321,True
LimbicB-SalVentAttnA,0.0522639678440008,False
LimbicB-SalVentAttnB,0.3060155517178608,False
LimbicB-SomMotA,-0.11858052711250974,False
LimbicB-SomMotB,-0.03470996312914654,False
LimbicB-TempPar,-0.021608994228924608,False
LimbicB-VisCent,0.07008588567321708,False
LimbicB-VisPeri,-0.11550154359352172,False
SalVentAttnA-SalVentAttnA,0.08600980286884961,True
SalVentAttnA-SalVentAttnB,0.0859461756566614,False
SalVentAttnA-SomMotA,0.02327832406433536,False
SalVentAttnA-SomMotB,0.03362398453799654,False
SalVentAttnA-TempPar,-0.0795242430984607,False
SalVentAttnA-VisCent,0.02253340921758813,False
SalVentAttnA-VisPeri,0.03422498413436034,False
SalVentAttnB-SalVentAttnB,0.321064774459675,True
SalVentAttnB-SomMotA,-0.10508846670907909,False
SalVentAttnB-SomMotB,-0.056253078881718405,False
SalVentAttnB-TempPar,-0.04504508699274069,False
SalVentAttnB-VisCent,0.05193278877035639,False
SalVentAttnB-VisPeri,-0.06365855193641498,False
SomMotA-SomMotA,0.21525343634372895,True
SomMotA-SomMotB,0.10188151175066741,False
SomMotA-TempPar,-0.17252209287609535,False
SomMotA-VisCent,0.04887143342380849,False
SomMotA-VisPeri,0.21537364198417036,False
SomMotB-SomMotB,0.14795267518891425,True
SomMotB-TempPar,-0.10677458940136261,False
SomMotB-VisCent,0.04934119741998726,False
SomMotB-VisPeri,0.04970711401900195,False
TempPar-TempPar,0.5259441565671048,True
TempPar-VisCent,-0.06522519648004131,False
TempPar-VisPeri,-0.14474161010656264,False
VisCent-VisCent,0.07544512014033641,True
VisCent-VisPeri,0.04474797096853149,False
VisPeri-VisPeri,0.2797330070409327,True
