network_connection,fc,within_network
ContA-ContA,0.17394160068042103,True
ContA-ContB,0.09275402014481972,False
ContA-ContC,0.03777739964350321,False
ContA-DefaultA,0.06450672355644647,False
ContA-DefaultB,0.06610762421688463,False
ContA-DefaultC,0.01666473564716316,False
ContA-DorsAttnA,0.0021226250885116264,False
ContA-DorsAttnB,0.04922942611237906,False
ContA-LimbicA,0.19883156621648873,False
ContA-LimbicB,0.1380427109447942,False
ContA-SalVentAttnA,0.02863968121614586,False
ContA-SalVentAttnB,0.15478155054095322,False
ContA-SomMotA,-0.1073132939829844,False
ContA-SomMotB,-0.04742021520266608,False
ContA-TempPar,-0.03156794120689577,False
ContA-VisCent,1.7302260068507214e-05,False
ContA-VisPeri,-0.11411425880393213,False
ContB-ContB,0.1261344328965832,True
ContB-ContC,0.040643002933043994,False
ContB-DefaultA,0.009471541135796608,False
ContB-DefaultB,0.055664219165862824,False
ContB-DefaultC,0.10949494688916594,False
ContB-DorsAttnA,0.052471166382406106,False
ContB-DorsAttnB,0.06427798269912925,False
ContB-LimbicA,0.08217706586573044,False
ContB-LimbicB,0.05081079460936716,False
ContB-SalVentAttnA,0.004264430198270663,False
ContB-SalVentAttnB,0.053492996758831055,False
ContB-SomMotA,-0.10722065415010319,False
ContB-SomMotB,-0.03047151481313092,False
ContB-TempPar,0.08828788544269096,False
ContB-VisCent,0.008935226652995676,False
ContB-VisPeri,-0.10872897004486332,False
ContC-ContC,0.07003218402623362,True
ContC-DefaultA,0.06312119543719394,False
ContC-DefaultB,0.05263514501517406,False
ContC-DefaultC,0.0318660674277935,False
ContC-DorsAttnA,-0.010688128959241754,False
ContC-DorsAttnB,0.011313894458295792,False
ContC-LimbicA,0.04545790477359258,False
ContC-LimbicB,0.0340309308284577,False
ContC-SalVentAttnA,-0.008544067400061988,False
ContC-SalVentAttnB,0.04173851965417348,False
ContC-SomMotA,-0.03922224234343514,False
ContC-SomMotB,-0.041565124767202394,False
ContC-TempPar,0.021235374117970957,False
ContC-VisCent,-0.0044157709302789635,False
ContC-VisPeri,-0.04118131219493021,False
DefaultA-DefaultA,0.09192160585185045,True
DefaultA-DefaultB,0.05511427889685168,False
DefaultA-DefaultC,-0.031284497420870735,False
DefaultA-DorsAttnA,-0.03459389701837019,False
DefaultA-DorsAttnB,-0.005112563653613943,False
DefaultA-LimbicA,0.07907224167923803,False
DefaultA-LimbicB,0.07190603513609407,False
DefaultA-SalVentAttnA,0.0036583414951712736,False
DefaultA-SalVentAttnB,0.07478730744488371,False
DefaultA-SomMotA,-0.02462605985854108,False
DefaultA-SomMotB,-0.03745952614880753,False
DefaultA-TempPar,-0.04470863008364826,False
DefaultA-VisCent,-0.005018051167124236,False
DefaultA-VisPeri,-0.04132925675175187,False
DefaultB-DefaultB,0.10978248247705603,True
DefaultB-DefaultC,0.1320273733577444,False
DefaultB-DorsAttnA,-0.057057240321332116,False
DefaultB-DorsAttnB,-0.011024350077228502,False
DefaultB-LimbicA,0.06435103322737748,False
DefaultB-LimbicB,0.05711573936110348,False
DefaultB-SalVentAttnA,-0.011075380527632081,False
DefaultB-SalVentAttnB,0.046007600924420695,False
DefaultB-SomMotA,-0.06090121073593448,False
DefaultB-SomMotB,-0.04206034796666268,False
DefaultB-TempPar,0.10071198618588623,False
DefaultB-VisCent,-0.013560723718151821,False
DefaultB-VisPeri,-0.07537049297906508,False
DefaultC-DefaultC,0.34331692194859553,True
DefaultC-DorsAttnA,-0.033864693606653125,False
DefaultC-DorsAttnB,0.010132506469766479,False
DefaultC-LimbicA,-0.005093850233452601,False
DefaultC-LimbicB,0.006578910550714569,False
DefaultC-SalVentAttnA,-0.015226736367092408,False
DefaultC-SalVentAttnB,-0.014084352565464826,False
DefaultC-SomMotA,-0.11648570163290342,False
DefaultC-SomMotB,-0.05133267124187833,False
DefaultC-TempPar,0.34529990467490645,False
DefaultC-VisCent,-0.015975164800294837,False
DefaultC-VisPeri,-0.1045778618244686,False
DorsAttnA-DorsAttnA,0.21740446255076862,True
DorsAttnA-DorsAttnB,0.11277594874305778,False
