network_connection,fc,within_network
ContA-ContA,0.22070683777924893,True
ContA-ContB,0.19288959461015273,False
ContA-ContC,0.11908828330378261,False
ContA-DefaultA,0.12947663754221486,False
ContA-DefaultB,0.10994514055749739,False
ContA-DefaultC,0.06192325129989962,False
ContA-DorsAttnA,-0.0042628825735176595,False
ContA-DorsAttnB,0.0503033170997484,False
ContA-LimbicA,0.18023903910009656,False
ContA-LimbicB,0.18872245673569077,False
ContA-SalVentAttnA,0.03369766833624665,False
ContA-SalVentAttnB,0.1675587067004931,False
ContA-SomMotA,-0.06333636087244147,False
ContA-SomMotB,0.011159147512106893,False
ContA-TempPar,0.0038513944581506994,False
ContA-VisCent,0.07289545719981777,False
ContA-VisPeri,-0.06046214183630437,False
ContB-ContB,0.24097404233509104,True
ContB-ContC,0.15293288668643318,False
ContB-DefaultA,0.12826445855468685,False
ContB-DefaultB,0.14088492697941551,False
ContB-DefaultC,0.17071676013405696,False
ContB-DorsAttnA,0.04018972960041031,False
ContB-DorsAttnB,0.05988059579622168,False
ContB-LimbicA,0.1489460740807207,False
ContB-LimbicB,0.1680319743035297,False
ContB-SalVentAttnA,0.03587580140452299,False
ContB-SalVentAttnB,0.1396957492668491,False
ContB-SomMotA,-0.039258570053399985,False
ContB-SomMotB,0.03993689674740452,False
ContB-TempPar,0.12358828353977326,False
ContB-VisCent,0.09913889282550588,False
ContB-VisPeri,-0.041021240693327264,False
ContC-ContC,0.19621264191620788,True
ContC-DefaultA,0.15888240987523167,False
ContC-DefaultB,0.12430352832316771,False
ContC-DefaultC,0.07185029437172048,False
ContC-DorsAttnA,0.008866740424380426,False
ContC-DorsAttnB,0.02360694062053715,False
ContC-LimbicA,0.12855495639170675,False
ContC-LimbicB,0.1333650716339716,False
ContC-SalVentAttnA,0.018536695104706406,False
ContC-SalVentAttnB,0.11945036702380535,False
ContC-SomMotA,-0.020294009552527113,False
ContC-SomMotB,0.009367141199585849,False
ContC-TempPar,0.0268037776861977,False
ContC-VisCent,0.05102852926712667,False
ContC-VisPeri,-0.006702429545571111,False
DefaultA-DefaultA,0.1560464676956568,True
DefaultA-DefaultB,0.12441450332168646,False
DefaultA-DefaultC,0.05831106860581603,False
DefaultA-DorsAttnA,-0.0052213257567307325,False
DefaultA-DorsAttnB,0.017795022454585818,False
DefaultA-LimbicA,0.12308805795358908,False
DefaultA-LimbicB,0.13719391225674998,False
DefaultA-SalVentAttnA,0.02199497758603677,False
DefaultA-SalVentAttnB,0.11992391745730183,False
DefaultA-SomMotA,-0.02153260435198705,False
DefaultA-SomMotB,0.012026377756449012,False
DefaultA-TempPar,0.014504601192235903,False
DefaultA-VisCent,0.04855964914934571,False
DefaultA-VisPeri,-0.015309676835651426,False
DefaultB-DefaultB,0.16697826297300494,True
DefaultB-DefaultC,0.1912250385903588,False
DefaultB-DorsAttnA,-0.01632551058817442,False
DefaultB-DorsAttnB,0.0022817871772138547,False
DefaultB-LimbicA,0.08003412525535736,False
DefaultB-LimbicB,0.1075449992833902,False
