network_connection,fc,within_network
ContA-ContA,0.29779565260587104,True
ContA-ContB,0.1988295663071909,False
ContA-ContC,0.17913199020850346,False
ContA-DefaultA,0.1734023199045255,False
ContA-DefaultB,0.17105147096379023,False
ContA-DefaultC,0.05197398939385444,False
ContA-DorsAttnA,-0.07343597009049009,False
ContA-DorsAttnB,0.0659767889733649,False
ContA-LimbicA,0.2721043375932183,False
ContA-LimbicB,0.18797917779021364,False
ContA-SalVentAttnA,-0.0005329432631234009,False
ContA-SalVentAttnB,0.1775680819032176,False
ContA-SomMotA,-0.13355238765345603,False
ContA-SomMotB,-0.10147817035970458,False
ContA-TempPar,-0.008980811177850016,False
ContA-VisCent,0.055146228663766866,False
ContA-VisPeri,-0.17478877164014608,False
ContB-ContB,0.25301063373186966,True
ContB-ContC,0.1446280898484262,False
ContB-DefaultA,0.1033008339533797,False
ContB-DefaultB,0.11913777242728002,False
ContB-DefaultC,0.13079402878388946,False
ContB-DorsAttnA,-0.033142615944619716,False
ContB-DorsAttnB,0.06175526281501968,False
ContB-LimbicA,0.10856260932207089,False
ContB-LimbicB,0.03512486138185533,False
ContB-SalVentAttnA,-0.05178678214026888,False
ContB-SalVentAttnB,0.006847166852527306,False
ContB-SomMotA,-0.08271014676002097,False
ContB-SomMotB,-0.07453823749940373,False
ContB-TempPar,0.11310977149951436,False
ContB-VisCent,0.05654295702663499,False
ContB-VisPeri,-0.11514265925339502,False
ContC-ContC,0.3123020273621025,True
ContC-DefaultA,0.2823426968998456,False
ContC-DefaultB,0.17976820622609915,False
ContC-DefaultC,-0.007934161012503023,False
ContC-DorsAttnA,-0.0880469036520783,False
ContC-DorsAttnB,0.03056231046327565,False
ContC-LimbicA,0.19892344940286089,False
ContC-LimbicB,0.16583539131820796,False
ContC-SalVentAttnA,-0.022439387151143825,False
ContC-SalVentAttnB,0.1412612658337753,False
ContC-SomMotA,-0.06328123565387644,False
ContC-SomMotB,-0.11203637945256177,False
ContC-TempPar,-0.0006063008482525497,False
ContC-VisCent,0.04344080086428193,False
ContC-VisPeri,-0.10447152292841903,False
DefaultA-DefaultA,0.28705601217865145,True
DefaultA-DefaultB,0.19927650684870257,False
DefaultA-DefaultC,-0.02269834948357616,False
DefaultA-DorsAttnA,-0.09605649659976283,False
DefaultA-DorsAttnB,0.011661026587046132,False
DefaultA-LimbicA,0.1840688000841019,False
DefaultA-LimbicB,0.16476567813553095,False
DefaultA-SalVentAttnA,-0.022960845126335113,False
DefaultA-SalVentAttnB,0.1439197301039663,False
DefaultA-SomMotA,-0.05288288070809983,False
DefaultA-SomMotB,-0.09689763698301083,False
DefaultA-TempPar,-0.04606438715434949,False
DefaultA-VisCent,0.04349958919965533,False
DefaultA-VisPeri,-0.1029819577982325,False
DefaultB-DefaultB,0.2255557286176393,True
DefaultB-DefaultC,0.14022287122940286,False
DefaultB-DorsAttnA,-0.09895140187669282,False
DefaultB-DorsAttnB,-0.008368757925958602,False
DefaultB-LimbicA,0.1254034101475718,False
DefaultB-LimbicB,0.12328569212335556,False
DefaultB-SalVentAttnA,-0.02031822597403496,False
DefaultB-SalVentAttnB,0.10274078546833613,False
DefaultB-SomMotA,-0.07522160778319448,False
DefaultB-SomMotB,-0.0633943553408001,False
DefaultB-TempPar,0.0017724668516991462,False
DefaultB-VisCent,0.03658415063425128,False
DefaultB-VisPeri,-0.11664439398979527,False
DefaultC-DefaultC,0.37355340165525885,True
DefaultC-DorsAttnA,-0.08163223045009138,False
DefaultC-DorsAttnB,-0.04122526508913158,False
DefaultC-LimbicA,-0.061925181549625744,False
DefaultC-LimbicB,-0.013974833509702335,False
DefaultC-SalVentAttnA,-0.028928154613126384,False
DefaultC-SalVentAttnB,-0.03944918119921194,False
DefaultC-SomMotA,-0.06819978152067614,False
DefaultC-SomMotB,-0.010581695371758886,False
DefaultC-TempPar,0.22112491185551028,False
DefaultC-VisCent,0.010648204201084014,False
DefaultC-VisPeri,-0.08255159388826422,False
DorsAttnA-DorsAttnA,0.22832160789820174,True
DorsAttnA-DorsAttnB,0.08532276861742487,False
DorsAttnA-LimbicA,-0.05542486302549824,False
DorsAttnA-LimbicB,-0.08993937837149832,False
DorsAttnA-SalVentAttnA,-0.004157000643413784,False
DorsAttnA-SalVentAttnB,-0.04564665516330682,False
DorsAttnA-SomMotA,0.017089205207373222,False
DorsAttnA-SomMotB,0.05021137380493916,False
DorsAttnA-TempPar,-0.0634474439970706,False
DorsAttnA-VisCent,-0.01901384242252579,False
DorsAttnA-VisPeri,0.013789431305760493,False
DorsAttnB-DorsAttnB,0.1220520911090829,True
DorsAttnB-LimbicA,0.06605828338689772,False
DorsAttnB-LimbicB,0.03701801226746474,False
DorsAttnB-SalVentAttnA,0.00989025548443762,False
DorsAttnB-SalVentAttnB,0.05572612216108781,False
DorsAttnB-SomMotA,-0.03114126475175623,False
DorsAttnB-SomMotB,-0.0495371744276369,False
DorsAttnB-TempPar,-0.03896023194316682,False
DorsAttnB-VisCent,0.04069324479042077,False
DorsAttnB-VisPeri,-0.011290363290691162,False
LimbicA-LimbicA,0.29395927726905646,True
LimbicA-LimbicB,0.23774921342344288,False
LimbicA-SalVentAttnA,0.030835794318746168,False
LimbicA-SalVentAttnB,0.24184141298378384,False
LimbicA-SomMotA,-0.11956609304393592,False
LimbicA-SomMotB,-0.08919764776519207,False
LimbicA-TempPar,-0.07481600934202169,False
LimbicA-VisCent,0.03907431757997675,False
LimbicA-VisPeri,-0.15021555212727422,False
LimbicB-LimbicB,0.2740995454729612,True
LimbicB-SalVentAttnA,0.0735555049739604,False
LimbicB-SalVentAttnB,0.2877811332935492,False
LimbicB-SomMotA,-0.13027485870806532,False
LimbicB-SomMotB,-0.07322969529816079,False
LimbicB-TempPar,-0.09488238087514467,False
LimbicB-VisCent,0.04020946161273605,False
LimbicB-VisPeri,-0.13361168642071872,False
SalVentAttnA-SalVentAttnA,0.09190556991830691,True
SalVentAttnA-SalVentAttnB,0.09604907389343764,False
SalVentAttnA-SomMotA,-0.03174087723966068,False
SalVentAttnA-SomMotB,0.006032222675635866,False
SalVentAttnA-TempPar,-0.057557263343513174,False
SalVentAttnA-VisCent,-0.008880581504987087,False
SalVentAttnA-VisPeri,0.02286297458704133,False
SalVentAttnB-SalVentAttnB,0.3086774790035859,True
SalVentAttnB-SomMotA,-0.14001894697836603,False
SalVentAttnB-SomMotB,-0.0743763092421202,False
SalVentAttnB-TempPar,-0.0992964348043535,False
SalVentAttnB-VisCent,0.012563283963644176,False
SalVentAttnB-VisPeri,-0.12920286490458427,False
SomMotA-SomMotA,0.14957658462799345,True
SomMotA-SomMotB,0.06451863554610955,False
SomMotA-TempPar,-0.012629118820940137,False
SomMotA-VisCent,0.0052093469132464786,False
SomMotA-VisPeri,0.1614365139289412,False
SomMotB-SomMotB,0.13344223071209377,True
SomMotB-TempPar,-0.016457571705272178,False
SomMotB-VisCent,0.000870290160132417,False
SomMotB-VisPeri,0.047508768105193486,False
TempPar-TempPar,0.40389353220205915,True
TempPar-VisCent,-0.0038298484959871943,False
TempPar-VisPeri,-0.018830093646755634,False
VisCent-VisCent,0.06412391819183796,True
VisCent-VisPeri,0.011756262608352712,False
VisPeri-VisPeri,0.27970671107298456,True
