network_connection,fc,within_network
ContA-ContA,0.25759771226698447,True
ContA-ContB,0.11131128042078847,False
ContA-ContC,0.06007374343178603,False
ContA-DefaultA,0.07798769361729023,False
ContA-DefaultB,0.10138158546791792,False
ContA-DefaultC,0.06588318068686225,False
ContA-DorsAttnA,-0.06784163777537132,False
ContA-DorsAttnB,0.003659561078597031,False
ContA-LimbicA,0.24361062570292155,False
ContA-LimbicB,0.13653049984147353,False
ContA-SalVentAttnA,-0.009868724135388767,False
ContA-SalVentAttnB,0.11884888748338282,False
ContA-SomMotA,-0.10339879037302487,False
ContA-SomMotB,-0.09311662522815203,False
ContA-TempPar,-0.005924579537889327,False
ContA-VisCent,-0.029011915444843852,False
ContA-VisPeri,-0.12807824658142045,False
ContB-ContB,0.1227931714656657,True
ContB-ContC,0.044600023805962764,False
ContB-DefaultA,0.009389889405122758,False
ContB-DefaultB,0.05520175590484678,False
ContB-DefaultC,0.1137722120596698,False
ContB-DorsAttnA,0.0017317140769088257,False
ContB-DorsAttnB,0.01567710548693772,False
ContB-LimbicA,0.07414372684981202,False
ContB-LimbicB,0.02005783375191555,False
ContB-SalVentAttnA,-0.021439992705072127,False
ContB-SalVentAttnB,0.01418816467332221,False
ContB-SomMotA,-0.06903238131730348,False
ContB-SomMotB,-0.0500938993492264,False
ContB-TempPar,0.12851694894410934,False
ContB-VisCent,-0.021599595773150643,False
ContB-VisPeri,-0.08131923388611233,False
ContC-ContC,0.1562889002496334,True
ContC-DefaultA,0.13037948821694048,False
ContC-DefaultB,0.07722004840718692,False
ContC-DefaultC,-0.007929783003513331,False
ContC-DorsAttnA,-0.08718042431329967,False
ContC-DorsAttnB,-0.0036857080641784007,False
ContC-LimbicA,0.07342204450578715,False
ContC-LimbicB,0.09475644557025026,False
ContC-SalVentAttnA,-0.012916926781070513,False
ContC-SalVentAttnB,0.06668774388945105,False
ContC-SomMotA,-0.02409864213298275,False
ContC-SomMotB,-0.05380713085905965,False
ContC-TempPar,-0.018827445768774723,False
ContC-VisCent,0.020573940448246033,False
ContC-VisPeri,-0.016856135386968497,False
DefaultA-DefaultA,0.16678902596994294,True
DefaultA-DefaultB,0.12220386659904492,False
DefaultA-DefaultC,0.007642829915248712,False
DefaultA-DorsAttnA,-0.10689899217235131,False
DefaultA-DorsAttnB,-0.016261575555117952,False
DefaultA-LimbicA,0.08428378903699399,False
DefaultA-LimbicB,0.10950252502561099,False
DefaultA-SalVentAttnA,-0.016979593486569446,False
DefaultA-SalVentAttnB,0.06663242199110081,False
DefaultA-SomMotA,-0.023039212551076736,False
DefaultA-SomMotB,-0.05909834253637916,False
DefaultA-TempPar,-0.055359159159071615,False
DefaultA-VisCent,0.03330555605295701,False
DefaultA-VisPeri,-0.020147703672243385,False
DefaultB-DefaultB,0.1865935278151385,True
DefaultB-DefaultC,0.19926691498344679,False
DefaultB-DorsAttnA,-0.11336344703351799,False
