network_connection,fc,within_network
ContA-ContA,0.14148115454809612,True
ContA-ContB,0.13157134848697052,False
ContA-ContC,0.06084244110000387,False
ContA-DefaultA,0.06318744150054276,False
ContA-DefaultB,0.08311131043716852,False
ContA-DefaultC,0.05703389706135605,False
ContA-DorsAttnA,-0.00319216490175023,False
ContA-DorsAttnB,0.027116438015474826,False
ContA-LimbicA,0.13909699376932094,False
ContA-LimbicB,0.09424889871392547,False
ContA-SalVentAttnA,0.007706679614360096,False
ContA-SalVentAttnB,0.10564775826950218,False
ContA-SomMotA,-0.09868524424037323,False
ContA-SomMotB,-0.026611052717696062,False
ContA-TempPar,0.0410692304927237,False
ContA-VisCent,0.008006695357376211,False
ContA-VisPeri,-0.1161632371990301,False
ContB-ContB,0.1507086949309192,True
ContB-ContC,0.09690335993670103,False
ContB-DefaultA,0.07623529166818946,False
ContB-DefaultB,0.10570874977652817,False
ContB-DefaultC,0.09284910873608301,False
ContB-DorsAttnA,0.012805575274492812,False
ContB-DorsAttnB,0.03275943487296329,False
ContB-LimbicA,0.1338768551156103,False
ContB-LimbicB,0.06479898057253916,False
ContB-SalVentAttnA,0.004338687017072814,False
ContB-SalVentAttnB,0.091562382500758,False
ContB-SomMotA,-0.10871350373960123,False
ContB-SomMotB,-0.04050192825000399,False
ContB-TempPar,0.07017383834132285,False
ContB-VisCent,-0.019467336027506117,False
ContB-VisPeri,-0.15450241155402905,False
ContC-ContC,0.13525370230919972,True
ContC-DefaultA,0.11634075732073508,False
ContC-DefaultB,0.13350631851512978,False
ContC-DefaultC,0.1276255391680602,False
ContC-DorsAttnA,-0.07254381217561809,False
ContC-DorsAttnB,-0.01830431640363778,False
ContC-LimbicA,0.07059314834322998,False
ContC-LimbicB,0.07115252467573091,False
ContC-SalVentAttnA,-0.012375438357398677,False
ContC-SalVentAttnB,0.08408181927222658,False
ContC-SomMotA,-0.06405759374813035,False
ContC-SomMotB,-0.03479519691803569,False
ContC-TempPar,0.051752007196212986,False
ContC-VisCent,-0.018270997235469266,False
ContC-VisPeri,-0.06282344262644565,False
DefaultA-DefaultA,0.12877195235440583,True
DefaultA-DefaultB,0.15771919237387347,False
DefaultA-DefaultC,0.138696390330483,False
DefaultA-DorsAttnA,-0.06759650672646249,False
DefaultA-DorsAttnB,-0.012374202148593784,False
DefaultA-LimbicA,0.05609991509242,False
DefaultA-LimbicB,0.08209769772959709,False
DefaultA-SalVentAttnA,-0.01889975209936409,False
DefaultA-SalVentAttnB,0.08327957018710999,False
DefaultA-SomMotA,-0.05887485965488867,False
DefaultA-SomMotB,-0.04580923600110548,False
DefaultA-TempPar,0.07229046291262914,False
DefaultA-VisCent,-0.005210641042035331,False
DefaultA-VisPeri,-0.05527722087165356,False
DefaultB-DefaultB,0.2131709275100033,True
DefaultB-DefaultC,0.24178554703479022,False
DefaultB-DorsAttnA,-0.1062988277083415,False
DefaultB-DorsAttnB,-0.023006717101638083,False
DefaultB-LimbicA,0.06612559708918037,False
DefaultB-LimbicB,0.08952472199416027,False
DefaultB-SalVentAttnA,-0.0306290727032391,False
DefaultB-SalVentAttnB,0.10482017472946183,False
DefaultB-SomMotA,-0.10099277482383577,False
DefaultB-SomMotB,-0.07877066264829798,False
DefaultB-TempPar,0.14877308945076612,False
DefaultB-VisCent,-0.020628940417488705,False
DefaultB-VisPeri,-0.0754839321357021,False
DefaultC-DefaultC,0.3679626945904267,True
DefaultC-DorsAttnA,-0.17255443977167118,False
DefaultC-DorsAttnB,-0.06043385881773559,False
DefaultC-LimbicA,0.025131854956393695,False
DefaultC-LimbicB,0.08727697946733899,False
DefaultC-SalVentAttnA,-0.040101509929176465,False
DefaultC-SalVentAttnB,0.09295973448059985,False
DefaultC-SomMotA,-0.11731847759138657,False
DefaultC-SomMotB,-0.09878194723349867,False
DefaultC-TempPar,0.2902008797421857,False
DefaultC-VisCent,-0.03162338262719005,False
DefaultC-VisPeri,-0.07223514853210417,False
DorsAttnA-DorsAttnA,0.24856716864960632,True
DorsAttnA-DorsAttnB,0.08788299060626925,False
DorsAttnA-LimbicA,0.015152250504675389,False
DorsAttnA-LimbicB,-0.058581485605098085,False
DorsAttnA-SalVentAttnA,0.028554932568449702,False
DorsAttnA-SalVentAttnB,-0.04530425387175425,False
DorsAttnA-SomMotA,0.02745053247736028,False
DorsAttnA-SomMotB,0.06680198045017716,False
DorsAttnA-TempPar,-0.10630851994089102,False
DorsAttnA-VisCent,-0.0028711236205446514,False
DorsAttnA-VisPeri,-0.05747926665106229,False
DorsAttnB-DorsAttnB,0.054100489672299086,True
DorsAttnB-LimbicA,0.023751806905537565,False
DorsAttnB-LimbicB,-0.00637387786671595,False
DorsAttnB-SalVentAttnA,0.010949004582950395,False
DorsAttnB-SalVentAttnB,0.007807633838761789,False
DorsAttnB-SomMotA,-0.013340302402177644,False
DorsAttnB-SomMotB,0.0004227197225481733,False
DorsAttnB-TempPar,-0.04619505890963656,False
DorsAttnB-VisCent,0.005888728900198373,False
DorsAttnB-VisPeri,-0.020485241832526882,False
LimbicA-LimbicA,0.13005411613302126,True
LimbicA-LimbicB,0.07350727304109067,False
LimbicA-SalVentAttnA,0.012769528410306314,False
LimbicA-SalVentAttnB,0.10151435721061042,False
LimbicA-SomMotA,-0.08327228023052977,False
LimbicA-SomMotB,-0.01599713088490543,False
LimbicA-TempPar,0.025819413370140147,False
LimbicA-VisCent,0.0013863137500378805,False
LimbicA-VisPeri,-0.11908708681065533,False
LimbicB-LimbicB,0.10272718379589348,True
LimbicB-SalVentAttnA,0.0011378328826272927,False
LimbicB-SalVentAttnB,0.0890380894827015,False
LimbicB-SomMotA,-0.060912706123898284,False
LimbicB-SomMotB,-0.01468362742489615,False
LimbicB-TempPar,0.02236846343651663,False
LimbicB-VisCent,0.012338197910747752,False
LimbicB-VisPeri,-0.06439968640943122,False
SalVentAttnA-SalVentAttnA,0.024212247452991147,True
SalVentAttnA-SalVentAttnB,-0.007323773713626288,False
SalVentAttnA-SomMotA,-0.0018480255922875412,False
SalVentAttnA-SomMotB,0.029588478324140074,False
SalVentAttnA-TempPar,-0.028759437978113037,False
SalVentAttnA-VisCent,-0.0067196074356105796,False
SalVentAttnA-VisPeri,-0.03317983828054428,False
SalVentAttnB-SalVentAttnB,0.10334136480673098,True
SalVentAttnB-SomMotA,-0.08754229542980646,False
SalVentAttnB-SomMotB,-0.04446183813333405,False
SalVentAttnB-TempPar,0.054065429560235016,False
SalVentAttnB-VisCent,0.007043515267635708,False
SalVentAttnB-VisPeri,-0.05455122935410298,False
SomMotA-SomMotA,0.11616835853449368,True
SomMotA-SomMotB,0.06464200006807502,False
SomMotA-TempPar,-0.08655747296447544,False
SomMotA-VisCent,0.03441485855674034,False
SomMotA-VisPeri,0.13379549945252903,False
SomMotB-SomMotB,0.0968717308774715,True
SomMotB-TempPar,-0.08678839502764489,False
SomMotB-VisCent,0.020781638098855543,False
SomMotB-VisPeri,0.013884470242265556,False
TempPar-TempPar,0.3345681561822594,True
TempPar-VisCent,-0.020167503451793845,False
TempPar-VisPeri,-0.058005896134333955,False
VisCent-VisCent,0.03286278719198708,True
