network_connection,fc,within_network
ContA-ContA,0.1888501216549841,True
ContA-ContB,0.09256934874974367,False
ContA-ContC,0.07232180250737158,False
ContA-DefaultA,0.08673482313461942,False
ContA-DefaultB,0.09008977264607114,False
ContA-DefaultC,-0.017156011695949862,False
ContA-DorsAttnA,0.007500087526052796,False
ContA-DorsAttnB,0.0769016958362553,False
ContA-LimbicA,0.19457924806720728,False
ContA-LimbicB,0.14183126273397642,False
ContA-SalVentAttnA,0.021431967371622514,False
ContA-SalVentAttnB,0.15590291036449747,False
ContA-SomMotA,-0.06551415843569473,False
ContA-SomMotB,-0.05195891864642875,False
ContA-TempPar,-0.07596219782179883,False
ContA-VisCent,0.0016340531046102455,False
ContA-VisPeri,-0.05728232328266954,False
ContB-ContB,0.12109275058327773,True
ContB-ContC,0.08276858635470766,False
ContB-DefaultA,0.052456012405762295,False
ContB-DefaultB,0.07979085606055852,False
ContB-DefaultC,0.07773910026788626,False
ContB-DorsAttnA,-0.01986821152857137,False
ContB-DorsAttnB,0.017947780508409405,False
ContB-LimbicA,0.09733985340463124,False
ContB-LimbicB,0.06310024710302614,False
ContB-SalVentAttnA,-0.009188289858503947,False
ContB-SalVentAttnB,0.04180068401668567,False
ContB-SomMotA,-0.04587918191247969,False
ContB-SomMotB,-0.02947878513085287,False
ContB-TempPar,0.06967084898559957,False
ContB-VisCent,0.0009216839679480354,False
ContB-VisPeri,-0.057570848102143704,False
ContC-ContC,0.19560406747394096,True
ContC-DefaultA,0.1553569671646807,False
ContC-DefaultB,0.14923252024180225,False
ContC-DefaultC,0.05042393311385134,False
ContC-DorsAttnA,-0.04576179427930036,False
ContC-DorsAttnB,0.0397365263078033,False
ContC-LimbicA,0.11223745636931128,False
ContC-LimbicB,0.16392159934010914,False
ContC-SalVentAttnA,0.02681826816745147,False
ContC-SalVentAttnB,0.1467182192125107,False
ContC-SomMotA,-0.058255352143715085,False
ContC-SomMotB,-0.04071779350026431,False
ContC-TempPar,-0.019822634045582023,False
ContC-VisCent,0.008871809135755207,False
ContC-VisPeri,-0.06462497012572266,False
DefaultA-DefaultA,0.1469770324122192,True
DefaultA-DefaultB,0.1321220971738326,False
DefaultA-DefaultC,0.030158777448196582,False
DefaultA-DorsAttnA,-0.017788322362271868,False
DefaultA-DorsAttnB,0.04150757348710316,False
DefaultA-LimbicA,0.12204650077478543,False
DefaultA-LimbicB,0.1530608046126403,False
DefaultA-SalVentAttnA,0.026174355972584343,False
DefaultA-SalVentAttnB,0.14010499025125947,False
DefaultA-SomMotA,-0.05307572786371039,False
DefaultA-SomMotB,-0.02989694289594746,False
DefaultA-TempPar,-0.037702008628241204,False
DefaultA-VisCent,0.01043084402493292,False
DefaultA-VisPeri,-0.06813991886336854,False
DefaultB-DefaultB,0.18015214203564944,True
DefaultB-DefaultC,0.14181192960116018,False
DefaultB-DorsAttnA,-0.0864418588399498,False
DefaultB-DorsAttnB,0.006361802351819699,False
DefaultB-LimbicA,0.09213963189658844,False
DefaultB-LimbicB,0.13809869816766945,False
DefaultB-SalVentAttnA,0.0015824540981912605,False
DefaultB-SalVentAttnB,0.11572801665934151,False
DefaultB-SomMotA,-0.05563165785825991,False
DefaultB-SomMotB,-0.0486044440855588,False
DefaultB-TempPar,0.05759093405980093,False
DefaultB-VisCent,0.004481005122271347,False
DefaultB-VisPeri,-0.05529312889012215,False
DefaultC-DefaultC,0.31189387231792753,True
DefaultC-DorsAttnA,-0.14271208670616073,False
DefaultC-DorsAttnB,-0.06835036407048493,False
DefaultC-LimbicA,-0.037708062814494896,False
DefaultC-LimbicB,0.0253138937431237,False
DefaultC-SalVentAttnA,-0.042861836101141915,False
DefaultC-SalVentAttnB,-0.03590372252305353,False
DefaultC-SomMotA,-0.02171663334562722,False
DefaultC-SomMotB,-0.026090819457486817,False
DefaultC-TempPar,0.2779191355236398,False
DefaultC-VisCent,0.0051166852796380785,False
DefaultC-VisPeri,-0.04850821138818652,False
DorsAttnA-DorsAttnA,0.34951526857196846,True
DorsAttnA-DorsAttnB,0.1322718629895782,False
DorsAttnA-LimbicA,0.06092773719634211,False
DorsAttnA-LimbicB,-0.01816470959968334,False
DorsAttnA-SalVentAttnA,0.060095533282325676,False
DorsAttnA-SalVentAttnB,0.04051636153643912,False
DorsAttnA-SomMotA,0.002858711005896942,False
DorsAttnA-SomMotB,0.09605195082219793,False
DorsAttnA-TempPar,-0.17863438154397202,False
DorsAttnA-VisCent,0.02344923248805156,False
DorsAttnA-VisPeri,-0.08246488802451064,False
DorsAttnB-DorsAttnB,0.13874347884010113,True
DorsAttnB-LimbicA,0.09943042473623744,False
DorsAttnB-LimbicB,0.09077560206905269,False
DorsAttnB-SalVentAttnA,0.0468536429855727,False
DorsAttnB-SalVentAttnB,0.13393602873690613,False
DorsAttnB-SomMotA,-0.03009550723597655,False
DorsAttnB-SomMotB,-0.01695844570318765,False
DorsAttnB-TempPar,-0.15440071106512923,False
DorsAttnB-VisCent,0.028317188141863035,False
DorsAttnB-VisPeri,-0.05438462706556784,False
LimbicA-LimbicA,0.24218600205935162,True
LimbicA-LimbicB,0.19999137165037928,False
LimbicA-SalVentAttnA,0.048394292312555015,False
LimbicA-SalVentAttnB,0.19876460013150035,False
LimbicA-SomMotA,-0.09525406893575708,False
LimbicA-SomMotB,-0.03312910743630439,False
LimbicA-TempPar,-0.1298968491446428,False
LimbicA-VisCent,0.0004172668359092477,False
LimbicA-VisPeri,-0.13753283978920963,False
LimbicB-LimbicB,0.23889365716942465,True
LimbicB-SalVentAttnA,0.05323769267082243,False
LimbicB-SalVentAttnB,0.22959690363688628,False
LimbicB-SomMotA,-0.08975026387259435,False
LimbicB-SomMotB,-0.04839056020806212,False
LimbicB-TempPar,-0.10793758507531637,False
LimbicB-VisCent,0.02101433313551724,False
LimbicB-VisPeri,-0.12695732679302468,False
SalVentAttnA-SalVentAttnA,0.06572002367099856,True
SalVentAttnA-SalVentAttnB,0.07802676330233599,False
SalVentAttnA-SomMotA,0.0015389938444205738,False
SalVentAttnA-SomMotB,0.023767610798931985,False
SalVentAttnA-TempPar,-0.06280485817934896,False
SalVentAttnA-VisCent,0.013878670141994415,False
SalVentAttnA-VisPeri,0.019474084661531072,False
SalVentAttnB-SalVentAttnB,0.25382078209121633,True
SalVentAttnB-SomMotA,-0.08669046675721927,False
SalVentAttnB-SomMotB,-0.05670422132735545,False
SalVentAttnB-TempPar,-0.16438093139121046,False
SalVentAttnB-VisCent,0.019553717439086644,False
SalVentAttnB-VisPeri,-0.0719324890699878,False
SomMotA-SomMotA,0.1276856021467138,True
SomMotA-SomMotB,0.08399182533919411,False
SomMotA-TempPar,0.015617970581189423,False
SomMotA-VisCent,0.044534557161801006,False
SomMotA-VisPeri,0.1638231254415749,False
SomMotB-SomMotB,0.12356480198983755,True
SomMotB-TempPar,0.0007166906805641248,False
SomMotB-VisCent,0.03676420361424412,False
SomMotB-VisPeri,0.03909426910266219,False
TempPar-TempPar,0.4322517248073771,True
TempPar-VisCent,-0.01517522978748044,False
TempPar-VisPeri,0.03180829353516364,False
VisCent-VisCent,0.030559478360495725,True
VisCent-VisPeri,0.03550447122393719,False
VisPeri-VisPeri,0.32669279553033087,True
