network_connection,fc,within_network
ContA-ContA,0.19448260288457933,True
ContA-ContB,0.14386309738471809,False
ContA-ContC,0.09129792572042404,False
ContA-DefaultA,0.08595678884779517,False
ContA-DefaultB,0.08326968746554161,False
ContA-DefaultC,0.02811058787633738,False
ContA-DorsAttnA,-0.04783685619066137,False
ContA-DorsAttnB,0.03173510776219798,False
ContA-LimbicA,0.19263678175538443,False
ContA-LimbicB,0.1111635349670686,False
ContA-SalVentAttnA,0.017778996555072212,False
ContA-SalVentAttnB,0.13659016513906239,False
ContA-SomMotA,-0.12861651189793158,False
ContA-SomMotB,-0.0879897862785602,False
ContA-TempPar,-0.003792752960241149,False
ContA-VisCent,-0.017460648507292204,False
ContA-VisPeri,-0.12981404142910757,False
ContB-ContB,0.1539187486193265,True
ContB-ContC,0.0663946186837046,False
ContB-DefaultA,0.06222752562546723,False
ContB-DefaultB,0.07250031320319293,False
ContB-DefaultC,0.08512232105733025,False
ContB-DorsAttnA,-0.006661568128100731,False
ContB-DorsAttnB,0.051448220454059695,False
ContB-LimbicA,0.1427808870022822,False
ContB-LimbicB,0.07653095860702751,False
ContB-SalVentAttnA,0.0029615552162259246,False
ContB-SalVentAttnB,0.08391679899310477,False
ContB-SomMotA,-0.12767978055445986,False
ContB-SomMotB,-0.07408800552140941,False
ContB-TempPar,0.08397639517633423,False
ContB-VisCent,-0.017570331905984102,False
ContB-VisPeri,-0.15784872288288423,False
ContC-ContC,0.1279960971518819,True
ContC-DefaultA,0.13361342162276438,False
ContC-DefaultB,0.10049597597513744,False
ContC-DefaultC,-0.04463662865181213,False
ContC-DorsAttnA,-0.05196907898164064,False
ContC-DorsAttnB,-0.01683382675240318,False
ContC-LimbicA,0.09308426301304512,False
ContC-LimbicB,0.06691357513759397,False
ContC-SalVentAttnA,-0.008321926147519577,False
ContC-SalVentAttnB,0.058998687296113676,False
ContC-SomMotA,-0.03594695844260746,False
ContC-SomMotB,-0.0432569208747495,False
ContC-TempPar,-0.06280503651227656,False
ContC-VisCent,-0.006392657066776755,False
ContC-VisPeri,-0.055609040842855485,False
DefaultA-DefaultA,0.13833069824521751,True
DefaultA-DefaultB,0.11584798339872868,False
DefaultA-DefaultC,-0.033514925634202615,False
DefaultA-DorsAttnA,-0.05978841735209248,False
DefaultA-DorsAttnB,-0.02581580289573012,False
DefaultA-LimbicA,0.08520864054417848,False
DefaultA-LimbicB,0.061609921014852506,False
DefaultA-SalVentAttnA,-0.009144300832643705,False
DefaultA-SalVentAttnB,0.050735258320205714,False
DefaultA-SomMotA,-0.036996668583806236,False
DefaultA-SomMotB,-0.03904747229365939,False
DefaultA-TempPar,-0.04241391573804509,False
DefaultA-VisCent,-0.004426601798718291,False
DefaultA-VisPeri,-0.05904567785577397,False
DefaultB-DefaultB,0.13355454028307334,True
DefaultB-DefaultC,0.1043615650974088,False
DefaultB-DorsAttnA,-0.09299909759229516,False
DefaultB-DorsAttnB,-0.02075086696379015,False
DefaultB-LimbicA,0.07200726778908702,False
DefaultB-LimbicB,0.06297121769195402,False
DefaultB-SalVentAttnA,-0.017845998248868702,False
DefaultB-SalVentAttnB,0.04366498279407144,False
DefaultB-SomMotA,-0.06329530585915737,False
DefaultB-SomMotB,-0.050941127113318725,False
DefaultB-TempPar,0.06084908030880337,False
DefaultB-VisCent,0.0012261993697657658,False
DefaultB-VisPeri,-0.08580760191920701,False
DefaultC-DefaultC,0.48665124049369834,True
DefaultC-DorsAttnA,-0.15407048034263096,False
DefaultC-DorsAttnB,0.01930609539781496,False
DefaultC-LimbicA,-0.0019518664328716467,False
DefaultC-LimbicB,0.050928158488209,False
DefaultC-SalVentAttnA,-0.02359653782187322,False
DefaultC-SalVentAttnB,0.02050393913303848,False
DefaultC-SomMotA,-0.13091658209845453,False
DefaultC-SomMotB,-0.07363893673753567,False
DefaultC-TempPar,0.4268409821805862,False
DefaultC-VisCent,0.027970758890718254,False
DefaultC-VisPeri,-0.15474332411365002,False
DorsAttnA-DorsAttnA,0.2620018975859214,True
DorsAttnA-DorsAttnB,0.06866677095647752,False
DorsAttnA-LimbicA,-0.011150926775424506,False
DorsAttnA-LimbicB,-0.07852431957911059,False
DorsAttnA-SalVentAttnA,0.01898052568846126,False
DorsAttnA-SalVentAttnB,-0.043765997774132454,False
DorsAttnA-SomMotA,0.009922860580078506,False
DorsAttnA-SomMotB,0.030844063507406847,False
DorsAttnA-TempPar,-0.12035744581486796,False
DorsAttnA-VisCent,-0.05207492327771861,False
DorsAttnA-VisPeri,-0.02055305333142121,False
DorsAttnB-DorsAttnB,0.05957750816410421,True
DorsAttnB-LimbicA,0.03432012709179612,False
DorsAttnB-LimbicB,0.016832659127777785,False
DorsAttnB-SalVentAttnA,0.016864275393536576,False
DorsAttnB-SalVentAttnB,0.03823155842062979,False
DorsAttnB-SomMotA,-0.04304975788971345,False
DorsAttnB-SomMotB,-0.028157286078742152,False
DorsAttnB-TempPar,0.020234549384390267,False
DorsAttnB-VisCent,-0.007854392726452204,False
DorsAttnB-VisPeri,-0.0568821115876702,False
LimbicA-LimbicA,0.19040699702833555,True
LimbicA-LimbicB,0.10682086577132255,False
LimbicA-SalVentAttnA,0.021566242246139473,False
LimbicA-SalVentAttnB,0.13751447223877838,False
LimbicA-SomMotA,-0.13166826837492235,False
LimbicA-SomMotB,-0.09129948537150011,False
LimbicA-TempPar,-0.027951371333561483,False
LimbicA-VisCent,-0.027649461789730462,False
LimbicA-VisPeri,-0.13063107598426518,False
LimbicB-LimbicB,0.10594285263272539,True
LimbicB-SalVentAttnA,0.022412940010636904,False
LimbicB-SalVentAttnB,0.11807888616392345,False
