network_connection,fc,within_network
ContA-ContA,0.16965660412275363,True
ContA-ContB,0.08824923938718034,False
ContA-ContC,0.08140889340446722,False
ContA-DefaultA,0.08432240881185743,False
ContA-DefaultB,0.036065945358276334,False
ContA-DefaultC,-0.037240972579943174,False
ContA-DorsAttnA,0.030682757199532895,False
ContA-DorsAttnB,0.05905809610769814,False
ContA-LimbicA,0.17756716053890598,False
ContA-LimbicB,0.1146817546357169,False
ContA-SalVentAttnA,0.02832887086044436,False
ContA-SalVentAttnB,0.147493025724665,False
ContA-SomMotA,-0.0657711206164845,False
ContA-SomMotB,-0.010955845306607832,False
ContA-TempPar,-0.06678686626976496,False
ContA-VisCent,0.002140963281067877,False
ContA-VisPeri,-0.08082312243738718,False
ContB-ContB,0.08833804558588047,True
ContB-ContC,0.09760974300495902,False
ContB-DefaultA,0.09116355826952878,False
ContB-DefaultB,0.0690064443774924,False
ContB-DefaultC,0.030500750953861493,False
ContB-DorsAttnA,0.03737617033967162,False
ContB-DorsAttnB,0.031591772743517176,False
ContB-LimbicA,0.0876425189687869,False
ContB-LimbicB,0.06365074622295605,False
ContB-SalVentAttnA,0.00836114638510651,False
ContB-SalVentAttnB,0.07492010421404154,False
ContB-SomMotA,-0.04067053461851928,False
ContB-SomMotB,-0.015384487218872617,False
ContB-TempPar,0.015879820450226914,False
ContB-VisCent,0.0054718953471428276,False
ContB-VisPeri,-0.06584272341209116,False
ContC-ContC,0.1774362670188044,True
ContC-DefaultA,0.1690925366174856,False
ContC-DefaultB,0.12067626651640347,False
ContC-DefaultC,-0.0016029815852293022,False
ContC-DorsAttnA,-0.01651384326077452,False
ContC-DorsAttnB,0.01666650081048499,False
ContC-LimbicA,0.08535993052320587,False
ContC-LimbicB,0.11121747510244673,False
ContC-SalVentAttnA,0.014477262973470567,False
ContC-SalVentAttnB,0.10458526687923082,False
ContC-SomMotA,-0.017818317685804164,False
ContC-SomMotB,-0.01272789117364241,False
ContC-TempPar,-0.07799222663283942,False
ContC-VisCent,0.04241973429260655,False
ContC-VisPeri,-0.02198836754234939,False
DefaultA-DefaultA,0.16645891659873943,True
DefaultA-DefaultB,0.12749701372015154,False
DefaultA-DefaultC,0.0058835204396457145,False
