network_connection,fc,within_network
ContA-ContA,0.26889185131844534,True
ContA-ContB,0.11013909269177442,False
ContA-ContC,0.07822719104131602,False
ContA-DefaultA,0.09577921865368089,False
ContA-DefaultB,0.06966490919325556,False
ContA-DefaultC,-0.027025468114836408,False
ContA-DorsAttnA,-0.09158314842688102,False
ContA-DorsAttnB,0.031154569761608346,False
ContA-LimbicA,0.2647390299994692,False
ContA-LimbicB,0.20082073861890062,False
ContA-SalVentAttnA,-0.008561809322822793,False
ContA-SalVentAttnB,0.26644653199775703,False
ContA-SomMotA,-0.14508343224382897,False
ContA-SomMotB,-0.09160996914208586,False
ContA-TempPar,-0.05928045846825725,False
ContA-VisCent,-0.05665971376962214,False
ContA-VisPeri,-0.10799903452509604,False
ContB-ContB,0.1333455195217659,True
ContB-ContC,0.05856701273615968,False
ContB-DefaultA,0.029698542585560515,False
ContB-DefaultB,0.04258311804236282,False
ContB-DefaultC,0.0820714791485849,False
ContB-DorsAttnA,0.00011491154727323744,False
ContB-DorsAttnB,0.05495660113997892,False
ContB-LimbicA,0.08213857912672755,False
ContB-LimbicB,0.08331130141204329,False
ContB-SalVentAttnA,-0.009969183496697065,False
ContB-SalVentAttnB,0.08314567604843545,False
ContB-SomMotA,-0.10002030913787592,False
ContB-SomMotB,-0.05990520408948003,False
ContB-TempPar,0.09714659167638695,False
ContB-VisCent,-0.030968613702144085,False
ContB-VisPeri,-0.10076818714654433,False
ContC-ContC,0.18597775588104665,True
ContC-DefaultA,0.16828653787155773,False
ContC-DefaultB,0.10507733461630113,False
ContC-DefaultC,-0.010591168590729937,False
ContC-DorsAttnA,-0.07755508910858613,False
ContC-DorsAttnB,0.03878247501941456,False
ContC-LimbicA,0.09279292736975571,False
ContC-LimbicB,0.12436195949705015,False
ContC-SalVentAttnA,-0.009265374748134617,False
ContC-SalVentAttnB,0.14481861401908233,False
ContC-SomMotA,-0.06910247029653313,False
ContC-SomMotB,-0.078293921547188,False
ContC-TempPar,0.023388991409023074,False
ContC-VisCent,-0.032650897333534414,False
ContC-VisPeri,-0.09047333266486714,False
DefaultA-DefaultA,0.1725822093159576,True
DefaultA-DefaultB,0.1305983251425997,False
DefaultA-DefaultC,-0.025137548105888287,False
DefaultA-DorsAttnA,-0.08682375329013879,False
DefaultA-DorsAttnB,0.017728016586471763,False
DefaultA-LimbicA,0.10340368063803983,False
DefaultA-LimbicB,0.12448760822971472,False
DefaultA-SalVentAttnA,-0.008539999042916415,False
DefaultA-SalVentAttnB,0.15334667369148094,False
DefaultA-SomMotA,-0.07694434960493796,False
DefaultA-SomMotB,-0.06997136397260896,False
DefaultA-TempPar,-0.006728866452641508,False
DefaultA-VisCent,-0.026583384552334586,False
DefaultA-VisPeri,-0.1004030070435907,False
DefaultB-DefaultB,0.18602139714761667,True
DefaultB-DefaultC,0.17000980491474996,False
DefaultB-DorsAttnA,-0.1322565547401957,False
DefaultB-DorsAttnB,-0.023678434401628555,False
DefaultB-LimbicA,0.05138867826782759,False
DefaultB-LimbicB,0.09145395008602376,False
DefaultB-SalVentAttnA,-0.034164746518315484,False
DefaultB-SalVentAttnB,0.09586732706172621,False
DefaultB-SomMotA,-0.08106185181851731,False
DefaultB-SomMotB,-0.07945131298674626,False
DefaultB-TempPar,0.11939310500114632,False
DefaultB-VisCent,-0.037639663716856155,False
DefaultB-VisPeri,-0.08169891286353226,False
DefaultC-DefaultC,0.487277519685596,True
DefaultC-DorsAttnA,-0.10233209204571192,False
DefaultC-DorsAttnB,-0.027641877721143484,False
DefaultC-LimbicA,-0.059800145016314164,False
DefaultC-LimbicB,0.011006566575710315,False
DefaultC-SalVentAttnA,-0.037248813711445804,False
DefaultC-SalVentAttnB,-0.04684604872937591,False
DefaultC-SomMotA,-0.06930579543489752,False
DefaultC-SomMotB,-0.06243053738725415,False
DefaultC-TempPar,0.38358492163393676,False
DefaultC-VisCent,-0.04690095584003825,False
DefaultC-VisPeri,-0.083280753853439,False
DorsAttnA-DorsAttnA,0.29436612106769655,True
DorsAttnA-DorsAttnB,0.07099534945227419,False
DorsAttnA-LimbicA,-0.06729652022474444,False
DorsAttnA-LimbicB,-0.12259689117060739,False
DorsAttnA-SalVentAttnA,0.04921596390355581,False
DorsAttnA-SalVentAttnB,-0.12789424945985542,False
DorsAttnA-SomMotA,-0.004590849202475396,False
DorsAttnA-SomMotB,0.07813613181226746,False
DorsAttnA-TempPar,-0.08589685051082159,False
DorsAttnA-VisCent,-0.002273921116843603,False
DorsAttnA-VisPeri,-0.07343573206650164,False
DorsAttnB-DorsAttnB,0.11248110054892065,True
DorsAttnB-LimbicA,0.036545406195104276,False
DorsAttnB-LimbicB,0.04614982321541098,False
DorsAttnB-SalVentAttnA,0.024782506055522242,False
DorsAttnB-SalVentAttnB,0.04714578377070306,False
DorsAttnB-SomMotA,-0.03606475829657133,False
DorsAttnB-SomMotB,-0.052334739956731616,False
DorsAttnB-TempPar,-0.001694692178619784,False
DorsAttnB-VisCent,-0.003814054620302682,False
DorsAttnB-VisPeri,-0.06511510983584867,False
LimbicA-LimbicA,0.26077644958089824,True
LimbicA-LimbicB,0.19797550554013993,False
LimbicA-SalVentAttnA,0.00257354351887111,False
LimbicA-SalVentAttnB,0.26668074288132226,False
LimbicA-SomMotA,-0.13503932495474952,False
LimbicA-SomMotB,-0.0756023877411249,False
LimbicA-TempPar,-0.08306716445906999,False
LimbicA-VisCent,-0.059250377791681214,False
LimbicA-VisPeri,-0.11832549004799311,False
LimbicB-LimbicB,0.23133432147783578,True
LimbicB-SalVentAttnA,0.01519366565481917,False
LimbicB-SalVentAttnB,0.28048463048808603,False
LimbicB-SomMotA,-0.1250362550439887,False
LimbicB-SomMotB,-0.08649609766868797,False
LimbicB-TempPar,-0.023175776699871142,False
LimbicB-VisCent,-0.03802788302897043,False
LimbicB-VisPeri,-0.1031324317076185,False
SalVentAttnA-SalVentAttnA,0.035893186100995,True
SalVentAttnA-SalVentAttnB,0.021517855181620818,False
SalVentAttnA-SomMotA,-0.001999525663806102,False
SalVentAttnA-SomMotB,0.017354902333739913,False
SalVentAttnA-TempPar,-0.0390130124969036,False
SalVentAttnA-VisCent,0.004859144183662273,False
SalVentAttnA-VisPeri,-0.007834577055425056,False
SalVentAttnB-SalVentAttnB,0.35049000728874113,True
SalVentAttnB-SomMotA,-0.16105667502804333,False
SalVentAttnB-SomMotB,-0.1135576196601266,False
SalVentAttnB-TempPar,-0.06407718281040746,False
SalVentAttnB-VisCent,-0.06667112657856449,False
SalVentAttnB-VisPeri,-0.12179139674505061,False
SomMotA-SomMotA,0.1762654720122165,True
SomMotA-SomMotB,0.06755719478491927,False
SomMotA-TempPar,-0.06109270300177615,False
SomMotA-VisCent,0.06569505283229653,False
SomMotA-VisPeri,0.20323541866117403,False
SomMotB-SomMotB,0.1556663328352945,True
SomMotB-TempPar,-0.10652554403637103,False
SomMotB-VisCent,0.05450733873270487,False
SomMotB-VisPeri,0.029844145953518527,False
TempPar-TempPar,0.49843837108896044,True
TempPar-VisCent,-0.05507159471258446,False
TempPar-VisPeri,-0.0807492043610895,False
VisCent-VisCent,0.05007138685231902,True
VisCent-VisPeri,0.06986795269944283,False
VisPeri-VisPeri,0.33557528513018364,True
