network_connection,fc,within_network
ContA-ContA,0.22113794416180585,True
ContA-ContB,0.10526978070819949,False
ContA-ContC,0.11772319984844169,False
ContA-DefaultA,0.1352723070386912,False
ContA-DefaultB,0.10851637229347211,False
ContA-DefaultC,0.04964848415978562,False
ContA-DorsAttnA,-0.0403655577112026,False
ContA-DorsAttnB,0.04527624608684274,False
ContA-LimbicA,0.24581671150807857,False
ContA-LimbicB,0.11756742300733782,False
ContA-SalVentAttnA,0.014596908135834053,False
ContA-SalVentAttnB,0.12560547130164895,False
ContA-SomMotA,-0.06479665687490702,False
ContA-SomMotB,-0.09401321883173962,False
ContA-TempPar,-0.037033446209498035,False
ContA-VisCent,-0.02249933070213245,False
ContA-VisPeri,-0.037641751265731035,False
ContB-ContB,0.13193922174534567,True
ContB-ContC,0.026872849670625046,False
ContB-DefaultA,-0.00820492969823908,False
ContB-DefaultB,0.00022268881849378904,False
ContB-DefaultC,0.0743238968814715,False
ContB-DorsAttnA,0.0052680600659321935,False
ContB-DorsAttnB,0.06852938250507278,False
ContB-LimbicA,0.09048388991275039,False
ContB-LimbicB,-0.02254135503044043,False
ContB-SalVentAttnA,-0.030608571761206096,False
ContB-SalVentAttnB,-0.010457997708324585,False
ContB-SomMotA,-0.05415461166399802,False
ContB-SomMotB,-0.09611577859146822,False
ContB-TempPar,0.15177733532589938,False
ContB-VisCent,-0.0042081344091552285,False
ContB-VisPeri,-0.04711371692503642,False
ContC-ContC,0.28229772281358917,True
ContC-DefaultA,0.28313187907424264,False
ContC-DefaultB,0.17868017565173933,False
ContC-DefaultC,-0.01192982119621374,False
ContC-DorsAttnA,-0.04240541803443163,False
ContC-DorsAttnB,0.008964632174186894,False
ContC-LimbicA,0.15432158028122422,False
ContC-LimbicB,0.18734471200933514,False
ContC-SalVentAttnA,0.04044592156134486,False
ContC-SalVentAttnB,0.19185424915002022,False
ContC-SomMotA,-0.03500079358537806,False
ContC-SomMotB,-0.06405682294832213,False
ContC-TempPar,-0.0826837366201406,False
ContC-VisCent,0.024006141891491098,False
ContC-VisPeri,-0.007986661630654765,False
DefaultA-DefaultA,0.30949664476834093,True
DefaultA-DefaultB,0.22903809816047166,False
DefaultA-DefaultC,-0.008807451028998929,False
DefaultA-DorsAttnA,-0.06118920984846861,False
DefaultA-DorsAttnB,-0.01972902776004759,False
DefaultA-LimbicA,0.18097079672671842,False
DefaultA-LimbicB,0.2243880785111089,False
DefaultA-SalVentAttnA,0.05801828304753264,False
DefaultA-SalVentAttnB,0.21089014019207,False
DefaultA-SomMotA,-0.04644779745861275,False
DefaultA-SomMotB,-0.0409360010575194,False
DefaultA-TempPar,-0.14230781760330516,False
DefaultA-VisCent,0.00825112887326448,False
DefaultA-VisPeri,-0.03403643502693746,False
DefaultB-DefaultB,0.27590284207273824,True
DefaultB-DefaultC,0.16309848991030512,False
DefaultB-DorsAttnA,-0.0970289181476281,False
DefaultB-DorsAttnB,-0.08490871793256238,False
DefaultB-LimbicA,0.13347266084279522,False
DefaultB-LimbicB,0.1679833010423103,False
DefaultB-SalVentAttnA,0.014358439644438788,False
DefaultB-SalVentAttnB,0.11521050884385005,False
DefaultB-SomMotA,-0.09178741664998556,False
DefaultB-SomMotB,-0.02601979566797282,False
DefaultB-TempPar,-0.053471732006705464,False
DefaultB-VisCent,-0.020605536992863698,False
DefaultB-VisPeri,-0.09812497551066733,False
DefaultC-DefaultC,0.3454014261487622,True
DefaultC-DorsAttnA,-0.08973082954155127,False
DefaultC-DorsAttnB,-0.06076976857749279,False
DefaultC-LimbicA,0.0347942072099065,False
DefaultC-LimbicB,-0.017412815137095045,False
DefaultC-SalVentAttnA,-0.062320181136037676,False
DefaultC-SalVentAttnB,-0.0709972769098249,False
DefaultC-SomMotA,-0.11787625508935301,False
DefaultC-SomMotB,-0.08224484264445903,False
DefaultC-TempPar,0.2598559155385435,False
DefaultC-VisCent,-0.029764516865645848,False
DefaultC-VisPeri,-0.13056235674353267,False
DorsAttnA-DorsAttnA,0.23445578068050008,True
DorsAttnA-DorsAttnB,0.07767610819458004,False
DorsAttnA-LimbicA,-0.05264696748948224,False
DorsAttnA-LimbicB,-0.0776566499676149,False
DorsAttnA-SalVentAttnA,0.04766505486029678,False
DorsAttnA-SalVentAttnB,-0.00575114273912073,False
DorsAttnA-SomMotA,-0.018858581966998033,False
DorsAttnA-SomMotB,0.036124265579085685,False
DorsAttnA-TempPar,-0.025482164950285848,False
DorsAttnA-VisCent,-0.031083587409948574,False
DorsAttnA-VisPeri,-0.020348398207029737,False
DorsAttnB-DorsAttnB,0.1521198042386958,True
DorsAttnB-LimbicA,0.0337495870532823,False
DorsAttnB-LimbicB,-0.008201392061020685,False
DorsAttnB-SalVentAttnA,0.013890134471540147,False
DorsAttnB-SalVentAttnB,0.04644171689245547,False
DorsAttnB-SomMotA,-0.002666143824225769,False
DorsAttnB-SomMotB,-0.09064050965737737,False
DorsAttnB-TempPar,0.07757198239648008,False
DorsAttnB-VisCent,0.02506320488903421,False
DorsAttnB-VisPeri,0.011048509135668115,False
LimbicA-LimbicA,0.27623169347654286,True
LimbicA-LimbicB,0.18673242794568543,False
LimbicA-SalVentAttnA,0.04323735104424706,False
LimbicA-SalVentAttnB,0.1869161377525211,False
LimbicA-SomMotA,-0.09336215752779366,False
LimbicA-SomMotB,-0.09982138886907775,False
LimbicA-TempPar,-0.0944816559518699,False
LimbicA-VisCent,-0.04881705027194842,False
LimbicA-VisPeri,-0.0671087034805075,False
LimbicB-LimbicB,0.27245049317285736,True
LimbicB-SalVentAttnA,0.09654367683534461,False
LimbicB-SalVentAttnB,0.2647064349280147,False
LimbicB-SomMotA,-0.08539477824196669,False
LimbicB-SomMotB,-0.019560229683722678,False
LimbicB-TempPar,-0.15661035610967922,False
LimbicB-VisCent,-0.01934778156187645,False
LimbicB-VisPeri,-0.06630170114881942,False
SalVentAttnA-SalVentAttnA,0.08977875227349424,True
SalVentAttnA-SalVentAttnB,0.12152708902863774,False
SalVentAttnA-SomMotA,-0.0358599516306222,False
SalVentAttnA-SomMotB,0.039960964413050165,False
SalVentAttnA-TempPar,-0.09677337981065147,False
SalVentAttnA-VisCent,-0.015048480832640114,False
SalVentAttnA-VisPeri,-0.01584371344004771,False
SalVentAttnB-SalVentAttnB,0.2937660843064811,True
SalVentAttnB-SomMotA,-0.08165403441530576,False
SalVentAttnB-SomMotB,-0.03859143133992677,False
SalVentAttnB-TempPar,-0.15194952360002262,False
SalVentAttnB-VisCent,-0.029032376684275545,False
SalVentAttnB-VisPeri,-0.044271690008940635,False
SomMotA-SomMotA,0.18897951677526373,True
SomMotA-SomMotB,0.07409782671110278,False
SomMotA-TempPar,-0.06737908842640736,False
SomMotA-VisCent,0.09283496233502299,False
SomMotA-VisPeri,0.183618092164236,False
SomMotB-SomMotB,0.19105980164874628,True
SomMotB-TempPar,-0.15399974996039903,False
SomMotB-VisCent,0.018003670397290752,False
SomMotB-VisPeri,0.032710901656531254,False
TempPar-TempPar,0.572078833609022,True
TempPar-VisCent,-0.010667726898340715,False
TempPar-VisPeri,-0.09543900803400691,False
VisCent-VisCent,0.12993349953697758,True
VisCent-VisPeri,0.09798425929676469,False
VisPeri-VisPeri,0.26862121759659985,True
