network_connection,fc,within_network
ContA-ContA,0.2898963666308089,True
ContA-ContB,0.19075847019546455,False
ContA-ContC,0.057359001074388266,False
ContA-DefaultA,0.08742644105198322,False
ContA-DefaultB,0.07260869425496043,False
ContA-DefaultC,-0.013646641301715579,False
ContA-DorsAttnA,0.01594133645932603,False
ContA-DorsAttnB,0.07446260760541383,False
ContA-LimbicA,0.21695737820436287,False
ContA-LimbicB,0.20101424172893573,False
ContA-SalVentAttnA,0.054880819158779015,False
ContA-SalVentAttnB,0.20815202895820606,False
ContA-SomMotA,-0.08834577776791623,False
ContA-SomMotB,0.0032274528819137664,False
ContA-TempPar,-0.0029553405417466175,False
ContA-VisCent,-0.006839156037721589,False
ContA-VisPeri,-0.07611370091582963,False
ContB-ContB,0.20748771827048343,True
ContB-ContC,0.07891497944601371,False
ContB-DefaultA,0.050435050042486496,False
ContB-DefaultB,0.07703920466399147,False
ContB-DefaultC,0.07475848566584783,False
ContB-DorsAttnA,0.0679546441718268,False
ContB-DorsAttnB,0.09851454008499387,False
ContB-LimbicA,0.12655797580342626,False
ContB-LimbicB,0.12442179803526317,False
ContB-SalVentAttnA,0.039749912776251756,False
ContB-SalVentAttnB,0.10642219778137106,False
ContB-SomMotA,-0.06842495985206183,False
ContB-SomMotB,0.0007269142338161878,False
ContB-TempPar,0.10106792990358535,False
ContB-VisCent,0.018334038278880763,False
ContB-VisPeri,-0.06334701305591627,False
ContC-ContC,0.2716090013125947,True
ContC-DefaultA,0.22131118349468565,False
ContC-DefaultB,0.14338082515203485,False
ContC-DefaultC,0.03674748025756019,False
ContC-DorsAttnA,0.0013513258660630292,False
ContC-DorsAttnB,0.035071549706903744,False
ContC-LimbicA,0.10874093032210788,False
ContC-LimbicB,0.11446444537177079,False
ContC-SalVentAttnA,0.03121814072216977,False
ContC-SalVentAttnB,0.13000909406429165,False
ContC-SomMotA,0.03494693201960777,False
ContC-SomMotB,-0.0006883722782007514,False
ContC-TempPar,0.02786231776784398,False
ContC-VisCent,0.0519936730848074,False
ContC-VisPeri,0.021633744068230133,False
DefaultA-DefaultA,0.22427626982083768,True
DefaultA-DefaultB,0.1746433597753419,False
DefaultA-DefaultC,0.04845674259437094,False
DefaultA-DorsAttnA,-0.01784005075584092,False
DefaultA-DorsAttnB,0.014578761353187052,False
DefaultA-LimbicA,0.10827360753167636,False
DefaultA-LimbicB,0.1324254983488964,False
DefaultA-SalVentAttnA,0.03976043571610275,False
DefaultA-SalVentAttnB,0.14455839683154773,False
DefaultA-SomMotA,0.008601977067520965,False
DefaultA-SomMotB,0.00905167210198873,False
DefaultA-TempPar,0.014704099932509944,False
DefaultA-VisCent,0.03651927719692843,False
DefaultA-VisPeri,-0.006135500918637656,False
DefaultB-DefaultB,0.22477311305556316,True
DefaultB-DefaultC,0.2285669812445995,False
DefaultB-DorsAttnA,-0.0074276374021478965,False
DefaultB-DorsAttnB,0.018055407475376786,False
DefaultB-LimbicA,0.04974527561531953,False
DefaultB-LimbicB,0.117475347986049,False
DefaultB-SalVentAttnA,0.04482165623078163,False
DefaultB-SalVentAttnB,0.10879488321946795,False
DefaultB-SomMotA,-0.03081607800271154,False
DefaultB-SomMotB,0.02361399758093091,False
DefaultB-TempPar,0.13515750248835282,False
DefaultB-VisCent,0.03002508893045047,False
DefaultB-VisPeri,-0.06065363260213674,False
DefaultC-DefaultC,0.49301006123936375,True
DefaultC-DorsAttnA,0.012562085553781941,False
DefaultC-DorsAttnB,0.026638145374083596,False
DefaultC-LimbicA,-0.034287581469855714,False
DefaultC-LimbicB,0.07930684176919132,False
DefaultC-SalVentAttnA,0.05350661138948303,False
DefaultC-SalVentAttnB,0.0486178681485965,False
DefaultC-SomMotA,-0.085971468461059,False
DefaultC-SomMotB,0.009665006549178179,False
DefaultC-TempPar,0.41026856131782447,False
DefaultC-VisCent,0.001996101922218426,False
DefaultC-VisPeri,-0.11060438594633576,False
DorsAttnA-DorsAttnA,0.2172933148857229,True
DorsAttnA-DorsAttnB,0.15010825648508866,False
DorsAttnA-LimbicA,-0.01633416959258848,False
DorsAttnA-LimbicB,-0.009646521990040497,False
DorsAttnA-SalVentAttnA,0.05363375276178483,False
DorsAttnA-SalVentAttnB,0.01908198879147388,False
DorsAttnA-SomMotA,0.012620209192580145,False
DorsAttnA-SomMotB,0.05984860782054675,False
DorsAttnA-TempPar,0.03400859474158355,False
DorsAttnA-VisCent,0.023275994789276597,False
DorsAttnA-VisPeri,0.012054250774233114,False
DorsAttnB-DorsAttnB,0.15269565823430728,True
DorsAttnB-LimbicA,0.03911059681754692,False
DorsAttnB-LimbicB,0.062467666448098425,False
DorsAttnB-SalVentAttnA,0.05370587354119382,False
DorsAttnB-SalVentAttnB,0.08128282808350634,False
DorsAttnB-SomMotA,-0.03454651173635466,False
DorsAttnB-SomMotB,-0.0025355396217058984,False
DorsAttnB-TempPar,0.04146581263323421,False
DorsAttnB-VisCent,0.013568186711839025,False
DorsAttnB-VisPeri,-0.027598280973486735,False
LimbicA-LimbicA,0.2001412919044521,True
LimbicA-LimbicB,0.16034336566151064,False
LimbicA-SalVentAttnA,0.03971109216885164,False
LimbicA-SalVentAttnB,0.1689586331733328,False
LimbicA-SomMotA,-0.028659232145841675,False
LimbicA-SomMotB,0.005714902605222131,False
LimbicA-TempPar,0.005142246450550637,False
LimbicA-VisCent,0.008267183121030145,False
LimbicA-VisPeri,-0.01644073972131793,False
LimbicB-LimbicB,0.22048317934881118,True
LimbicB-SalVentAttnA,0.08179812891276458,False
LimbicB-SalVentAttnB,0.2436522394092059,False
LimbicB-SomMotA,-0.0805762109861691,False
LimbicB-SomMotB,0.006344026779736138,False
LimbicB-TempPar,0.06523909993927603,False
LimbicB-VisCent,0.006204808062237541,False
LimbicB-VisPeri,-0.08344546338162356,False
SalVentAttnA-SalVentAttnA,0.08528416990862529,True
SalVentAttnA-SalVentAttnB,0.10083514408631669,False
SalVentAttnA-SomMotA,-0.0004578718694768814,False
SalVentAttnA-SomMotB,0.05098458132936659,False
SalVentAttnA-TempPar,0.03564183655508023,False
SalVentAttnA-VisCent,0.01448001456397594,False
SalVentAttnA-VisPeri,0.006495035332954958,False
SalVentAttnB-SalVentAttnB,0.272001797287511,True
SalVentAttnB-SomMotA,-0.07834509358714108,False
SalVentAttnB-SomMotB,0.013816595778410106,False
SalVentAttnB-TempPar,0.026529021338519615,False
SalVentAttnB-VisCent,-0.0005311608715132601,False
SalVentAttnB-VisPeri,-0.07194377122311627,False
SomMotA-SomMotA,0.230231102948379,True
SomMotA-SomMotB,0.11225136107437575,False
SomMotA-TempPar,-0.06450869472728676,False
SomMotA-VisCent,0.11411923828292501,False
SomMotA-VisPeri,0.23912827493074848,False
SomMotB-SomMotB,0.14374397737558992,True
SomMotB-TempPar,-6.138836280894852e-05,False
SomMotB-VisCent,0.06822544374646212,False
SomMotB-VisPeri,0.07803497164197805,False
TempPar-TempPar,0.5099376562845118,True
TempPar-VisCent,0.002416694769037346,False
TempPar-VisPeri,-0.07910768827602124,False
VisCent-VisCent,0.09147701672482705,True
VisCent-VisPeri,0.12676122830793057,False
VisPeri-VisPeri,0.33530163775484456,True
