network_connection,fc,within_network
ContA-ContA,0.3093581778973911,True
ContA-ContB,0.15388571308647817,False
ContA-ContC,0.12144257435722844,False
ContA-DefaultA,0.11921539651256065,False
ContA-DefaultB,0.11645410926087614,False
ContA-DefaultC,0.07527637214670095,False
ContA-DorsAttnA,-0.05245553534632913,False
ContA-DorsAttnB,0.06850091979219443,False
ContA-LimbicA,0.3126425841772538,False
ContA-LimbicB,0.3012161233716253,False
ContA-SalVentAttnA,0.07891297851221747,False
ContA-SalVentAttnB,0.32369171428567745,False
ContA-SomMotA,-0.14048637656588533,False
ContA-SomMotB,-0.057284706724828605,False
ContA-TempPar,-0.03211377597866546,False
ContA-VisCent,0.014090888860494123,False
ContA-VisPeri,-0.10171056713734228,False
ContB-ContB,0.14506034219071662,True
ContB-ContC,0.09742246197710792,False
ContB-DefaultA,0.06942018640375419,False
ContB-DefaultB,0.04618032929183803,False
ContB-DefaultC,0.018131580586230694,False
ContB-DorsAttnA,0.021378130954300318,False
ContB-DorsAttnB,0.06761863983548362,False
ContB-LimbicA,0.14033232202307583,False
ContB-LimbicB,0.0924052174991883,False
ContB-SalVentAttnA,0.015719768844657808,False
ContB-SalVentAttnB,0.09948985237508179,False
ContB-SomMotA,-0.06420913831230196,False
ContB-SomMotB,-0.03501600912549123,False
ContB-TempPar,0.01083968421268645,False
ContB-VisCent,0.022321214134288815,False
ContB-VisPeri,-0.06846502426894091,False
ContC-ContC,0.24156364593061178,True
ContC-DefaultA,0.18814377536180651,False
ContC-DefaultB,0.10251779283294273,False
ContC-DefaultC,-0.02573348423717761,False
ContC-DorsAttnA,-0.028543430833802688,False
ContC-DorsAttnB,0.07562564627220357,False
ContC-LimbicA,0.1726658114392945,False
ContC-LimbicB,0.19334400827641177,False
ContC-SalVentAttnA,0.06184995158032489,False
ContC-SalVentAttnB,0.2090255119346948,False
ContC-SomMotA,-0.0307015007902005,False
ContC-SomMotB,-0.03510963317253743,False
ContC-TempPar,-0.0713356275493817,False
ContC-VisCent,0.05457721654884343,False
ContC-VisPeri,-0.015558244833671749,False
DefaultA-DefaultA,0.19237808651765004,True
DefaultA-DefaultB,0.11702155465471004,False
DefaultA-DefaultC,-0.020186029931122715,False
DefaultA-DorsAttnA,-0.04471360028724268,False
DefaultA-DorsAttnB,0.03782136409001056,False
DefaultA-LimbicA,0.1492225658682796,False
DefaultA-LimbicB,0.1723841658424056,False
DefaultA-SalVentAttnA,0.062371247586997636,False
DefaultA-SalVentAttnB,0.1729067169464294,False
DefaultA-SomMotA,-0.020647140334741482,False
DefaultA-SomMotB,-0.005309207236900821,False
DefaultA-TempPar,-0.038715695986914864,False
DefaultA-VisCent,0.052816706455638344,False
DefaultA-VisPeri,-0.02042199062429676,False
DefaultB-DefaultB,0.15561226989754237,True
DefaultB-DefaultC,0.17244692966600972,False
DefaultB-DorsAttnA,-0.07474514243695703,False
DefaultB-DorsAttnB,0.001882878262861956,False
DefaultB-LimbicA,0.10858220266643033,False
DefaultB-LimbicB,0.1339224017325401,False
DefaultB-SalVentAttnA,0.028498484925454814,False
DefaultB-SalVentAttnB,0.13014017008167747,False
DefaultB-SomMotA,-0.0506540269794233,False
DefaultB-SomMotB,-0.02826952636086318,False
DefaultB-TempPar,0.05438705509977014,False
DefaultB-VisCent,0.014394436612281626,False
DefaultB-VisPeri,-0.03707956861874179,False
DefaultC-DefaultC,0.4082146358416858,True
DefaultC-DorsAttnA,-0.09593892199423242,False
DefaultC-DorsAttnB,-0.04142611985434251,False
DefaultC-LimbicA,0.026275280631261347,False
DefaultC-LimbicB,0.05015775371890304,False
DefaultC-SalVentAttnA,-0.02336509477564539,False
DefaultC-SalVentAttnB,0.027323383411393017,False
