network_connection,fc,within_network
ContA-ContA,0.22669645474129624,True
ContA-ContB,0.12897944001602502,False
ContA-ContC,0.08221661802624669,False
ContA-DefaultA,0.06416403362457776,False
ContA-DefaultB,0.05164531536992686,False
ContA-DefaultC,0.06081713355810957,False
ContA-DorsAttnA,-0.030994148375728107,False
ContA-DorsAttnB,0.044622358593733,False
ContA-LimbicA,0.21956951647629325,False
ContA-LimbicB,0.15995433737475098,False
ContA-SalVentAttnA,0.013247794161776731,False
ContA-SalVentAttnB,0.1844709269660483,False
ContA-SomMotA,-0.13551449507279023,False
ContA-SomMotB,-0.04836076696468462,False
ContA-TempPar,0.05399627225913666,False
ContA-VisCent,-0.016986035930209017,False
ContA-VisPeri,-0.11545649364365843,False
ContB-ContB,0.17574509211998032,True
ContB-ContC,0.07155748773086086,False
ContB-DefaultA,0.030373693950558892,False
ContB-DefaultB,0.06961945572893705,False
ContB-DefaultC,0.155984360003247,False
ContB-DorsAttnA,-0.007290707647039322,False
ContB-DorsAttnB,0.03768687567070128,False
ContB-LimbicA,0.09288798064566905,False
ContB-LimbicB,0.07491010017302048,False
ContB-SalVentAttnA,-0.03397670997832924,False
ContB-SalVentAttnB,0.047013692715281274,False
ContB-SomMotA,-0.11660762629702194,False
ContB-SomMotB,-0.0329947795693192,False
ContB-TempPar,0.18487865024023795,False
ContB-VisCent,0.0007046819618382717,False
ContB-VisPeri,-0.12106749762817189,False
ContC-ContC,0.21208958845097484,True
ContC-DefaultA,0.1525244213632063,False
ContC-DefaultB,0.052534132480306917,False
ContC-DefaultC,-0.041573145908120945,False
ContC-DorsAttnA,-0.06851423412261147,False
ContC-DorsAttnB,0.01460299959924928,False
ContC-LimbicA,0.09769319106200165,False
ContC-LimbicB,0.10818133504963191,False
ContC-SalVentAttnA,0.01566587576294488,False
ContC-SalVentAttnB,0.13476341224072436,False
ContC-SomMotA,-0.024856537850368506,False
ContC-SomMotB,-0.04871024444962171,False
ContC-TempPar,-0.01802270523003838,False
ContC-VisCent,0.019751544606139395,False
ContC-VisPeri,-0.020822249673133918,False
DefaultA-DefaultA,0.14244609134698244,True
DefaultA-DefaultB,0.07389602046480782,False
DefaultA-DefaultC,-0.017230075020323646,False
DefaultA-DorsAttnA,-0.05808093350280711,False
DefaultA-DorsAttnB,0.005583084502685559,False
DefaultA-LimbicA,0.07046036115757522,False
DefaultA-LimbicB,0.08270772342380038,False
DefaultA-SalVentAttnA,0.014866042050403554,False
DefaultA-SalVentAttnB,0.10126850741177676,False
DefaultA-SomMotA,-0.00822107427613748,False
DefaultA-SomMotB,-0.03556645874055628,False
DefaultA-TempPar,-0.0065564254588099,False
DefaultA-VisCent,0.024912358203788596,False
