network_connection,fc,within_network
ContA-ContA,0.26644865274543333,True
ContA-ContB,0.14888834556852665,False
ContA-ContC,0.1545254306544116,False
ContA-DefaultA,0.1625347158777962,False
ContA-DefaultB,0.10136093519466888,False
ContA-DefaultC,-0.05876182181563056,False
ContA-DorsAttnA,-0.09072065613515602,False
ContA-DorsAttnB,0.04223282755935199,False
ContA-LimbicA,0.2355464238984145,False
ContA-LimbicB,0.17147497645909107,False
ContA-SalVentAttnA,-0.003157101214207255,False
ContA-SalVentAttnB,0.1758156729927932,False
ContA-SomMotA,-0.11946313648606798,False
ContA-SomMotB,-0.10815110041526833,False
ContA-TempPar,-0.07640225212794483,False
ContA-VisCent,0.028857547331043436,False
ContA-VisPeri,-0.07845436691465119,False
ContB-ContB,0.18242599059726866,True
ContB-ContC,0.1613722566380748,False
ContB-DefaultA,0.13431080325541403,False
ContB-DefaultB,0.1075759577410218,False
ContB-DefaultC,0.016732197039276187,False
ContB-DorsAttnA,-0.05077324417951161,False
ContB-DorsAttnB,0.0614414784333439,False
ContB-LimbicA,0.1448367073626585,False
ContB-LimbicB,0.07625058642936705,False
ContB-SalVentAttnA,-0.021448472037425365,False
ContB-SalVentAttnB,0.07691617990838319,False
ContB-SomMotA,-0.10360445880509768,False
ContB-SomMotB,-0.09947234365121008,False
ContB-TempPar,0.03750696764040217,False
ContB-VisCent,0.029566274213959225,False
ContB-VisPeri,-0.07021417424166336,False
ContC-ContC,0.3660031439899038,True
ContC-DefaultA,0.35348624562574316,False
ContC-DefaultB,0.22406367400857785,False
ContC-DefaultC,-0.023501034624047637,False
ContC-DorsAttnA,-0.16451670962187853,False
ContC-DorsAttnB,0.020143584400584686,False
ContC-LimbicA,0.18909118446331874,False
ContC-LimbicB,0.1645167367582678,False
ContC-SalVentAttnA,-0.025242533230729093,False
ContC-SalVentAttnB,0.1693055885022413,False
ContC-SomMotA,-0.06750089294113149,False
ContC-SomMotB,-0.13788362622981193,False
ContC-TempPar,-0.03748905946172211,False
ContC-VisCent,0.04316480005976746,False
ContC-VisPeri,-0.04245246921175025,False
DefaultA-DefaultA,0.3635362816815531,True
DefaultA-DefaultB,0.257377257741752,False
DefaultA-DefaultC,0.023409569181086144,False
DefaultA-DorsAttnA,-0.19551780179731906,False
DefaultA-DorsAttnB,-0.011172593059513599,False
DefaultA-LimbicA,0.17395514105339405,False
DefaultA-LimbicB,0.1871752345779175,False
DefaultA-SalVentAttnA,-0.03413005182475657,False
DefaultA-SalVentAttnB,0.17538637026817983,False
DefaultA-SomMotA,-0.07781580707360639,False
DefaultA-SomMotB,-0.14260409732154847,False
DefaultA-TempPar,-0.02417770098900407,False
DefaultA-VisCent,0.04607983876902819,False
DefaultA-VisPeri,-0.06694327911924908,False
DefaultB-DefaultB,0.2335010744931641,True
DefaultB-DefaultC,0.1613732933869906,False
DefaultB-DorsAttnA,-0.17831134442903696,False
DefaultB-DorsAttnB,-0.03650900890447852,False
DefaultB-LimbicA,0.10471292964885892,False
DefaultB-LimbicB,0.1350779493344948,False
DefaultB-SalVentAttnA,-0.037459562045843414,False
DefaultB-SalVentAttnB,0.11595085471021366,False
DefaultB-SomMotA,-0.09339091285678926,False
DefaultB-SomMotB,-0.12222743847462009,False
