network_connection,fc,within_network
ContA-ContA,0.2645224543116789,True
ContA-ContB,0.16318494205354506,False
ContA-ContC,0.1181220523703123,False
ContA-DefaultA,0.11628366870063989,False
ContA-DefaultB,0.11737574861719673,False
ContA-DefaultC,0.0798864575513381,False
ContA-DorsAttnA,-0.03150362501140488,False
ContA-DorsAttnB,0.08156869899617605,False
ContA-LimbicA,0.2976765576829815,False
ContA-LimbicB,0.22381442664548806,False
ContA-SalVentAttnA,0.023194780031903284,False
ContA-SalVentAttnB,0.21367923319198415,False
ContA-SomMotA,-0.1637429326561965,False
ContA-SomMotB,-0.0708718236610125,False
ContA-TempPar,0.018587017912485685,False
ContA-VisCent,-0.005328757366405162,False
ContA-VisPeri,-0.16633096740043957,False
ContB-ContB,0.21159231201804787,True
ContB-ContC,0.09106333752103941,False
ContB-DefaultA,0.0753593537727047,False
ContB-DefaultB,0.09968612519266509,False
ContB-DefaultC,0.15034424917055839,False
ContB-DorsAttnA,-0.010658956827349797,False
ContB-DorsAttnB,0.04827725297286967,False
ContB-LimbicA,0.13468282364810877,False
ContB-LimbicB,0.06027317439350479,False
ContB-SalVentAttnA,-0.027036802205355915,False
ContB-SalVentAttnB,0.044985182376892176,False
ContB-SomMotA,-0.09902945767504318,False
ContB-SomMotB,-0.05999752336103387,False
ContB-TempPar,0.12282102539020202,False
ContB-VisCent,0.007072506162693012,False
ContB-VisPeri,-0.1361345812276758,False
ContC-ContC,0.30388639542099544,True
ContC-DefaultA,0.2605591701779858,False
ContC-DefaultB,0.19452627721336083,False
ContC-DefaultC,0.07350006835256306,False
ContC-DorsAttnA,-0.06473569183194927,False
ContC-DorsAttnB,0.020808894518962427,False
ContC-LimbicA,0.16987913204697305,False
ContC-LimbicB,0.21299718157360817,False
ContC-SalVentAttnA,0.029176435185499953,False
ContC-SalVentAttnB,0.22152645293303652,False
ContC-SomMotA,-0.11113185577044052,False
ContC-SomMotB,-0.08994668705247166,False
ContC-TempPar,-0.027288392781017537,False
ContC-VisCent,0.006064001472626645,False
ContC-VisPeri,-0.12814593444642056,False
DefaultA-DefaultA,0.25215024760816157,True
DefaultA-DefaultB,0.2005207701297237,False
DefaultA-DefaultC,0.07898839667750843,False
DefaultA-DorsAttnA,-0.06496488125072267,False
DefaultA-DorsAttnB,0.01987620313110345,False
DefaultA-LimbicA,0.14411245333682626,False
DefaultA-LimbicB,0.18385505717526493,False
DefaultA-SalVentAttnA,0.014421234673678503,False
DefaultA-SalVentAttnB,0.1714183380851758,False
DefaultA-SomMotA,-0.08551310850298971,False
DefaultA-SomMotB,-0.06063877022075531,False
DefaultA-TempPar,-0.014952424769592318,False
DefaultA-VisCent,0.028313808679830105,False
DefaultA-VisPeri,-0.11403570588162835,False
DefaultB-DefaultB,0.22357689337828857,True
DefaultB-DefaultC,0.19384518267168152,False
DefaultB-DorsAttnA,-0.08594133772605621,False
DefaultB-DorsAttnB,-0.007368644041174361,False
DefaultB-LimbicA,0.11688687250682883,False
DefaultB-LimbicB,0.14409077402935608,False
DefaultB-SalVentAttnA,0.004701397698693135,False
DefaultB-SalVentAttnB,0.14240846519640885,False
DefaultB-SomMotA,-0.10041686099305952,False
DefaultB-SomMotB,-0.06531427757777841,False
DefaultB-TempPar,0.07049662623421328,False
DefaultB-VisCent,0.00992736688007243,False
DefaultB-VisPeri,-0.1212573612638414,False
DefaultC-DefaultC,0.38090685269449776,True
DefaultC-DorsAttnA,-0.08306646299754522,False
DefaultC-DorsAttnB,-0.019980767181964246,False
DefaultC-LimbicA,0.028929922031928287,False
DefaultC-LimbicB,0.06192529695716059,False
DefaultC-SalVentAttnA,-0.016362142744711358,False
DefaultC-SalVentAttnB,0.06793444188319665,False
DefaultC-SomMotA,-0.1323532444529498,False
DefaultC-SomMotB,-0.08996399691275755,False
DefaultC-TempPar,0.320491521852019,False
DefaultC-VisCent,-0.004166904796452914,False
DefaultC-VisPeri,-0.15202412190385697,False
DorsAttnA-DorsAttnA,0.2696413769638436,True
DorsAttnA-DorsAttnB,0.0870130119464647,False
DorsAttnA-LimbicA,0.005273020671748243,False
DorsAttnA-LimbicB,-0.03828296209320095,False
DorsAttnA-SalVentAttnA,0.06087010020235102,False
DorsAttnA-SalVentAttnB,-0.020486639492354835,False
DorsAttnA-SomMotA,0.03494288412403034,False
DorsAttnA-SomMotB,0.07295841500366582,False
DorsAttnA-TempPar,-0.04630302455074818,False
DorsAttnA-VisCent,0.0021294327562062336,False
DorsAttnA-VisPeri,0.03799782210846896,False
DorsAttnB-DorsAttnB,0.13513629638643085,True
DorsAttnB-LimbicA,0.10538648816489342,False
DorsAttnB-LimbicB,0.09476726066763579,False
DorsAttnB-SalVentAttnA,0.040888110373236725,False
DorsAttnB-SalVentAttnB,0.09493174999888322,False
DorsAttnB-SomMotA,-0.027540587110028505,False
DorsAttnB-SomMotB,-0.012393379519051392,False
DorsAttnB-TempPar,-0.021781016537794774,False
DorsAttnB-VisCent,0.04266000291805821,False
DorsAttnB-VisPeri,-0.011048347017302954,False
LimbicA-LimbicA,0.35841395330972825,True
LimbicA-LimbicB,0.3033315361393075,False
LimbicA-SalVentAttnA,0.06106135571958083,False
LimbicA-SalVentAttnB,0.2995646664510178,False
LimbicA-SomMotA,-0.18956818097659978,False
LimbicA-SomMotB,-0.08044688341153826,False
LimbicA-TempPar,-0.04609632342452546,False
LimbicA-VisCent,-0.018996470409906107,False
LimbicA-VisPeri,-0.1757927746595231,False
LimbicB-LimbicB,0.3683609067329605,True
LimbicB-SalVentAttnA,0.0989227919055692,False
LimbicB-SalVentAttnB,0.3975823735375339,False
LimbicB-SomMotA,-0.21298507913949047,False
LimbicB-SomMotB,-0.09363770244481817,False
LimbicB-TempPar,-0.04147747080621587,False
LimbicB-VisCent,-0.022214534141637553,False
LimbicB-VisPeri,-0.18896900859684354,False
SalVentAttnA-SalVentAttnA,0.09415595381610571,True
SalVentAttnA-SalVentAttnB,0.13443831602101886,False
SalVentAttnA-SomMotA,-0.03477056122077032,False
SalVentAttnA-SomMotB,0.030060812446212944,False
SalVentAttnA-TempPar,-0.032151464855986876,False
SalVentAttnA-VisCent,-0.00898976789090702,False
SalVentAttnA-VisPeri,0.004281285975380418,False
SalVentAttnB-SalVentAttnB,0.4468464019696053,True
SalVentAttnB-SomMotA,-0.238766898838449,False
SalVentAttnB-SomMotB,-0.1153159325643135,False
SalVentAttnB-TempPar,-0.03007241054919349,False
SalVentAttnB-VisCent,-0.044917517760454474,False
SalVentAttnB-VisPeri,-0.1752368994769151,False
SomMotA-SomMotA,0.267497432696805,True
SomMotA-SomMotB,0.14199053175788784,False
SomMotA-TempPar,-0.08012305049526426,False
SomMotA-VisCent,0.083210381038269,False
SomMotA-VisPeri,0.2617555864659222,False
SomMotB-SomMotB,0.17853077422225533,True
SomMotB-TempPar,-0.06347476009941304,False
SomMotB-VisCent,0.05486889386572478,False
SomMotB-VisPeri,0.11140316346919155,False
TempPar-TempPar,0.41430878680037325,True
TempPar-VisCent,-0.008660616842010199,False
TempPar-VisPeri,-0.10541175038140174,False
VisCent-VisCent,0.08132067711633424,True
VisCent-VisPeri,0.06616127156523835,False
VisPeri-VisPeri,0.3496687577235107,True
