network_connection,fc,within_network
ContA-ContA,0.23071069384546614,True
ContA-ContB,0.1349023874732575,False
ContA-ContC,0.04894189237936855,False
ContA-DefaultA,0.07597395092374501,False
ContA-DefaultB,0.059370398543327735,False
ContA-DefaultC,0.03799307649065536,False
ContA-DorsAttnA,-0.05290752410490693,False
ContA-DorsAttnB,0.035700911393663194,False
ContA-LimbicA,0.23715283982267016,False
ContA-LimbicB,0.16909681640809784,False
ContA-SalVentAttnA,0.009643748220579777,False
ContA-SalVentAttnB,0.18530667457644542,False
ContA-SomMotA,-0.10381592949922218,False
ContA-SomMotB,-0.03310908658017211,False
ContA-TempPar,-0.03886793826673395,False
ContA-VisCent,0.01970343084769952,False
ContA-VisPeri,-0.08456444862156368,False
ContB-ContB,0.16531581438231088,True
ContB-ContC,0.053963178365549674,False
ContB-DefaultA,0.05738434740827583,False
ContB-DefaultB,0.056831842672090634,False
ContB-DefaultC,0.0997279055189435,False
ContB-DorsAttnA,-0.030511259047965065,False
ContB-DorsAttnB,0.009857320238027992,False
ContB-LimbicA,0.10805777796194996,False
ContB-LimbicB,0.06338392995856273,False
ContB-SalVentAttnA,-0.018243311793330757,False
ContB-SalVentAttnB,0.05965558857066686,False
ContB-SomMotA,-0.08294795875201455,False
ContB-SomMotB,-0.048644426850285506,False
ContB-TempPar,0.10431673686602644,False
ContB-VisCent,-0.011071659617931,False
ContB-VisPeri,-0.08104133320535606,False
ContC-ContC,0.09122566015580087,True
ContC-DefaultA,0.07722724916005819,False
ContC-DefaultB,0.035307211026815825,False
ContC-DefaultC,0.003511503830266287,False
ContC-DorsAttnA,-0.01828141247714814,False
ContC-DorsAttnB,0.02564287222194348,False
ContC-LimbicA,0.06505749323012419,False
ContC-LimbicB,0.0635362040472719,False
ContC-SalVentAttnA,0.003236094279363792,False
ContC-SalVentAttnB,0.06716609646270368,False
ContC-SomMotA,-0.043512835730127535,False
ContC-SomMotB,-0.01932868015467943,False
ContC-TempPar,0.001361833666440885,False
ContC-VisCent,-0.008078343751370584,False
ContC-VisPeri,-0.0584044994207487,False
DefaultA-DefaultA,0.10892179397367241,True
DefaultA-DefaultB,0.07034043877903047,False
DefaultA-DefaultC,0.04215011208948338,False
DefaultA-DorsAttnA,-0.04369416924335502,False
DefaultA-DorsAttnB,0.005153032948982972,False
DefaultA-LimbicA,0.08234546222652406,False
DefaultA-LimbicB,0.10132608238471782,False
DefaultA-SalVentAttnA,0.0071498328983153675,False
DefaultA-SalVentAttnB,0.09559751595237036,False
DefaultA-SomMotA,-0.059378996401721645,False
DefaultA-SomMotB,-0.01977690645440532,False
DefaultA-TempPar,0.004154714575208505,False
DefaultA-VisCent,0.0028031909514930086,False
DefaultA-VisPeri,-0.07085959547719223,False
DefaultB-DefaultB,0.12032754503438133,True
DefaultB-DefaultC,0.18182755632844255,False
DefaultB-DorsAttnA,-0.07409435037682363,False
DefaultB-DorsAttnB,-0.030331847442578174,False
DefaultB-LimbicA,0.041409533627790665,False
DefaultB-LimbicB,0.083950404618949,False
DefaultB-SalVentAttnA,-0.002792710338062202,False
DefaultB-SalVentAttnB,0.07170410016571183,False
DefaultB-SomMotA,-0.07621912186851355,False
