network_connection,fc,within_network
ContA-ContA,0.2877204625652257,True
ContA-ContB,0.1343272860935335,False
ContA-ContC,0.1498232083413781,False
ContA-DefaultA,0.13945828618327769,False
ContA-DefaultB,0.1312374643370771,False
ContA-DefaultC,0.051106998904452694,False
ContA-DorsAttnA,-0.10360987369869934,False
ContA-DorsAttnB,0.05491827937766356,False
ContA-LimbicA,0.24062026933699435,False
ContA-LimbicB,0.24313995735577953,False
ContA-SalVentAttnA,0.035217927171912015,False
ContA-SalVentAttnB,0.2702649494576657,False
ContA-SomMotA,-0.1427454844323161,False
ContA-SomMotB,-0.07203899269326888,False
ContA-TempPar,-0.062442436806441674,False
ContA-VisCent,-0.036545700402834606,False
ContA-VisPeri,-0.16492900787049783,False
ContB-ContB,0.11553280346462226,True
ContB-ContC,0.08683617200639496,False
ContB-DefaultA,0.06440725714028618,False
ContB-DefaultB,0.07764591610052124,False
ContB-DefaultC,0.08222124972506412,False
ContB-DorsAttnA,-0.009272413878526637,False
ContB-DorsAttnB,0.04136113588360432,False
ContB-LimbicA,0.10926418344846599,False
ContB-LimbicB,0.1004156973216829,False
ContB-SalVentAttnA,0.00021290300127460013,False
ContB-SalVentAttnB,0.10525337766947002,False
ContB-SomMotA,-0.09665901815386119,False
ContB-SomMotB,-0.03366449425669409,False
ContB-TempPar,0.02374366610032676,False
ContB-VisCent,-0.02737896735336405,False
ContB-VisPeri,-0.1282896662789724,False
ContC-ContC,0.18319222029696877,True
ContC-DefaultA,0.1463847902014392,False
ContC-DefaultB,0.07647321018521774,False
ContC-DefaultC,-0.021144034383141316,False
ContC-DorsAttnA,-0.06866147849735091,False
ContC-DorsAttnB,0.04021453368803798,False
ContC-LimbicA,0.14434878464404446,False
ContC-LimbicB,0.15627106387053433,False
ContC-SalVentAttnA,0.015452565315201464,False
ContC-SalVentAttnB,0.19212210833364973,False
ContC-SomMotA,-0.06508038530149844,False
ContC-SomMotB,-0.04826032894078168,False
ContC-TempPar,-0.04270972363315923,False
ContC-VisCent,-0.016496494703693514,False
ContC-VisPeri,-0.09271433499484737,False
DefaultA-DefaultA,0.15341891744261787,True
DefaultA-DefaultB,0.08011467727997962,False
DefaultA-DefaultC,-0.04265387700314617,False
DefaultA-DorsAttnA,-0.05801163902086182,False
DefaultA-DorsAttnB,0.03858943037755551,False
DefaultA-LimbicA,0.13372652500100823,False
DefaultA-LimbicB,0.16416499368153084,False
DefaultA-SalVentAttnA,0.03532425902425828,False
DefaultA-SalVentAttnB,0.18685772658220212,False
DefaultA-SomMotA,-0.06795347025836906,False
DefaultA-SomMotB,-0.03625264721291425,False
DefaultA-TempPar,-0.05530657365885545,False
DefaultA-VisCent,-0.009938028235131754,False
DefaultA-VisPeri,-0.09854631960840207,False
DefaultB-DefaultB,0.12399556409735416,True
DefaultB-DefaultC,0.1715591937218931,False
DefaultB-DorsAttnA,-0.08596930498432966,False
DefaultB-DorsAttnB,-0.0022418904757829823,False
DefaultB-LimbicA,0.08887610383167578,False
DefaultB-LimbicB,0.11066254709646194,False
DefaultB-SalVentAttnA,0.0029971915043683745,False
DefaultB-SalVentAttnB,0.12382607387869896,False
DefaultB-SomMotA,-0.0844087029666526,False
DefaultB-SomMotB,-0.04082224126245664,False
DefaultB-TempPar,0.06572638458912702,False
DefaultB-VisCent,-0.02713780980461793,False
DefaultB-VisPeri,-0.0975412245527968,False
DefaultC-DefaultC,0.5344278809744581,True
DefaultC-DorsAttnA,-0.11589135109669016,False
DefaultC-DorsAttnB,-0.030913200490114538,False
DefaultC-LimbicA,-0.010236615029763255,False
DefaultC-LimbicB,0.01966067862857044,False
DefaultC-SalVentAttnA,-0.044452010700302955,False
DefaultC-SalVentAttnB,0.006052005215677843,False
DefaultC-SomMotA,-0.11476214148222856,False
DefaultC-SomMotB,-0.07094270364687083,False
DefaultC-TempPar,0.36103856823550556,False
DefaultC-VisCent,-0.05150469893676752,False
DefaultC-VisPeri,-0.10078756513637832,False
DorsAttnA-DorsAttnA,0.3260401245940659,True
