network_connection,fc,within_network
ContA-ContA,0.2561303701034059,True
ContA-ContB,0.18577664172945674,False
ContA-ContC,0.13108418358762894,False
ContA-DefaultA,0.13204794575075526,False
ContA-DefaultB,0.1843885114635152,False
ContA-DefaultC,0.10108778744785174,False
ContA-DorsAttnA,-0.05891721422130119,False
ContA-DorsAttnB,0.014506072859179863,False
ContA-LimbicA,0.252805460221356,False
ContA-LimbicB,0.1336332424805471,False
ContA-SalVentAttnA,-0.013779468243121484,False
ContA-SalVentAttnB,0.1007878431319488,False
ContA-SomMotA,-0.101586810618653,False
ContA-SomMotB,-0.06502872997420767,False
ContA-TempPar,0.0522343228252506,False
ContA-VisCent,-0.019132410971380923,False
ContA-VisPeri,-0.04112872352645462,False
ContB-ContB,0.2267114677686388,True
ContB-ContC,0.139821442360344,False
ContB-DefaultA,0.07729421527332263,False
ContB-DefaultB,0.14462376773344898,False
ContB-DefaultC,0.19615177381578275,False
ContB-DorsAttnA,-0.08099631805106462,False
ContB-DorsAttnB,0.004336177202764128,False
ContB-LimbicA,0.17521355824419968,False
ContB-LimbicB,0.09965099613122023,False
ContB-SalVentAttnA,-0.056861437122384714,False
ContB-SalVentAttnB,0.0509587715772618,False
ContB-SomMotA,-0.14037785256499724,False
ContB-SomMotB,-0.08335819561535202,False
ContB-TempPar,0.19003640166397795,False
ContB-VisCent,-0.004917707119127204,False
ContB-VisPeri,-0.11984692165243938,False
ContC-ContC,0.2649469969079102,True
ContC-DefaultA,0.18968639816904556,False
ContC-DefaultB,0.11888349326913983,False
ContC-DefaultC,0.013484686127055608,False
ContC-DorsAttnA,-0.1071035638448047,False
ContC-DorsAttnB,0.009831933056541342,False
ContC-LimbicA,0.1525483276081042,False
ContC-LimbicB,0.1860381300469715,False
ContC-SalVentAttnA,-0.020345566591265657,False
ContC-SalVentAttnB,0.13218412480717984,False
ContC-SomMotA,-0.08946253954778824,False
ContC-SomMotB,-0.08101952517675202,False
ContC-TempPar,-0.020171496569016543,False
ContC-VisCent,0.0031228031533055956,False
ContC-VisPeri,-0.09446144409933453,False
DefaultA-DefaultA,0.18483370966787246,True
DefaultA-DefaultB,0.1440758697965204,False
DefaultA-DefaultC,-0.024246127168904657,False
DefaultA-DorsAttnA,-0.07782102273176161,False
DefaultA-DorsAttnB,-0.002741351715994563,False
DefaultA-LimbicA,0.13849548933395084,False
DefaultA-LimbicB,0.13283388161214807,False
DefaultA-SalVentAttnA,-0.0020578635218736797,False
DefaultA-SalVentAttnB,0.09285428095395136,False
DefaultA-SomMotA,-0.05150871921990656,False
DefaultA-SomMotB,-0.06613585267608164,False
DefaultA-TempPar,-0.04141597351733186,False
DefaultA-VisCent,-0.003912454280979864,False
DefaultA-VisPeri,-0.06170342312852116,False
DefaultB-DefaultB,0.2878164545482213,True
DefaultB-DefaultC,0.25281495193541337,False
DefaultB-DorsAttnA,-0.12087215370382977,False
DefaultB-DorsAttnB,-0.07019062204971403,False
DefaultB-LimbicA,0.14464520181460433,False
DefaultB-LimbicB,0.05169822406175368,False
DefaultB-SalVentAttnA,-0.05486687941324392,False
DefaultB-SalVentAttnB,0.015251680340153853,False
DefaultB-SomMotA,-0.07705753846478527,False
DefaultB-SomMotB,-0.07429626430788623,False
DefaultB-TempPar,0.16765219355062028,False
DefaultB-VisCent,-0.02741052478081318,False
DefaultB-VisPeri,-0.025318628934359523,False
DefaultC-DefaultC,0.5612179031367779,True
DefaultC-DorsAttnA,-0.20074366476341532,False
DefaultC-DorsAttnB,-0.11430627529793537,False
DefaultC-LimbicA,0.021236322050296033,False
DefaultC-LimbicB,-0.016038870243430307,False
DefaultC-SalVentAttnA,-0.12763467223821573,False
DefaultC-SalVentAttnB,-0.06800700484365366,False
DefaultC-SomMotA,-0.12949583083221042,False
DefaultC-SomMotB,-0.11965503099548662,False
DefaultC-TempPar,0.517131057799226,False
