network_connection,fc,within_network
ContA-ContA,0.2665840841421747,True
ContA-ContB,0.21722083576745566,False
ContA-ContC,0.15139566245783864,False
ContA-DefaultA,0.16785620138288485,False
ContA-DefaultB,0.1488701610729033,False
ContA-DefaultC,0.07657408699811387,False
ContA-DorsAttnA,-0.09710727420970477,False
ContA-DorsAttnB,0.055643030861440304,False
ContA-LimbicA,0.24176942475936508,False
ContA-LimbicB,0.1937707621630728,False
ContA-SalVentAttnA,-0.010052771692622949,False
ContA-SalVentAttnB,0.16202679802055406,False
ContA-SomMotA,-0.11737636495879522,False
ContA-SomMotB,-0.06556563911897692,False
ContA-TempPar,0.04172699835464295,False
ContA-VisCent,0.050168592256892026,False
ContA-VisPeri,-0.13286720016546177,False
ContB-ContB,0.27719225872268205,True
ContB-ContC,0.19345264995878436,False
ContB-DefaultA,0.1641325471702917,False
ContB-DefaultB,0.1868524983268726,False
ContB-DefaultC,0.2047364876776471,False
ContB-DorsAttnA,-0.07852708152551355,False
ContB-DorsAttnB,0.05369405013811285,False
ContB-LimbicA,0.19181054747616352,False
ContB-LimbicB,0.14679316965224484,False
ContB-SalVentAttnA,-0.05946190600932945,False
ContB-SalVentAttnB,0.07777180685066656,False
ContB-SomMotA,-0.13010164061614962,False
ContB-SomMotB,-0.08445789895494463,False
ContB-TempPar,0.14884110297949216,False
ContB-VisCent,0.06471472714078329,False
ContB-VisPeri,-0.1549284096157196,False
ContC-ContC,0.2972251560019734,True
ContC-DefaultA,0.28368758913910375,False
ContC-DefaultB,0.20045696452219416,False
ContC-DefaultC,0.031419967522689086,False
ContC-DorsAttnA,-0.05302640292510899,False
ContC-DorsAttnB,0.02886856314968978,False
ContC-LimbicA,0.20318532848175236,False
ContC-LimbicB,0.13744018314150375,False
ContC-SalVentAttnA,-0.04389534654973023,False
ContC-SalVentAttnB,0.09404976843789783,False
ContC-SomMotA,-0.044362383875938285,False
ContC-SomMotB,-0.05804487612072093,False
ContC-TempPar,-0.013545628051759564,False
ContC-VisCent,0.06109964328672855,False
ContC-VisPeri,-0.06917153788790299,False
DefaultA-DefaultA,0.2989238920384267,True
DefaultA-DefaultB,0.21778849488770863,False
DefaultA-DefaultC,0.008298157764161493,False
DefaultA-DorsAttnA,-0.06518543595892871,False
DefaultA-DorsAttnB,0.011976680940206031,False
DefaultA-LimbicA,0.1999693584963791,False
DefaultA-LimbicB,0.14762055683112385,False
DefaultA-SalVentAttnA,-0.0351127800737905,False
DefaultA-SalVentAttnB,0.10763076460966836,False
DefaultA-SomMotA,-0.03939505287803774,False
DefaultA-SomMotB,-0.04403260215963616,False
DefaultA-TempPar,-0.027779638775982027,False
DefaultA-VisCent,0.06002267388050736,False
DefaultA-VisPeri,-0.07349147687055334,False
DefaultB-DefaultB,0.25031551896269516,True
DefaultB-DefaultC,0.25220356271584127,False
DefaultB-DorsAttnA,-0.1100246747798816,False
DefaultB-DorsAttnB,-0.01052414346918686,False
DefaultB-LimbicA,0.1337942154539424,False
DefaultB-LimbicB,0.11182358521794883,False
DefaultB-SalVentAttnA,-0.06689134512230177,False
DefaultB-SalVentAttnB,0.035406546657383575,False
DefaultB-SomMotA,-0.07672425783610311,False
DefaultB-SomMotB,-0.0807227318790198,False
DefaultB-TempPar,0.16656575768708692,False
DefaultB-VisCent,0.05218178304597402,False
DefaultB-VisPeri,-0.08852282766200491,False
DefaultC-DefaultC,0.6522755740362506,True
DefaultC-DorsAttnA,-0.1516908298636429,False
DefaultC-DorsAttnB,-0.03514578935037204,False
DefaultC-LimbicA,0.0010521816965165238,False
DefaultC-LimbicB,0.03622679175077493,False
DefaultC-SalVentAttnA,-0.11039001110194441,False
DefaultC-SalVentAttnB,-0.10433412064869826,False
DefaultC-SomMotA,-0.1451949189411459,False
DefaultC-SomMotB,-0.13062903830251685,False
DefaultC-TempPar,0.5264626802800797,False
DefaultC-VisCent,0.029223336887294147,False
DefaultC-VisPeri,-0.14488373623089376,False
