network_connection,fc,within_network
ContA-ContA,0.26937948872097145,True
ContA-ContB,0.17683045506095185,False
ContA-ContC,0.13843331881715032,False
ContA-DefaultA,0.13786784714527003,False
ContA-DefaultB,0.10815567500885476,False
ContA-DefaultC,0.04314099604898943,False
ContA-DorsAttnA,-0.024378190700189907,False
ContA-DorsAttnB,0.08060110147563322,False
ContA-LimbicA,0.26309185154848,False
ContA-LimbicB,0.16848490825217255,False
ContA-SalVentAttnA,-0.007408250910521843,False
ContA-SalVentAttnB,0.20702329125598148,False
ContA-SomMotA,-0.1487830739778707,False
ContA-SomMotB,-0.09059422552871968,False
ContA-TempPar,0.04282377047456359,False
ContA-VisCent,0.023160175923380454,False
ContA-VisPeri,-0.16002034489780803,False
ContB-ContB,0.21161184674780764,True
ContB-ContC,0.1327063376197997,False
ContB-DefaultA,0.10196324339368165,False
ContB-DefaultB,0.12725820564541135,False
ContB-DefaultC,0.15409226401950582,False
ContB-DorsAttnA,-0.028514652046118128,False
ContB-DorsAttnB,0.04508876067687505,False
ContB-LimbicA,0.1540500641820985,False
ContB-LimbicB,0.06666381081137532,False
ContB-SalVentAttnA,-0.05539627495385261,False
ContB-SalVentAttnB,0.06836157727755261,False
ContB-SomMotA,-0.1370149153296174,False
ContB-SomMotB,-0.10977886791985325,False
ContB-TempPar,0.18633173223524988,False
ContB-VisCent,0.011604548250212277,False
ContB-VisPeri,-0.16072559563063887,False
ContC-ContC,0.28224601846927344,True
ContC-DefaultA,0.22109532799440748,False
ContC-DefaultB,0.1474930785551295,False
ContC-DefaultC,0.036605113434582566,False
ContC-DorsAttnA,-0.0699791323313142,False
ContC-DorsAttnB,0.003575781817911737,False
ContC-LimbicA,0.15617617910800452,False
ContC-LimbicB,0.11415904654082495,False
ContC-SalVentAttnA,-0.044595069802020146,False
ContC-SalVentAttnB,0.14581846381019625,False
ContC-SomMotA,-0.09248764768830171,False
ContC-SomMotB,-0.10556139095706592,False
ContC-TempPar,0.03947362235447055,False
ContC-VisCent,0.015449009464083717,False
ContC-VisPeri,-0.14455517748314234,False
DefaultA-DefaultA,0.21816037027909552,True
DefaultA-DefaultB,0.15527230965678093,False
DefaultA-DefaultC,0.006596263382339316,False
DefaultA-DorsAttnA,-0.06294163563702773,False
DefaultA-DorsAttnB,-0.014859047874937721,False
DefaultA-LimbicA,0.14179158013535278,False
DefaultA-LimbicB,0.09161934475062229,False
DefaultA-SalVentAttnA,-0.04516993891749013,False
DefaultA-SalVentAttnB,0.10785271497138109,False
DefaultA-SomMotA,-0.08495114392274461,False
DefaultA-SomMotB,-0.09272610960307334,False
DefaultA-TempPar,0.009392097543806616,False
DefaultA-VisCent,0.017397574022092997,False
DefaultA-VisPeri,-0.12719897154776214,False
DefaultB-DefaultB,0.17912328589228876,True
DefaultB-DefaultC,0.1665787163346006,False
DefaultB-DorsAttnA,-0.07979588391304,False
DefaultB-DorsAttnB,-0.0184892660407871,False
DefaultB-LimbicA,0.09172523107897299,False
DefaultB-LimbicB,0.05769954070586509,False
DefaultB-SalVentAttnA,-0.06211617883895876,False
DefaultB-SalVentAttnB,0.04564824420227369,False
DefaultB-SomMotA,-0.09069847809653138,False
DefaultB-SomMotB,-0.09335480078450979,False
DefaultB-TempPar,0.15413779994702898,False
DefaultB-VisCent,0.009861548023764955,False
DefaultB-VisPeri,-0.1253107438492456,False
DefaultC-DefaultC,0.40525213880129235,True
DefaultC-DorsAttnA,-0.10120706003752958,False
DefaultC-DorsAttnB,-0.006680204741723907,False
DefaultC-LimbicA,0.015315396652560013,False
DefaultC-LimbicB,0.04386309738090608,False
DefaultC-SalVentAttnA,-0.06715129741177098,False
DefaultC-SalVentAttnB,-0.012608654617148607,False
DefaultC-SomMotA,-0.10608378094729834,False
DefaultC-SomMotB,-0.09936876588603918,False
DefaultC-TempPar,0.3941000010300174,False
DefaultC-VisCent,-0.0039112261233692274,False
DefaultC-VisPeri,-0.13846605751530544,False
DorsAttnA-DorsAttnA,0.19966002320294354,True
DorsAttnA-DorsAttnB,0.09809661802620358,False
DorsAttnA-LimbicA,-0.040158353626300256,False
DorsAttnA-LimbicB,-0.052142361922115736,False
DorsAttnA-SalVentAttnA,0.03912290935449623,False
DorsAttnA-SalVentAttnB,-0.031201806251241984,False
DorsAttnA-SomMotA,-0.003995995292905586,False
DorsAttnA-SomMotB,0.05127643763191076,False
DorsAttnA-TempPar,-0.08524842711605178,False
DorsAttnA-VisCent,-0.0137942197249617,False
DorsAttnA-VisPeri,0.004349407417576433,False
DorsAttnB-DorsAttnB,0.1336390880512574,True
DorsAttnB-LimbicA,0.07471901099473122,False
DorsAttnB-LimbicB,0.06560156831613796,False
DorsAttnB-SalVentAttnA,0.03541342985686116,False
DorsAttnB-SalVentAttnB,0.10291081576723744,False
DorsAttnB-SomMotA,-0.05738808470505881,False
