network_connection,fc,within_network
ContA-ContA,0.19988200102215906,True
ContA-ContB,0.12286445933328961,False
ContA-ContC,0.1043855977748564,False
ContA-DefaultA,0.08344988777820529,False
ContA-DefaultB,0.06871963427670573,False
ContA-DefaultC,-0.0067885086207980635,False
ContA-DorsAttnA,0.01436357477639811,False
ContA-DorsAttnB,0.05582593210313809,False
ContA-LimbicA,0.2243711969993695,False
ContA-LimbicB,0.1795079866233058,False
ContA-SalVentAttnA,0.0584009431043352,False
ContA-SalVentAttnB,0.18778977319238183,False
ContA-SomMotA,-0.10801953365427878,False
ContA-SomMotB,-0.03697017097227111,False
ContA-TempPar,-0.049073307300320806,False
ContA-VisCent,-0.014125907029909244,False
ContA-VisPeri,-0.14015150229814885,False
ContB-ContB,0.1516195864762229,True
ContB-ContC,0.10935246299302463,False
ContB-DefaultA,0.07313443089098534,False
ContB-DefaultB,0.0853913626208739,False
ContB-DefaultC,0.09829967284003491,False
ContB-DorsAttnA,-0.0008980071592869785,False
ContB-DorsAttnB,0.035710323889459945,False
ContB-LimbicA,0.1261095185444416,False
ContB-LimbicB,0.10673148052438454,False
ContB-SalVentAttnA,0.009712139919247529,False
ContB-SalVentAttnB,0.09434986029397625,False
ContB-SomMotA,-0.08544427465821657,False
ContB-SomMotB,-0.04107715049241057,False
ContB-TempPar,0.06225119926986012,False
ContB-VisCent,-0.006386097031181767,False
ContB-VisPeri,-0.11255434112904608,False
ContC-ContC,0.1767042698295854,True
ContC-DefaultA,0.12925739677924594,False
ContC-DefaultB,0.06225824034279468,False
ContC-DefaultC,-0.039947508908064484,False
ContC-DorsAttnA,0.03016939106312535,False
ContC-DorsAttnB,0.06862414105933975,False
ContC-LimbicA,0.15081609486511868,False
ContC-LimbicB,0.160809944514964,False
ContC-SalVentAttnA,0.043153649505896764,False
ContC-SalVentAttnB,0.1532853057709082,False
ContC-SomMotA,-0.07819981178970553,False
ContC-SomMotB,-0.035503899740342,False
ContC-TempPar,-0.07142367417312177,False
ContC-VisCent,-0.003212727427180865,False
ContC-VisPeri,-0.12426940205020799,False
DefaultA-DefaultA,0.11227661125863413,True
DefaultA-DefaultB,0.07634229362288247,False
DefaultA-DefaultC,-0.005111459919496824,False
DefaultA-DorsAttnA,0.021242131923187222,False
DefaultA-DorsAttnB,0.048052995499710476,False
DefaultA-LimbicA,0.10800669684103795,False
DefaultA-LimbicB,0.12708523467965716,False
DefaultA-SalVentAttnA,0.03897292272112107,False
DefaultA-SalVentAttnB,0.12265396771369817,False
DefaultA-SomMotA,-0.057669573466288836,False
DefaultA-SomMotB,-0.02709663029815091,False
DefaultA-TempPar,-0.03532959831093677,False
DefaultA-VisCent,0.002812259936340006,False
DefaultA-VisPeri,-0.09175850937516773,False
DefaultB-DefaultB,0.11952998252836404,True
DefaultB-DefaultC,0.1650311762520341,False
DefaultB-DorsAttnA,-0.03925559549510722,False
DefaultB-DorsAttnB,0.0018548164721673749,False
DefaultB-LimbicA,0.05331511988679428,False
DefaultB-LimbicB,0.08732541242571931,False
DefaultB-SalVentAttnA,0.011201695380693686,False
DefaultB-SalVentAttnB,0.08085696643124393,False
DefaultB-SomMotA,-0.050427709355704856,False
DefaultB-SomMotB,-0.037942663442054776,False
DefaultB-TempPar,0.08482908595704156,False
DefaultB-VisCent,0.0021891924895766426,False
DefaultB-VisPeri,-0.043082496293000344,False
DefaultC-DefaultC,0.45437742296033534,True
DefaultC-DorsAttnA,-0.11830639168682656,False
DefaultC-DorsAttnB,-0.06513156228084982,False
DefaultC-LimbicA,-0.07980604693452918,False
DefaultC-LimbicB,-0.020708798194790306,False
DefaultC-SalVentAttnA,-0.04942641849940411,False
DefaultC-SalVentAttnB,-0.04249765891533709,False
DefaultC-SomMotA,-0.026427155199481817,False
DefaultC-SomMotB,-0.046859867217884266,False
DefaultC-TempPar,0.3685606323934418,False
DefaultC-VisCent,-0.01563896854979779,False
DefaultC-VisPeri,0.020454726489036592,False
DorsAttnA-DorsAttnA,0.23083730650444845,True
DorsAttnA-DorsAttnB,0.1082773951289893,False
DorsAttnA-LimbicA,0.07521423306030985,False
DorsAttnA-LimbicB,0.032406571269025644,False
DorsAttnA-SalVentAttnA,0.06393590918373135,False
DorsAttnA-SalVentAttnB,0.011900457575803247,False
DorsAttnA-SomMotA,-0.04274148694307718,False
DorsAttnA-SomMotB,0.07383050091787288,False
DorsAttnA-TempPar,-0.13409861315116314,False
DorsAttnA-VisCent,-0.013405405610661161,False
DorsAttnA-VisPeri,-0.16991234008478653,False
DorsAttnB-DorsAttnB,0.11759585938057121,True
DorsAttnB-LimbicA,0.0960724873695338,False
DorsAttnB-LimbicB,0.10010173085021226,False
DorsAttnB-SalVentAttnA,0.038033101364759625,False
DorsAttnB-SalVentAttnB,0.09885182906131929,False
DorsAttnB-SomMotA,-0.04141933056604972,False
DorsAttnB-SomMotB,-0.03409981393475531,False
DorsAttnB-TempPar,-0.10041643644470233,False
DorsAttnB-VisCent,0.013587793939127513,False
DorsAttnB-VisPeri,-0.09858754868817499,False
LimbicA-LimbicA,0.281090985242661,True
LimbicA-LimbicB,0.2450335937447218,False
LimbicA-SalVentAttnA,0.09730746146705423,False
LimbicA-SalVentAttnB,0.23840595889280822,False
LimbicA-SomMotA,-0.13859394030944738,False
LimbicA-SomMotB,-0.017527686053529667,False
LimbicA-TempPar,-0.13267747241497702,False
LimbicA-VisCent,-0.015570926251415398,False
LimbicA-VisPeri,-0.2199189329812168,False
LimbicB-LimbicB,0.29107017889561887,True
LimbicB-SalVentAttnA,0.10221565978682888,False
LimbicB-SalVentAttnB,0.27662917184013275,False
LimbicB-SomMotA,-0.12257923228335552,False
LimbicB-SomMotB,-0.038414658156921154,False
LimbicB-TempPar,-0.1380177145323912,False
LimbicB-VisCent,0.011777287101460511,False
LimbicB-VisPeri,-0.18033579943093145,False
SalVentAttnA-SalVentAttnA,0.07054146160971028,True
SalVentAttnA-SalVentAttnB,0.09662509159120335,False
SalVentAttnA-SomMotA,-0.04667906976127617,False
SalVentAttnA-SomMotB,0.03438945284123946,False
SalVentAttnA-TempPar,-0.08768508905781332,False
SalVentAttnA-VisCent,-0.00487176787178769,False
SalVentAttnA-VisPeri,-0.07736821201119722,False
SalVentAttnB-SalVentAttnB,0.27207331741599866,True
SalVentAttnB-SomMotA,-0.11009039309866818,False
SalVentAttnB-SomMotB,-0.06854969108106204,False
SalVentAttnB-TempPar,-0.14048439120754702,False
SalVentAttnB-VisCent,0.0045536793941251975,False
SalVentAttnB-VisPeri,-0.13099348684003576,False
SomMotA-SomMotA,0.1327735289699978,True
SomMotA-SomMotB,0.029965504043060826,False
SomMotA-TempPar,0.012376799503767875,False
SomMotA-VisCent,0.043704616145328556,False
SomMotA-VisPeri,0.2075311591476735,False
SomMotB-SomMotB,0.14848678222318368,True
SomMotB-TempPar,-0.04409781856150736,False
SomMotB-VisCent,0.014749014926165012,False
SomMotB-VisPeri,-0.014887540957834074,False
TempPar-TempPar,0.4748225684651821,True
TempPar-VisCent,-0.02767297072333957,False
TempPar-VisPeri,0.059696725401024005,False
VisCent-VisCent,0.03991764089301337,True
VisCent-VisPeri,0.05415441942141349,False
VisPeri-VisPeri,0.4126512840220747,True
